timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465299632005,Network.responseReceived,3634.1,,text/plain,,,3449.775647,data
1465299632005,Network.loadingFinished,3634.1,,,,0,3449.775705,
1465299632012,Page.loadEventFired,,,,,,3449.792892,
1465299632012,Page.domContentEventFired,,,,,,3449.793369,
1465299632962,Network.requestWillBeSent,3658.1,www.amazon.com.this,,,,3449.855776,
1465299632962,Network.responseReceived,3658.1,,text/html,,,3450.52712,quic/1+spdy/3
1465299632982,Network.dataReceived,3658.1,,,329,994,3450.744558,
1465299632983,Network.dataReceived,3658.1,,,461,256,3450.769212,
1465299632984,Network.dataReceived,3658.1,,,129,64,3450.769434,
1465299632984,Network.dataReceived,3658.1,,,483,256,3450.7699,
1465299632984,Network.dataReceived,3658.1,,,227,128,3450.76996,
1465299632984,Network.dataReceived,3658.1,,,316,128,3450.770006,
1465299632989,Network.dataReceived,3658.1,,,5432,2434,3450.775211,
1465299632989,Network.dataReceived,3658.1,,,2951,1217,3450.775425,
1465299632989,Network.dataReceived,3658.1,,,2637,1217,3450.775694,
1465299632990,Network.dataReceived,3658.1,,,10915,3651,3450.775884,
1465299632990,Network.dataReceived,3658.1,,,4193,1217,3450.776078,
1465299632990,Network.dataReceived,3658.1,,,6582,2434,3450.77656,
1465299632990,Network.dataReceived,3658.1,,,4755,1217,3450.776843,
1465299632990,Network.dataReceived,3658.1,,,5085,1217,3450.77702,
1465299633018,Network.requestWillBeSent,3658.2,z-ecx.images-amazon.com.this,,,,3450.803058,
1465299633019,Network.requestWillBeSent,3658.3,z-ecx.images-amazon.com.this,,,,3450.803211,
1465299633019,Network.requestWillBeSent,3658.4,z-ecx.images-amazon.com.this,,,,3450.803357,
1465299633019,Network.requestWillBeSent,3658.5,z-ecx.images-amazon.com.this,,,,3450.803495,
1465299633019,Network.requestWillBeSent,3658.6,fls-na.amazon.com.this,,,,3450.803634,
1465299633019,Network.requestWillBeSent,3658.7,g-ecx.images-amazon.com.this,,,,3450.803753,
1465299633019,Network.dataReceived,3658.1,,,14365,2434,3450.803926,
1465299633019,Network.dataReceived,3658.1,,,6252,1217,3450.804013,
1465299633020,Network.dataReceived,3658.1,,,9451,2434,3450.804402,
1465299633020,Network.dataReceived,3658.1,,,2606,1217,3450.804471,
1465299633021,Network.requestWillBeSent,3658.8,g-ecx.images-amazon.com,,,,3450.806001,
1465299633022,Network.dataReceived,3658.1,,,7719,3000,3450.808421,
1465299633022,Network.loadingFinished,3658.1,,,,26732,3450.808185,
1465299633231,Network.responseReceived,3658.3,,text/css,,,3451.017091,quic/1+spdy/3
1465299633232,Network.responseReceived,3658.2,,text/css,,,3451.017374,quic/1+spdy/3
1465299633232,Network.dataReceived,3658.2,,,5964,1530,3451.019,
1465299633249,Network.dataReceived,3658.2,,,7203,1331,3451.035882,
1465299633249,Network.dataReceived,3658.2,,,9767,1331,3451.036035,
1465299633250,Network.dataReceived,3658.2,,,6974,1331,3451.036481,
1465299633250,Network.dataReceived,3658.2,,,1029,479,3451.036591,
1465299633252,Network.loadingFinished,3658.2,,,,6002,3451.036445,
1465299633252,Network.dataReceived,3658.3,,,10473,3010,3451.038799,
1465299633252,Network.dataReceived,3658.3,,,9939,1331,3451.038872,
1465299633260,Network.responseReceived,3658.4,,text/css,,,3451.04644,quic/1+spdy/3
1465299633261,Network.responseReceived,3658.5,,text/css,,,3451.046857,quic/1+spdy/3
1465299633261,Network.dataReceived,3658.3,,,32768,8976,3451.047497,
1465299633261,Network.dataReceived,3658.3,,,23906,0,3451.047568,
1465299633269,Network.dataReceived,3658.3,,,7048,1331,3451.055807,
1465299633279,Network.dataReceived,3658.3,,,7053,1331,3451.066014,
1465299633289,Network.dataReceived,3658.3,,,8044,1331,3451.075779,
1465299633289,Network.dataReceived,3658.3,,,8379,1331,3451.075864,
1465299633290,Network.dataReceived,3658.3,,,8394,1331,3451.0761,
1465299633290,Network.dataReceived,3658.3,,,4393,872,3451.076275,
1465299633301,Network.loadingFinished,3658.3,,,,20844,3451.076268,
1465299633301,Network.dataReceived,3658.4,,,6661,1919,3451.088168,
1465299633302,Network.dataReceived,3658.4,,,5513,1089,3451.088454,
1465299633303,Network.loadingFinished,3658.4,,,,3008,3451.086,
1465299633303,Network.dataReceived,3658.5,,,5158,1590,3451.08955,
1465299633303,Network.loadingFinished,3658.5,,,,1590,3451.086346,
1465299633314,Network.requestWillBeSent,3658.9,z-ecx.images-amazon.com,,,,3451.093229,
1465299633315,Network.responseReceived,3658.6,,image/gif,,,3451.101118,quic/1+spdy/3
1465299633315,Network.dataReceived,3658.6,,,43,148,3451.101264,
1465299633315,Network.loadingFinished,3658.6,,,,148,3451.097248,
1465299633318,Network.requestWillBeSent,3658.13,,,,,3451.104869,
1465299633319,Network.responseReceived,3658.13,,image/svg+xml,,,3451.104926,data
1465299633319,Network.dataReceived,3658.13,,,195,0,3451.104949,
1465299633319,Network.loadingFinished,3658.13,,,,0,3451.104956,
1465299633320,Network.requestWillBeSent,3658.14,g-ecx.images-amazon.com,,,,3451.105222,
1465299633344,Network.requestWillBeSent,3658.15,g-ecx.images-amazon.com,,,,3451.105714,
1465299633353,Network.requestWillBeSent,3658.16,g-ecx.images-amazon.com,,,,3451.138647,
1465299633354,Network.requestWillBeSent,3658.17,images-na.ssl-images-amazon.com,,,,3451.138831,
1465299633355,Network.requestWillBeSent,3658.18,ecx.images-amazon.com,,,,3451.139075,
1465299633355,Network.requestWillBeSent,3658.19,ecx.images-amazon.com,,,,3451.139264,
1465299633355,Network.requestWillBeSent,3658.20,ecx.images-amazon.com,,,,3451.139481,
1465299633355,Network.requestWillBeSent,3658.21,ecx.images-amazon.com,,,,3451.139662,
1465299633356,Network.requestWillBeSent,3658.22,ecx.images-amazon.com,,,,3451.139825,
1465299633356,Network.requestWillBeSent,3658.23,ecx.images-amazon.com,,,,3451.139981,
1465299633452,Network.requestWillBeSent,3658.24,fls-na.amazon.com,,,,3451.150699,
1465299633452,Page.domContentEventFired,,,,,,3451.238434,
1465299633454,Network.requestWillBeSent,3658.25,z-ecx.images-amazon.com,,,,3451.240641,
1465299633463,Network.responseReceived,3658.8,,image/jpeg,,,3451.246894,http/1.1
1465299633463,Network.dataReceived,3658.8,,,910,1398,3451.247145,
1465299633463,Network.dataReceived,3658.8,,,1398,1398,3451.247297,
1465299633463,Network.dataReceived,3658.8,,,1398,1398,3451.247355,
1465299633464,Network.dataReceived,3658.8,,,1398,1398,3451.247412,
1465299633464,Network.dataReceived,3658.8,,,1398,1398,3451.24747,
1465299633464,Network.dataReceived,3658.8,,,1398,1398,3451.247523,
1465299633464,Network.dataReceived,3658.8,,,1398,1398,3451.247581,
1465299633464,Network.dataReceived,3658.8,,,1398,1398,3451.247631,
1465299633464,Network.dataReceived,3658.8,,,1398,1398,3451.247681,
1465299633464,Network.dataReceived,3658.8,,,801,801,3451.247752,
1465299633464,Network.loadingFinished,3658.8,,,,13383,3451.236413,
1465299633465,Network.responseReceived,3658.14,,image/png,,,3451.24816,http/1.1
1465299633470,Network.requestWillBeSent,3658.26,z-ecx.images-amazon.com,,,,3451.253767,
1465299633470,Network.requestWillBeSent,3658.27,z-ecx.images-amazon.com,,,,3451.255181,
1465299633470,Network.dataReceived,3658.14,,,6990,7493,3451.256772,
1465299633470,Network.dataReceived,3658.14,,,1398,1398,3451.257021,
1465299633471,Network.dataReceived,3658.14,,,1398,1398,3451.257139,
1465299633482,Network.dataReceived,3658.14,,,1398,1398,3451.268561,
1465299633483,Network.dataReceived,3658.14,,,1398,1398,3451.268877,
1465299633484,Network.responseReceived,3658.15,,image/png,,,3451.269391,http/1.1
1465299633484,Network.dataReceived,3658.15,,,911,1398,3451.269659,
1465299633484,Network.dataReceived,3658.15,,,4194,4194,3451.269823,
1465299633484,Network.dataReceived,3658.15,,,1398,1398,3451.269919,
1465299633503,Network.dataReceived,3658.15,,,1205,1205,3451.284274,
1465299633503,Network.loadingFinished,3658.15,,,,8195,3451.284276,
1465299633503,Network.responseReceived,3658.16,,image/jpeg,,,3451.286139,http/1.1
1465299633507,Network.dataReceived,3658.16,,,2308,2796,3451.286307,
1465299633507,Network.dataReceived,3658.16,,,2540,2540,3451.28642,
1465299633507,Network.loadingFinished,3658.16,,,,5336,3451.286348,
1465299633508,Network.responseReceived,3658.9,,application/x-javascript,,,3451.291094,http/1.1
1465299633508,Network.dataReceived,3658.9,,,6097,2977,3451.291726,
1465299633508,Network.loadingFinished,3658.9,,,,2977,3451.29084,
1465299633531,Network.responseReceived,3658.7,,image/png,,,3451.316528,quic/1+spdy/3
1465299633531,Network.dataReceived,3658.7,,,1333,1534,3451.316974,
1465299633538,Network.dataReceived,3658.7,,,1325,1325,3451.324974,
1465299633539,Network.dataReceived,3658.7,,,1331,1331,3451.325169,
1465299633539,Network.dataReceived,3658.7,,,1331,1331,3451.325341,
1465299633539,Network.dataReceived,3658.7,,,1331,1331,3451.325873,
1465299633558,Network.dataReceived,3658.7,,,1057,1057,3451.344601,
1465299633558,Network.loadingFinished,3658.7,,,,7909,3451.344558,
1465299633584,Network.dataReceived,3658.14,,,1398,1398,3451.370459,
1465299633584,Network.dataReceived,3658.14,,,1398,1398,3451.370588,
1465299633584,Network.dataReceived,3658.14,,,1398,1398,3451.370654,
1465299633584,Network.dataReceived,3658.14,,,1398,1398,3451.370774,
1465299633584,Network.dataReceived,3658.14,,,1398,1398,3451.371016,
1465299633584,Network.dataReceived,3658.14,,,1398,1398,3451.371196,
1465299633585,Network.dataReceived,3658.14,,,1398,1398,3451.371457,
1465299633600,Network.dataReceived,3658.14,,,1398,1398,3451.386139,
1465299633600,Network.dataReceived,3658.14,,,1398,1398,3451.386452,
1465299633600,Network.dataReceived,3658.14,,,98,98,3451.386698,
1465299633600,Network.loadingFinished,3658.14,,,,25765,3451.386342,
1465299633602,Network.responseReceived,3658.25,,application/x-javascript,,,3451.388108,http/1.1
1465299633602,Network.dataReceived,3658.25,,,5961,2796,3451.388297,
1465299633602,Network.responseReceived,3658.17,,image/jpeg,,,3451.388573,http/1.1
1465299633610,Network.dataReceived,3658.25,,,4483,1398,3451.397157,
1465299633628,Network.dataReceived,3658.25,,,4478,1398,3451.414249,
1465299633628,Network.dataReceived,3658.25,,,3799,1398,3451.414387,
1465299633628,Network.dataReceived,3658.25,,,3558,1398,3451.414451,
1465299633629,Network.dataReceived,3658.25,,,3176,1232,3451.414718,
1465299633630,Network.loadingFinished,3658.25,,,,9625,3451.415105,
1465299633668,Network.dataReceived,3658.17,,,16384,16827,3451.45447,
1465299633669,Network.responseReceived,3658.26,,application/x-javascript,,,3451.455551,http/1.1
1465299633669,Network.dataReceived,3658.26,,,5863,3343,3451.455733,
1465299633681,Network.dataReceived,3658.26,,,3084,1398,3451.467152,
1465299633681,Network.dataReceived,3658.26,,,7734,2796,3451.467284,
1465299633681,Network.dataReceived,3658.26,,,3620,1398,3451.467362,
1465299633699,Network.dataReceived,3658.26,,,4528,1398,3451.485981,
1465299633699,Network.dataReceived,3658.26,,,4300,1398,3451.486076,
1465299633700,Network.dataReceived,3658.26,,,4162,1398,3451.486198,
1465299633711,Network.dataReceived,3658.17,,,10099,10099,3451.496611,
1465299633711,Network.loadingFinished,3658.17,,,,26926,3451.496578,
1465299633713,Network.responseReceived,3658.27,,application/x-javascript,,,3451.498487,http/1.1
1465299633713,Network.dataReceived,3658.27,,,1897,1398,3451.49865,
1465299633713,Network.dataReceived,3658.27,,,9264,2796,3451.498708,
1465299633713,Network.dataReceived,3658.27,,,3348,1096,3451.498785,
1465299633713,Network.loadingFinished,3658.27,,,,5295,3451.497502,
1465299633747,Network.dataReceived,3658.26,,,4625,1398,3451.533155,
1465299633747,Network.dataReceived,3658.26,,,4381,1398,3451.533304,
1465299633747,Network.dataReceived,3658.26,,,3541,1398,3451.53337,
