timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465303451983,Network.responseReceived,13260.1,,text/plain,,,7269.707679,data
1465303451983,Network.loadingFinished,13260.1,,,,0,7269.707726,
1465303451992,Page.loadEventFired,,,,,,7269.761317,
1465303451992,Page.domContentEventFired,,,,,,7269.761834,
1465303452776,Network.requestWillBeSent,13283.1,www.apple.com.this,,,,7269.851726,
1465303452777,Network.responseReceived,13283.1,,text/html,,,7270.554975,h2
1465303452794,Network.dataReceived,13283.1,,,24576,4576,7270.559098,
1465303452795,Network.loadingFinished,13283.1,,,,4576,7270.559071,
1465303452802,Network.requestWillBeSent,13283.2,www.apple.com.this,,,,7270.585856,
1465303452802,Network.requestWillBeSent,13283.3,www.apple.com.this,,,,7270.58604,
1465303452802,Network.requestWillBeSent,13283.4,www.apple.com.this,,,,7270.586189,
1465303452802,Network.requestWillBeSent,13283.5,www.apple.com.this,,,,7270.58633,
1465303452803,Network.requestWillBeSent,13283.6,images.apple.com.this,,,,7270.586469,
1465303452803,Network.requestWillBeSent,13283.7,images.apple.com.this,,,,7270.586605,
1465303452803,Network.requestWillBeSent,13283.8,www.apple.com.this,,,,7270.586737,
1465303452803,Network.requestWillBeSent,13283.9,images.apple.com.this,,,,7270.586858,
1465303452803,Network.requestWillBeSent,13283.10,www.apple.com.this,,,,7270.586972,
1465303453022,Network.responseReceived,13283.6,,text/css,,,7270.806919,h2
1465303453022,Network.responseReceived,13283.7,,application/x-javascript,,,7270.808146,h2
1465303453024,Network.dataReceived,13283.7,,,9197,3953,7270.810723,
1465303453025,Network.dataReceived,13283.6,,,20774,4239,7270.811276,
1465303453029,Network.dataReceived,13283.7,,,858,254,7270.815405,
1465303453029,Network.dataReceived,13283.6,,,31239,3842,7270.815662,
1465303453038,Network.dataReceived,13283.6,,,31007,1752,7270.825049,
1465303453054,Network.loadingFinished,13283.6,,,,9842,7270.833172,
1465303453055,Network.dataReceived,13283.7,,,32768,12849,7270.84058,
1465303453055,Network.dataReceived,13283.7,,,13817,0,7270.841118,
1465303453230,Network.dataReceived,13283.7,,,4764,1494,7271.014239,
1465303453230,Network.loadingFinished,13283.7,,,,18550,7271.014142,
1465303453231,Network.responseReceived,13283.3,,text/css,,,7271.015429,h2
1465303453231,Network.dataReceived,13283.3,,,32768,6362,7271.016107,
1465303453231,Network.responseReceived,13283.9,,application/x-javascript,,,7271.016806,h2
1465303453231,Network.dataReceived,13283.3,,,23390,0,7271.016987,
1465303453236,Network.loadingFinished,13283.3,,,,6362,7271.016802,
1465303453236,Network.dataReceived,13283.9,,,13774,4265,7271.022687,
1465303453247,Network.responseReceived,13283.2,,text/css,,,7271.03331,h2
1465303453248,Network.dataReceived,13283.2,,,31573,4186,7271.034821,
1465303453248,Network.dataReceived,13283.9,,,32768,12737,7271.03509,
1465303453249,Network.dataReceived,13283.9,,,11290,0,7271.035215,
1465303453259,Network.responseReceived,13283.4,,text/css,,,7271.044271,h2
1465303453259,Network.responseReceived,13283.5,,text/css,,,7271.044664,h2
1465303453260,Network.responseReceived,13283.8,,application/x-javascript,,,7271.045048,h2
1465303453260,Network.responseReceived,13283.10,,application/x-javascript,,,7271.045415,h2
1465303453260,Network.dataReceived,13283.9,,,8864,3792,7271.047049,
1465303453280,Network.dataReceived,13283.9,,,32768,12601,7271.066211,
1465303453280,Network.dataReceived,13283.9,,,1982,0,7271.066352,
1465303453466,Network.dataReceived,13283.8,,,32768,16470,7271.252482,
1465303453466,Network.dataReceived,13283.8,,,28184,0,7271.252725,
1465303453471,Network.dataReceived,13283.2,,,32768,4277,7271.257834,
1465303453472,Network.dataReceived,13283.2,,,11963,0,7271.258028,
1465303453499,Network.dataReceived,13283.9,,,32768,16393,7271.285711,
1465303453499,Network.dataReceived,13283.9,,,19557,0,7271.285822,
1465303453508,Network.dataReceived,13283.10,,,13985,4164,7271.294922,
1465303453538,Network.dataReceived,13283.9,,,32768,16393,7271.323896,
1465303453538,Network.dataReceived,13283.9,,,21107,0,7271.324297,
1465303453568,Network.dataReceived,13283.2,,,8371,1089,7271.35442,
1465303453576,Network.loadingFinished,13283.2,,,,9552,7271.354577,
1465303453576,Network.dataReceived,13283.9,,,9777,3007,7271.362855,
1465303453577,Network.dataReceived,13283.8,,,32768,16393,7271.362926,
1465303453577,Network.dataReceived,13283.8,,,19853,0,7271.363002,
1465303453577,Network.dataReceived,13283.9,,,32768,13386,7271.363081,
1465303453577,Network.dataReceived,13283.9,,,13227,0,7271.363154,
1465303453730,Network.dataReceived,13283.5,,,9434,653,7271.514587,
1465303453730,Network.loadingFinished,13283.5,,,,653,7271.514342,
1465303453731,Network.dataReceived,13283.10,,,12591,3606,7271.516786,
1465303453731,Network.loadingFinished,13283.10,,,,7770,7271.516742,
1465303453733,Network.dataReceived,13283.4,,,29526,4186,7271.518191,
1465303453736,Network.dataReceived,13283.9,,,2760,734,7271.51908,
1465303453736,Network.dataReceived,13283.8,,,30148,7373,7271.519414,
1465303453736,Network.loadingFinished,13283.8,,,,40245,7271.519982,
1465303453736,Network.dataReceived,13283.9,,,21480,5643,7271.520975,
1465303453736,Network.loadingFinished,13283.9,,,,88951,7271.520977,
1465303453737,Network.dataReceived,13283.4,,,32768,4742,7271.521733,
1465303453737,Network.dataReceived,13283.4,,,25101,0,7271.521985,
1465303453744,Network.loadingFinished,13283.4,,,,8928,7271.521964,
1465303454049,Network.requestWillBeSent,13283.51,www.apple.com.this,,,,7271.64607,
1465303454049,Network.requestWillBeSent,13283.43,www.apple.com.this,,,,7271.648524,
1465303454049,Network.requestWillBeSent,13283.52,www.apple.com.this,,,,7271.649504,
1465303454050,Network.requestWillBeSent,13283.53,www.apple.com.this,,,,7271.650688,
1465303454050,Network.requestWillBeSent,13283.54,www.apple.com.this,,,,7271.651983,
1465303454050,Network.requestWillBeSent,13283.55,www.apple.com.this,,,,7271.652537,
1465303454051,Network.requestWillBeSent,13283.56,www.apple.com.this,,,,7271.653001,
1465303454051,Network.requestWillBeSent,13283.57,www.apple.com.this,,,,7271.653415,
1465303454051,Network.requestWillBeSent,13283.58,www.apple.com.this,,,,7271.653806,
1465303454051,Network.requestWillBeSent,13283.59,www.apple.com.this,,,,7271.654198,
1465303454051,Network.requestWillBeSent,13283.60,www.apple.com.this,,,,7271.654598,
1465303454052,Network.requestWillBeSent,13283.61,www.apple.com.this,,,,7271.707609,
1465303454061,Network.requestWillBeSent,13283.35,www.apple.com.this,,,,7271.843815,
1465303454071,Network.requestWillBeSent,13283.62,images.apple.com,,,,7271.846538,
1465303454071,Network.requestWillBeSent,13283.21,www.apple.com.this,,,,7271.853061,
1465303454071,Network.requestWillBeSent,13283.25,www.apple.com.this,,,,7271.856265,
1465303454125,Network.requestWillBeSent,13283.63,images.apple.com,,,,7271.857865,
1465303454159,Page.domContentEventFired,,,,,,7271.945593,
1465303454162,Network.responseReceived,13283.51,,image/svg+xml,,,7271.946942,quic/1+spdy/3
1465303454166,Network.dataReceived,13283.51,,,1860,1222,7271.947574,
1465303454166,Network.loadingFinished,13283.51,,,,1222,7271.853653,
1465303454167,Network.responseReceived,13283.43,,application/font-woff,,,7271.950501,quic/1+spdy/3
1465303454167,Network.dataReceived,13283.43,,,1333,1475,7271.951044,
1465303454168,Network.dataReceived,13283.43,,,7780,7780,7271.95117,
1465303454168,Network.dataReceived,13283.43,,,1331,1331,7271.951234,
1465303454168,Network.dataReceived,13283.43,,,1331,1331,7271.95131,
1465303454168,Network.dataReceived,13283.43,,,1331,1331,7271.951356,
1465303454168,Network.dataReceived,13283.43,,,1331,1331,7271.951394,
1465303454169,Network.responseReceived,13283.52,,image/svg+xml,,,7271.951851,quic/1+spdy/3
1465303454169,Network.dataReceived,13283.43,,,1226,1226,7271.952376,
1465303454169,Network.responseReceived,13283.56,,image/svg+xml,,,7271.953653,quic/1+spdy/3
1465303454170,Network.responseReceived,13283.53,,image/svg+xml,,,7271.954498,quic/1+spdy/3
1465303454170,Network.responseReceived,13283.55,,image/svg+xml,,,7271.955103,quic/1+spdy/3
1465303454170,Network.dataReceived,13283.43,,,3379,3379,7271.955362,
1465303454170,Network.responseReceived,13283.54,,image/svg+xml,,,7271.955694,quic/1+spdy/3
1465303454171,Network.responseReceived,13283.57,,image/svg+xml,,,7271.956054,quic/1+spdy/3
1465303454171,Network.responseReceived,13283.58,,image/svg+xml,,,7271.956441,quic/1+spdy/3
1465303454171,Network.responseReceived,13283.60,,image/svg+xml,,,7271.956849,quic/1+spdy/3
1465303454171,Network.dataReceived,13283.43,,,2556,2556,7271.957052,
1465303454172,Network.responseReceived,13283.59,,image/svg+xml,,,7271.957295,quic/1+spdy/3
1465303454172,Network.dataReceived,13283.43,,,1325,1325,7271.95746,
1465303454172,Network.dataReceived,13283.43,,,1331,1331,7271.957536,
1465303454172,Network.dataReceived,13283.43,,,1331,1331,7271.957593,
1465303454172,Network.dataReceived,13283.43,,,1331,1331,7271.957646,
1465303454172,Network.dataReceived,13283.43,,,1317,1317,7271.957702,
1465303454172,Network.dataReceived,13283.43,,,2662,2662,7271.957768,
1465303454172,Network.dataReceived,13283.43,,,1331,1331,7271.95782,
1465303454172,Network.dataReceived,13283.43,,,2662,2662,7271.957889,
1465303454172,Network.dataReceived,13283.43,,,1331,1331,7271.957977,
1465303454180,Network.responseReceived,13283.61,,application/json,,,7271.960698,quic/1+spdy/3
1465303454180,Network.dataReceived,13283.61,,,74,351,7271.961381,
1465303454186,Network.loadingFinished,13283.61,,,,351,7271.935753,
1465303454186,Network.dataReceived,13283.43,,,6288,6288,7271.973031,
1465303454187,Network.dataReceived,13283.43,,,1331,1331,7271.973665,
1465303454288,Network.responseReceived,13283.62,,image/png,,,7272.07328,http/1.1
1465303454288,Network.dataReceived,13283.62,,,582,1028,7272.073633,
1465303454288,Network.loadingFinished,13283.62,,,,1028,7272.073182,
1465303454290,Network.responseReceived,13283.63,,image/jpeg,,,7272.074695,http/1.1
1465303454290,Network.dataReceived,13283.63,,,3715,4096,7272.075105,
1465303454291,Network.dataReceived,13283.63,,,1496,1496,7272.075292,
1465303454292,Network.dataReceived,13283.63,,,5592,5592,7272.078841,
1465303454293,Network.dataReceived,13283.63,,,4194,4194,7272.079186,
1465303454297,Network.dataReceived,13283.63,,,1398,1398,7272.083364,
1465303454298,Network.responseReceived,13283.35,,application/font-woff,,,7272.084302,quic/1+spdy/3
1465303454298,Network.dataReceived,13283.43,,,1223,1223,7272.084434,
1465303454298,Network.dataReceived,13283.43,,,1331,1331,7272.085084,
1465303454308,Network.dataReceived,13283.43,,,1331,1331,7272.093589,
1465303454308,Network.dataReceived,13283.43,,,2662,2662,7272.093817,
1465303454310,Network.dataReceived,13283.43,,,3993,3993,7272.09589,
1465303454310,Network.dataReceived,13283.35,,,1333,1435,7272.096052,
1465303454321,Network.responseReceived,13283.25,,application/font-woff,,,7272.10635,quic/1+spdy/3
1465303454321,Network.responseReceived,13283.21,,application/font-woff,,,7272.107092,quic/1+spdy/3
