timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465298676813,Network.responseReceived,15327.1,,text/plain,,,2494.583445,data
1465298676813,Network.loadingFinished,15327.1,,,,0,2494.583502,
1465298676817,Page.loadEventFired,,,,,,2494.601709,
1465298676818,Page.domContentEventFired,,,,,,2494.601791,
1465298677365,Network.requestWillBeSent,15350.1,m.imgur.com.this,,,,2494.655928,
1465298677366,Network.responseReceived,15350.1,,text/html,,,2495.115245,quic/1+spdy/3
1465298677370,Network.dataReceived,15350.1,,,164,496,2495.143853,
1465298677372,Network.dataReceived,15350.1,,,288,128,2495.156451,
1465298677372,Network.dataReceived,15350.1,,,109,64,2495.156539,
1465298677372,Network.dataReceived,15350.1,,,177,64,2495.156606,
1465298677372,Network.dataReceived,15350.1,,,145,64,2495.156673,
1465298677372,Network.dataReceived,15350.1,,,128,64,2495.156717,
1465298677372,Network.dataReceived,15350.1,,,84,64,2495.156757,
1465298677372,Network.dataReceived,15350.1,,,122,64,2495.156821,
1465298677372,Network.dataReceived,15350.1,,,156,64,2495.156987,
1465298677372,Network.dataReceived,15350.1,,,203,64,2495.157058,
1465298677372,Network.dataReceived,15350.1,,,213,64,2495.15719,
1465298677372,Network.dataReceived,15350.1,,,3977,1217,2495.15726,
1465298677373,Network.dataReceived,15350.1,,,4963,1217,2495.157323,
1465298677376,Network.dataReceived,15350.1,,,7211,1217,2495.162259,
1465298677376,Network.dataReceived,15350.1,,,10202,2434,2495.162339,
1465298677376,Network.dataReceived,15350.1,,,7259,1217,2495.162413,
1465298677378,Network.requestWillBeSent,15350.2,fonts.googleapis.com.this,,,,2495.162813,
1465298677378,Network.requestWillBeSent,15350.3,m.imgur.com.this,,,,2495.162999,
1465298677378,Network.requestWillBeSent,15350.4,m.imgur.com.this,,,,2495.163195,
1465298677378,Network.requestWillBeSent,15350.5,m.imgur.com.this,,,,2495.163355,
1465298677379,Network.dataReceived,15350.1,,,29763,6085,2495.165763,
1465298677408,Network.dataReceived,15350.1,,,12000,2434,2495.194605,
1465298677408,Network.dataReceived,15350.1,,,47,24,2495.19469,
1465298677409,Network.loadingFinished,15350.1,,,,17045,2495.194743,
1465298677591,Network.responseReceived,15350.4,,application/x-javascript,,,2495.376186,quic/1+spdy/3
1465298677591,Network.dataReceived,15350.4,,,3264,1445,2495.376518,
