Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
quic,imgur,0.474613,1.328194,1.328194,0,0,0,0,1,17045,77211,0.520773,4,188898,648930,1.90575,1,14640,14260,0.354212,4,220583,740401
quic,amazon,0.730321,2.163805,1.575886,0,0,0,0,1,26738,84907,1.051747,8,143262,515306,2.957431,13,108756,103146,4.863245,10,278756,703359
quic,apple,0.458175,2.166984,1.363037,0,0,0,0,1,4577,24576,0.485997,9,192361,840041,3.978733,17,527773,536414,10.021797,4,724711,1401031
quic,amazon,0.784382,1.974912,1.533937,0,0,0,0,1,26737,84888,1.05174,8,143335,515306,2.489021,13,108781,103146,5.031954,10,278853,703340
quic,apple,0.495668,2.192423,1.357489,0,0,0,0,1,4577,24576,0.522227,9,191332,840041,3.601802,17,527787,536414,10.706062,4,723696,1401031
quic,amazon,0.759237,2.237511,1.470306,0,0,0,0,1,26737,84883,1.019213,8,143237,515306,2.532548,13,108755,103146,5.679045,10,278729,703335
quic,imgur,0.505046,1.506941,1.506941,0,0,0,0,1,17045,77211,0.562056,4,188887,648930,2.233591,1,14640,14260,0.25813,4,220572,740401
quic,imdb,0.702462,4.31424,1.366862,0,0,0,0,1,15596,83052,0.813298,4,81738,279104,2.148727,44,722929,714762,48.466396,9,820263,1076918
quic,imgur,0.486049,1.309049,1.309049,0,0,0,0,1,17045,77211,0.543436,4,188901,648930,1.775334,1,14640,14260,0.3379,4,220586,740401
quic,imdb,1.122664,7.317354,2.320936,0,0,0,0,8,29785,106273,5.746907,9,300409,990264,4.265813,68,681292,665382,91.880355,28,1011486,1761919
quic,apple,0.533498,2.420176,1.59648,0,0,0,0,1,4577,24576,0.564172,9,190934,840041,4.547895,17,527775,536414,10.591398,4,723286,1401031
quic,amazon,0.723615,2.397068,1.584282,0,0,0,0,1,26740,84785,1.071446,8,143222,515306,3.038623,13,110322,104687,6.049142,10,280284,704778
quic,apple,0.436305,2.137702,1.363946,0,0,0,0,1,4577,24576,0.457764,9,190936,840041,3.423519,17,527801,536414,9.259819,4,723314,1401031
quic,imdb,0.676289,4.133704,1.409808,0,0,0,0,1,15890,83052,0.845235,4,81769,279110,1.918451,46,572829,563569,51.002849,10,670488,925731
quic,imdb,0.781519,4.261804,1.529116,0,0,0,0,1,15819,83052,0.909154,4,81771,279111,1.892806,42,718742,711356,53.973288,9,816332,1073519
quic,imgur,0.45919,1.33323,1.330172,0,0,0,0,1,17045,77211,0.559265,4,188895,648930,1.909485,1,14640,14260,0.391435,4,220580,740401
quic,imgur,0.448117,1.254005,1.250658,0,0,0,0,1,17045,77211,0.502416,4,188911,648930,1.810759,1,14640,14260,0.308372,4,220596,740401
quic,imdb,0.803359,4.063325,1.519042,0,0,0,0,1,15767,83052,0.929509,4,81770,279111,1.933166,46,574211,565572,51.634831,9,671748,927735
quic,imdb,0.71967,4.333041,1.490546,0,0,0,0,1,15454,83052,0.836636,4,81764,279104,1.891217,43,724408,716682,53.432931,9,821626,1078838
quic,amazon,0.705586,1.953213,1.388581,0,0,0,0,1,26739,84887,1.016647,8,143316,515306,2.366151,13,108762,103146,4.998792,10,278817,703339
quic,imgur,0.452049,1.450948,1.450948,0,0,0,0,1,17045,77211,0.530299,4,188902,648930,2.1043,1,14640,14260,0.258493,4,220587,740401
quic,imdb,0.723279,3.794504,1.246427,0,0,0,0,1,15725,83052,0.79987,4,81550,279104,1.876819,42,643756,636782,41.966322,9,741031,998938
quic,imdb,0.746278,4.497487,1.422068,0,0,0,0,1,15717,83052,0.807249,4,81768,279110,2.02517,43,746471,738739,56.727834,9,843956,1100901
quic,amazon,0.745022,2.042892,1.427991,0,0,0,0,1,26746,84902,1.042824,8,143283,515306,2.228968,13,108708,103146,4.804096,10,278737,703354
quic,apple,0.603706,2.55581,1.749529,0,0,0,0,1,4577,24576,0.615483,9,190935,840041,5.043814,17,527774,536414,10.276383,4,723286,1401031
quic,apple,0.444106,2.257987,1.366766,0,0,0,0,1,4577,24576,0.449595,9,192365,840041,3.600318,17,527786,536414,10.771211,4,724728,1401031
quic,imdb,0.752709,4.400381,1.426999,0,0,0,0,1,15945,83052,0.872005,4,81777,279110,2.472385,44,636563,628503,47.572761,9,734285,990665
quic,apple,0.492176,2.308728,1.44679,0,0,0,0,1,4577,24576,0.513236,9,190935,840041,4.010579,17,527753,536414,10.644457,4,723265,1401031
quic,imdb,0.746906,4.440855,1.406459,0,0,0,0,1,15905,83052,0.804582,4,81770,279111,2.073861,43,746331,738587,55.249106,9,844006,1100750
quic,imdb,0.812201,4.704872,1.548673,0,0,0,0,1,15878,83052,0.883446,4,81746,279111,2.215811,44,1003718,995549,61.705616,9,1101342,1357712
quic,imgur,0.575473,1.516003,1.512872,0,0,0,0,1,17045,77211,0.623982,4,188887,648930,2.275821,1,14640,14260,0.419245,4,220572,740401
quic,imgur,0.623245,1.639486,1.639486,0,0,0,0,1,17045,77211,0.690035,4,188902,648930,2.215037,1,14640,14260,0.271847,4,220587,740401
quic,imgur,0.483632,1.542582,1.542582,0,0,0,0,1,17045,77211,0.552673,4,188887,648930,2.15153,1,14640,14260,0.226253,4,220572,740401
quic,imgur,0.498829,1.426294,1.426294,0,0,0,0,1,17045,77211,0.556405,4,188900,648930,2.09068,1,14640,14260,0.207081,4,220585,740401
quic,amazon,0.73616,1.94931,1.424618,0,0,0,0,1,26737,84774,1.024414,8,143215,515306,2.167928,13,110296,104687,4.068601,10,280248,704767
quic,apple,0.615473,2.674705,1.726033,0,0,0,0,1,4577,24576,0.633911,9,190922,840041,4.800276,17,527778,536414,11.330014,4,723277,1401031
quic,imgur,0.46972,1.298412,1.295672,0,0,0,0,1,17045,77211,0.547417,4,188903,648930,1.898875,1,14640,14260,0.335107,4,220588,740401
quic,imdb,0.855853,4.648849,1.60313,0,0,0,0,1,15851,83052,1.033957,4,81746,279110,2.15128,43,697562,689795,54.172643,9,795159,1051957
quic,imgur,0.537964,1.353057,1.350496,0,0,0,0,1,17045,77211,0.585166,4,188903,648930,1.78565,1,14640,14260,0.343182,4,220588,740401
quic,imdb,0.749134,4.515185,1.479682,0,0,0,0,1,15904,83052,0.872419,4,81768,279111,2.0146,49,631456,621360,56.445227,10,729128,983523
quic,imgur,0.517091,1.379307,1.377051,0,0,0,0,1,17045,77211,0.556032,4,188903,648930,1.949305,1,14640,14260,0.345537,4,220588,740401
quic,imdb,0.734812,4.318737,1.558704,0,0,0,0,1,15940,83052,0.8628,4,81764,279104,2.24913,43,674844,667117,54.400255,9,772548,1029273
quic,imgur,0.512189,1.545337,1.545337,0,0,0,0,1,17045,77211,0.557065,4,188910,648930,2.223308,1,14640,14260,0.260833,4,220595,740401
quic,amazon,0.626296,1.884579,1.319375,0,0,0,0,1,26713,84659,0.892475,8,143306,515306,2.05102,13,107302,101624,4.328267,10,277321,701589
quic,apple,0.490396,2.262836,1.537755,0,0,0,0,1,4577,24576,0.512702,9,192351,840041,4.057404,17,527767,536414,9.16498,4,724695,1401031
quic,apple,0.519832,2.500577,1.640379,0,0,0,0,1,4577,24576,0.556987,9,190959,840041,4.158837,17,527773,536414,10.30788,4,723309,1401031
quic,amazon,0.777304,2.045195,1.516197,0,0,0,0,1,26726,84801,1.087121,8,143307,515306,2.500921,13,110327,104687,4.591453,10,280360,704794
quic,imgur,0.515084,1.502376,1.502376,0,0,0,0,1,17044,77211,0.554057,4,188883,648930,2.095978,1,14640,14260,0.28666,4,220567,740401
