timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465302243923,Network.responseReceived,22249.1,,text/plain,,,6061.690072,data
1465302243923,Network.loadingFinished,22249.1,,,,0,6061.690132,
1465302243932,Page.loadEventFired,,,,,,6061.707929,
1465302243932,Page.domContentEventFired,,,,,,6061.708259,
1465302245092,Network.requestWillBeSent,22272.1,www.amazon.com.this,,,,6061.790233,
1465302245093,Network.responseReceived,22272.1,,text/html,,,6062.873458,h2
1465302245109,Network.dataReceived,22272.1,,,8760,4824,6062.874047,
1465302245114,Network.dataReceived,22272.1,,,23062,8210,6062.900131,
1465302245122,Network.requestWillBeSent,22272.2,z-ecx.images-amazon.com.this,,,,6062.906993,
1465302245122,Network.requestWillBeSent,22272.3,z-ecx.images-amazon.com.this,,,,6062.907258,
1465302245122,Network.requestWillBeSent,22272.4,z-ecx.images-amazon.com.this,,,,6062.907444,
1465302245123,Network.requestWillBeSent,22272.5,z-ecx.images-amazon.com.this,,,,6062.907626,
1465302245123,Network.requestWillBeSent,22272.6,fls-na.amazon.com.this,,,,6062.907829,
1465302245137,Network.requestWillBeSent,22272.7,g-ecx.images-amazon.com,,,,6062.923399,
1465302245306,Network.dataReceived,22272.1,,,15871,4105,6063.092826,
1465302245307,Network.requestWillBeSent,22272.8,g-ecx.images-amazon.com.this,,,,6063.09328,
1465302245309,Network.dataReceived,22272.1,,,22555,4105,6063.095641,
1465302245325,Network.dataReceived,22272.1,,,14912,5628,6063.111498,
1465302245326,Network.loadingFinished,22272.1,,,,26872,6063.111599,
1465302245336,Network.responseReceived,22272.5,,text/css,,,6063.122135,h2
1465302245336,Network.dataReceived,22272.5,,,5158,1682,6063.122395,
1465302245336,Network.loadingFinished,22272.5,,,,1682,6063.122003,
1465302245337,Network.responseReceived,22272.2,,text/css,,,6063.123358,h2
1465302245356,Network.dataReceived,22272.2,,,30937,5953,6063.141854,
1465302245357,Network.loadingFinished,22272.2,,,,5953,6063.14182,
1465302245359,Network.responseReceived,22272.4,,text/css,,,6063.144494,h2
1465302245515,Network.dataReceived,22272.4,,,12174,3054,6063.301678,
1465302245516,Network.loadingFinished,22272.4,,,,3054,6063.301582,
1465302245517,Network.responseReceived,22272.3,,text/css,,,6063.303024,h2
1465302245557,Network.dataReceived,22272.3,,,32768,16580,6063.3418,
1465302245557,Network.dataReceived,22272.3,,,32768,0,6063.341876,
1465302245558,Network.responseReceived,22272.6,,image/gif,,,6063.343275,h2
1465302245558,Network.dataReceived,22272.6,,,43,129,6063.343868,
1465302245558,Network.loadingFinished,22272.6,,,,129,6063.343204,
1465302245558,Network.dataReceived,22272.3,,,30380,4132,6063.344142,
1465302245558,Network.dataReceived,22272.3,,,24481,0,6063.344234,
1465302245566,Network.loadingFinished,22272.3,,,,20712,6063.344052,
1465302245575,Network.requestWillBeSent,22272.9,z-ecx.images-amazon.com,,,,6063.354539,
1465302245577,Network.requestWillBeSent,22272.10,g-ecx.images-amazon.com,,,,6063.362276,
1465302245586,Network.requestWillBeSent,22272.11,g-ecx.images-amazon.com,,,,6063.370655,
1465302245586,Network.requestWillBeSent,22272.12,ecx.images-amazon.com,,,,6063.370952,
1465302245586,Network.requestWillBeSent,22272.13,ecx.images-amazon.com,,,,6063.371141,
1465302245587,Network.requestWillBeSent,22272.14,ecx.images-amazon.com,,,,6063.371348,
1465302245587,Network.requestWillBeSent,22272.15,ecx.images-amazon.com,,,,6063.37153,
1465302245587,Network.requestWillBeSent,22272.16,ecx.images-amazon.com,,,,6063.371724,
1465302245587,Network.requestWillBeSent,22272.17,ecx.images-amazon.com,,,,6063.371907,
1465302245588,Network.requestWillBeSent,22272.18,ecx.images-amazon.com,,,,6063.372157,
1465302245592,Network.requestWillBeSent,22272.22,,,,,6063.377864,
1465302245592,Network.responseReceived,22272.22,,image/svg+xml,,,6063.377927,data
1465302245592,Network.dataReceived,22272.22,,,195,0,6063.377957,
1465302245593,Network.loadingFinished,22272.22,,,,0,6063.377965,
1465302245594,Network.requestWillBeSent,22272.23,g-ecx.images-amazon.com,,,,6063.37833,
1465302245738,Network.requestWillBeSent,22272.24,fls-na.amazon.com,,,,6063.509662,
1465302245738,Page.domContentEventFired,,,,,,6063.523961,
1465302245740,Network.requestWillBeSent,22272.25,z-ecx.images-amazon.com,,,,6063.52639,
1465302245741,Network.responseReceived,22272.13,,image/jpeg,,,6063.527157,http/1.1
1465302245741,Network.dataReceived,22272.13,,,910,1398,6063.527386,
1465302245741,Network.dataReceived,22272.13,,,1990,1990,6063.527575,
1465302245741,Network.loadingFinished,22272.13,,,,3388,6063.513915,
1465302245746,Network.responseReceived,22272.12,,image/jpeg,,,6063.527994,http/1.1
1465302245746,Network.dataReceived,22272.12,,,3610,4096,6063.528227,
1465302245747,Network.dataReceived,22272.12,,,2527,2527,6063.528331,
1465302245747,Network.loadingFinished,22272.12,,,,6623,6063.514127,
1465302245753,Network.responseReceived,22272.14,,image/jpeg,,,6063.533952,http/1.1
1465302245753,Network.dataReceived,22272.14,,,910,1398,6063.534121,
1465302245753,Network.dataReceived,22272.14,,,1311,1311,6063.535594,
1465302245753,Network.loadingFinished,22272.14,,,,2709,6063.529128,
1465302245754,Network.responseReceived,22272.15,,image/jpeg,,,6063.53591,http/1.1
1465302245754,Network.dataReceived,22272.15,,,910,1398,6063.536055,
1465302245754,Network.responseReceived,22272.16,,image/jpeg,,,6063.536243,http/1.1
1465302245754,Network.dataReceived,22272.16,,,2200,2688,6063.536411,
1465302245755,Network.dataReceived,22272.15,,,2247,2247,6063.536577,
1465302245755,Network.loadingFinished,22272.15,,,,3645,6063.533084,
1465302245755,Network.dataReceived,22272.16,,,864,864,6063.536777,
1465302245755,Network.loadingFinished,22272.16,,,,3552,6063.533268,
