timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465300384198,Page.loadEventFired,,,,,,4201.978415,
1465300384201,Page.domContentEventFired,,,,,,4201.97869,
1465300385344,Network.requestWillBeSent,18798.1,m.imdb.com.this,,,,4202.031756,
1465300385345,Network.responseReceived,18798.1,,text/html,,,4203.129233,h2
1465300385361,Network.dataReceived,18798.1,,,10049,4945,4203.129438,
1465300385366,Network.requestWillBeSent,18798.2,ia.media-imdb.com.this,,,,4203.151538,
1465300385366,Network.requestWillBeSent,18798.3,ia.media-imdb.com.this,,,,4203.151712,
1465300385417,Network.dataReceived,18798.1,,,32768,8210,4203.201152,
1465300385417,Network.dataReceived,18798.1,,,19727,0,4203.20152,
1465300385418,Network.requestWillBeSent,18798.4,ia.media-imdb.com.this,,,,4203.202255,
1465300385421,Network.requestWillBeSent,18798.5,ia.media-imdb.com.this,,,,4203.202639,
1465300385421,Network.requestWillBeSent,18798.6,ia.media-imdb.com.this,,,,4203.202966,
1465300385421,Network.requestWillBeSent,18798.7,ia.media-imdb.com.this,,,,4203.20325,
1465300385422,Network.requestWillBeSent,18798.8,ia.media-imdb.com.this,,,,4203.203594,
1465300385422,Network.requestWillBeSent,18798.9,ia.media-imdb.com.this,,,,4203.20403,
1465300385422,Network.requestWillBeSent,18798.10,ia.media-imdb.com.this,,,,4203.204756,
1465300385422,Network.requestWillBeSent,18798.11,ia.media-imdb.com.this,,,,4203.204946,
1465300385422,Network.requestWillBeSent,18798.12,ia.media-imdb.com.this,,,,4203.205107,
1465300385423,Network.requestWillBeSent,18798.13,ia.media-imdb.com.this,,,,4203.205285,
1465300385423,Network.requestWillBeSent,18798.14,ia.media-imdb.com.this,,,,4203.205467,
1465300385423,Network.requestWillBeSent,18798.15,ia.media-imdb.com.this,,,,4203.205628,
1465300385423,Network.requestWillBeSent,18798.16,ia.media-imdb.com.this,,,,4203.205793,
1465300385423,Network.requestWillBeSent,18798.17,ia.media-imdb.com.this,,,,4203.205967,
1465300385423,Network.requestWillBeSent,18798.18,ia.media-imdb.com.this,,,,4203.206124,
1465300385423,Network.requestWillBeSent,18798.19,ia.media-imdb.com.this,,,,4203.206271,
1465300385423,Network.requestWillBeSent,18798.20,ia.media-imdb.com.this,,,,4203.206412,
