timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465306847380,Network.responseReceived,5214.1,,text/plain,,,10665.111957,data
1465306847381,Network.loadingFinished,5214.1,,,,0,10665.112167,
1465306847389,Page.loadEventFired,,,,,,10665.156569,
1465306847389,Page.domContentEventFired,,,,,,10665.157221,
1465306848399,Network.requestWillBeSent,5237.1,www.amazon.com.this,,,,10665.245556,
1465306848400,Network.responseReceived,5237.1,,text/html,,,10666.183302,h2
1465306848413,Network.dataReceived,5237.1,,,31829,13035,10666.183775,
1465306848439,Network.requestWillBeSent,5237.2,z-ecx.images-amazon.com.this,,,,10666.203804,
1465306848439,Network.requestWillBeSent,5237.3,z-ecx.images-amazon.com.this,,,,10666.203945,
1465306848439,Network.requestWillBeSent,5237.4,z-ecx.images-amazon.com.this,,,,10666.204091,
1465306848439,Network.requestWillBeSent,5237.5,z-ecx.images-amazon.com.this,,,,10666.204219,
1465306848439,Network.requestWillBeSent,5237.6,fls-na.amazon.com.this,,,,10666.204343,
1465306848439,Network.requestWillBeSent,5237.7,g-ecx.images-amazon.com,,,,10666.224808,
1465306848566,Network.dataReceived,5237.1,,,32768,13717,10666.351939,
1465306848566,Network.dataReceived,5237.1,,,20205,0,10666.35213,
1465306848567,Network.loadingFinished,5237.1,,,,26752,10666.351931,
1465306848567,Network.requestWillBeSent,5237.8,g-ecx.images-amazon.com.this,,,,10666.353328,
1465306848605,Network.responseReceived,5237.3,,text/css,,,10666.390625,h2
1465306848741,Network.responseReceived,5237.2,,text/css,,,10666.522394,h2
1465306848741,Network.dataReceived,5237.3,,,32768,20808,10666.523194,
1465306848741,Network.dataReceived,5237.2,,,32024,6091,10666.524507,
1465306848744,Network.loadingFinished,5237.2,,,,6091,10666.524404,
1465306848745,Network.responseReceived,5237.4,,text/css,,,10666.530782,h2
1465306848745,Network.dataReceived,5237.3,,,32768,0,10666.53105,
1465306848746,Network.dataReceived,5237.3,,,32768,0,10666.531198,
1465306848746,Network.dataReceived,5237.3,,,22093,0,10666.531377,
1465306848763,Network.loadingFinished,5237.3,,,,20808,10666.529214,
1465306848764,Network.dataReceived,5237.4,,,12174,3055,10666.550249,
1465306848766,Network.loadingFinished,5237.4,,,,3055,10666.539602,
1465306848766,Network.responseReceived,5237.5,,text/css,,,10666.55267,h2
1465306848767,Network.dataReceived,5237.5,,,5158,1588,10666.552876,
1465306848767,Network.loadingFinished,5237.5,,,,1588,10666.541001,
1465306848767,Network.responseReceived,5237.6,,image/gif,,,10666.553782,h2
1465306848768,Network.dataReceived,5237.6,,,43,152,10666.553971,
1465306848768,Network.loadingFinished,5237.6,,,,152,10666.542369,
1465306848779,Network.requestWillBeSent,5237.9,z-ecx.images-amazon.com,,,,10666.55706,
1465306848785,Network.requestWillBeSent,5237.13,,,,,10666.571015,
1465306848785,Network.responseReceived,5237.13,,image/svg+xml,,,10666.571086,data
1465306848785,Network.dataReceived,5237.13,,,195,0,10666.571125,
1465306848785,Network.loadingFinished,5237.13,,,,0,10666.571137,
1465306848787,Network.requestWillBeSent,5237.14,g-ecx.images-amazon.com,,,,10666.571557,
1465306848818,Network.requestWillBeSent,5237.15,g-ecx.images-amazon.com,,,,10666.572273,
1465306848837,Network.requestWillBeSent,5237.16,g-ecx.images-amazon.com,,,,10666.615644,
1465306848837,Network.requestWillBeSent,5237.17,images-na.ssl-images-amazon.com,,,,10666.615836,
1465306848841,Network.requestWillBeSent,5237.18,ecx.images-amazon.com,,,,10666.616329,
1465306848842,Network.requestWillBeSent,5237.19,ecx.images-amazon.com,,,,10666.616935,
1465306848842,Network.requestWillBeSent,5237.20,ecx.images-amazon.com,,,,10666.617539,
1465306848842,Network.requestWillBeSent,5237.21,ecx.images-amazon.com,,,,10666.617863,
1465306848842,Network.requestWillBeSent,5237.22,ecx.images-amazon.com,,,,10666.618127,
1465306848842,Network.requestWillBeSent,5237.23,ecx.images-amazon.com,,,,10666.618447,
1465306848967,Network.requestWillBeSent,5237.24,fls-na.amazon.com,,,,10666.740902,
1465306848968,Page.domContentEventFired,,,,,,10666.751766,
