timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465308844398,Network.responseReceived,16900.1,,text/plain,,,12662.153042,data
1465308844398,Network.loadingFinished,16900.1,,,,0,12662.153095,
1465308844402,Page.loadEventFired,,,,,,12662.182706,
1465308844405,Page.domContentEventFired,,,,,,12662.182816,
1465308845047,Network.requestWillBeSent,16923.1,www.apple.com.this,,,,12662.257842,
1465308845048,Network.responseReceived,16923.1,,text/html,,,12662.825267,h2
1465308845056,Network.dataReceived,16923.1,,,24576,4575,12662.825717,
1465308845057,Network.loadingFinished,16923.1,,,,4575,12662.825737,
1465308845064,Network.requestWillBeSent,16923.2,www.apple.com.this,,,,12662.84769,
1465308845064,Network.requestWillBeSent,16923.3,www.apple.com.this,,,,12662.847831,
1465308845064,Network.requestWillBeSent,16923.4,www.apple.com.this,,,,12662.847961,
1465308845064,Network.requestWillBeSent,16923.5,www.apple.com.this,,,,12662.848083,
1465308845065,Network.requestWillBeSent,16923.6,images.apple.com.this,,,,12662.848206,
1465308845065,Network.requestWillBeSent,16923.7,images.apple.com.this,,,,12662.848319,
1465308845065,Network.requestWillBeSent,16923.8,www.apple.com.this,,,,12662.848425,
1465308845065,Network.requestWillBeSent,16923.9,images.apple.com.this,,,,12662.848532,
1465308845065,Network.requestWillBeSent,16923.10,www.apple.com.this,,,,12662.848637,
1465308845260,Network.responseReceived,16923.7,,application/x-javascript,,,12663.044769,h2
1465308845262,Network.dataReceived,16923.7,,,10055,4272,12663.046743,
1465308845262,Network.dataReceived,16923.7,,,32768,14343,12663.04708,
1465308845265,Network.responseReceived,16923.9,,application/x-javascript,,,12663.049944,h2
1465308845265,Network.dataReceived,16923.7,,,18581,0,12663.050343,
1465308845265,Network.loadingFinished,16923.7,,,,18615,12663.048879,
1465308845269,Network.dataReceived,16923.9,,,13774,4264,12663.053861,
1465308845443,Network.dataReceived,16923.9,,,32768,16393,12663.228843,
1465308845443,Network.dataReceived,16923.9,,,19884,0,12663.229143,
1465308845466,Network.responseReceived,16923.10,,application/x-javascript,,,12663.245652,h2
1465308845467,Network.responseReceived,16923.5,,text/css,,,12663.246256,h2
1465308845468,Network.responseReceived,16923.4,,text/css,,,12663.247134,h2
1465308845468,Network.responseReceived,16923.8,,application/x-javascript,,,12663.247712,h2
1465308845469,Network.responseReceived,16923.2,,text/css,,,12663.248604,h2
1465308845469,Network.responseReceived,16923.3,,text/css,,,12663.249563,h2
1465308845470,Network.responseReceived,16923.6,,text/css,,,12663.250344,h2
1465308845470,Network.dataReceived,16923.2,,,31573,4186,12663.253382,
1465308845470,Network.dataReceived,16923.9,,,32768,17244,12663.253664,
1465308845470,Network.dataReceived,16923.9,,,14569,0,12663.253881,
1465308845470,Network.dataReceived,16923.3,,,32768,4186,12663.254288,
1465308845470,Network.dataReceived,16923.3,,,2522,0,12663.254399,
1465308845470,Network.dataReceived,16923.6,,,20774,4189,12663.25489,
1465308845622,Network.dataReceived,16923.9,,,32768,12878,12663.407583,
1465308845622,Network.dataReceived,16923.9,,,10275,0,12663.407778,
1465308845625,Network.dataReceived,16923.8,,,32768,16469,12663.411893,
1465308845626,Network.dataReceived,16923.8,,,28184,0,12663.412281,
1465308845631,Network.dataReceived,16923.5,,,9434,659,12663.416188,
1465308845631,Network.loadingFinished,16923.5,,,,659,12663.416109,
1465308845633,Network.dataReceived,16923.8,,,32768,16393,12663.418561,
1465308845634,Network.dataReceived,16923.8,,,19853,0,12663.419211,
1465308845634,Network.dataReceived,16923.9,,,9480,3512,12663.419451,
1465308845634,Network.dataReceived,16923.4,,,29526,4163,12663.419887,
1465308845634,Network.dataReceived,16923.10,,,13985,4186,12663.420463,
1465308845649,Network.dataReceived,16923.3,,,20868,2176,12663.434964,
1465308845655,Network.loadingFinished,16923.3,,,,6362,12663.434933,
1465308845655,Network.dataReceived,16923.2,,,32768,5357,12663.441389,
1465308845655,Network.dataReceived,16923.9,,,32768,12881,12663.441583,
1465308845655,Network.dataReceived,16923.2,,,20334,0,12663.441754,
1465308845656,Network.dataReceived,16923.6,,,32768,5594,12663.441866,
1465308845656,Network.dataReceived,16923.9,,,11955,0,12663.442364,
1465308845656,Network.dataReceived,16923.4,,,32768,4733,12663.442466,
