timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465306831168,Page.loadEventFired,,,,,,10648.948987,
1465306831169,Page.domContentEventFired,,,,,,10648.949338,
1465306832219,Network.requestWillBeSent,4886.1,m.imdb.com.this,,,,10649.045392,
1465306832220,Network.responseReceived,4886.1,,text/html,,,10649.992257,h2
1465306832240,Network.dataReceived,4886.1,,,32768,13156,10650.00245,
1465306832240,Network.dataReceived,4886.1,,,29783,0,10650.026221,
1465306832253,Network.requestWillBeSent,4886.2,ia.media-imdb.com.this,,,,10650.032939,
1465306832253,Network.requestWillBeSent,4886.3,ia.media-imdb.com.this,,,,10650.033152,
1465306832253,Network.requestWillBeSent,4886.4,ia.media-imdb.com.this,,,,10650.033403,
1465306832253,Network.requestWillBeSent,4886.5,ia.media-imdb.com.this,,,,10650.033583,
1465306832253,Network.requestWillBeSent,4886.6,ia.media-imdb.com.this,,,,10650.033777,
1465306832254,Network.requestWillBeSent,4886.7,ia.media-imdb.com.this,,,,10650.033989,
1465306832254,Network.requestWillBeSent,4886.8,ia.media-imdb.com.this,,,,10650.034213,
1465306832254,Network.requestWillBeSent,4886.9,ia.media-imdb.com.this,,,,10650.034514,
1465306832254,Network.requestWillBeSent,4886.10,ia.media-imdb.com.this,,,,10650.034782,
1465306832254,Network.requestWillBeSent,4886.11,ia.media-imdb.com.this,,,,10650.034953,
1465306832254,Network.requestWillBeSent,4886.12,ia.media-imdb.com.this,,,,10650.035165,
1465306832254,Network.requestWillBeSent,4886.13,ia.media-imdb.com.this,,,,10650.035402,
1465306832255,Network.requestWillBeSent,4886.14,ia.media-imdb.com.this,,,,10650.03562,
1465306832255,Network.requestWillBeSent,4886.15,ia.media-imdb.com.this,,,,10650.035811,
1465306832255,Network.requestWillBeSent,4886.16,ia.media-imdb.com.this,,,,10650.036026,
1465306832255,Network.requestWillBeSent,4886.17,ia.media-imdb.com.this,,,,10650.036268,
1465306832255,Network.requestWillBeSent,4886.18,ia.media-imdb.com.this,,,,10650.036469,
1465306832255,Network.requestWillBeSent,4886.19,ia.media-imdb.com.this,,,,10650.036667,
1465306832256,Network.requestWillBeSent,4886.20,ia.media-imdb.com.this,,,,10650.036844,
1465306832256,Network.requestWillBeSent,4886.21,ia.media-imdb.com.this,,,,10650.037001,
1465306832256,Network.requestWillBeSent,4886.22,ia.media-imdb.com.this,,,,10650.037221,
1465306832256,Network.requestWillBeSent,4886.23,ia.media-imdb.com.this,,,,10650.037409,
1465306832256,Network.requestWillBeSent,4886.24,ia.media-imdb.com.this,,,,10650.037683,
1465306832256,Network.requestWillBeSent,4886.25,ia.media-imdb.com.this,,,,10650.037848,
1465306832256,Network.requestWillBeSent,4886.26,ia.media-imdb.com.this,,,,10650.03805,
1465306832391,Network.dataReceived,4886.1,,,20500,2960,10650.176424,
1465306832392,Network.loadingFinished,4886.1,,,,16116,10650.176391,
