timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465305959291,Network.responseReceived,17665.1,,text/plain,,,9777.047643,data
1465305959291,Network.loadingFinished,17665.1,,,,0,9777.047701,
1465305959298,Page.loadEventFired,,,,,,9777.079284,
1465305959299,Page.domContentEventFired,,,,,,9777.079548,
1465305959784,Network.requestWillBeSent,17688.1,m.imgur.com.this,,,,9777.141318,
1465305959784,Network.responseReceived,17688.1,,text/html,,,9777.568888,quic/1+spdy/3
1465305959796,Network.dataReceived,17688.1,,,64,432,9777.569077,
1465305959796,Network.dataReceived,17688.1,,,235,128,9777.581861,
1465305959796,Network.dataReceived,17688.1,,,153,64,9777.581937,
1465305959796,Network.dataReceived,17688.1,,,109,64,9777.581982,
1465305959796,Network.dataReceived,17688.1,,,177,64,9777.58205,
1465305959796,Network.dataReceived,17688.1,,,145,64,9777.582096,
1465305959796,Network.dataReceived,17688.1,,,128,64,9777.582134,
1465305959796,Network.dataReceived,17688.1,,,84,64,9777.582369,
1465305959796,Network.dataReceived,17688.1,,,17487,4099,9777.582452,
1465305959800,Network.dataReceived,17688.1,,,10618,2434,9777.586386,
1465305959802,Network.requestWillBeSent,17688.2,fonts.googleapis.com.this,,,,9777.587009,
1465305959802,Network.requestWillBeSent,17688.3,m.imgur.com.this,,,,9777.587163,
1465305959803,Network.requestWillBeSent,17688.4,m.imgur.com.this,,,,9777.587335,
1465305959803,Network.requestWillBeSent,17688.5,m.imgur.com.this,,,,9777.587698,
1465305959805,Network.dataReceived,17688.1,,,32768,7302,9777.59131,
1465305959806,Network.dataReceived,17688.1,,,3972,0,9777.592429,
1465305959811,Network.dataReceived,17688.1,,,11271,2266,9777.597874,
1465305959812,Network.loadingFinished,17688.1,,,,17045,9777.597937,
1465305959986,Network.responseReceived,17688.3,,text/css,,,9777.771005,quic/1+spdy/3
1465305959986,Network.dataReceived,17688.3,,,7046,2750,9777.771286,
1465305959986,Network.dataReceived,17688.3,,,2616,1042,9777.771399,
1465305959986,Network.responseReceived,17688.4,,application/x-javascript,,,9777.771773,quic/1+spdy/3
1465305959992,Network.dataReceived,17688.3,,,24702,5324,9777.778491,
1465305959993,Network.dataReceived,17688.3,,,21090,3918,9777.778915,
1465305959994,Network.responseReceived,17688.5,,application/x-javascript,,,9777.779859,quic/1+spdy/3
1465305959994,Network.dataReceived,17688.3,,,19519,3993,9777.780143,
1465305960001,Network.dataReceived,17688.3,,,8428,1694,9777.787927,
1465305960008,Network.loadingFinished,17688.3,,,,18721,9777.787885,
1465305960008,Network.dataReceived,17688.4,,,2186,1046,9777.794657,
1465305960008,Network.dataReceived,17688.4,,,3394,1331,9777.795111,
1465305960008,Network.dataReceived,17688.4,,,3027,1331,9777.795172,
1465305960008,Network.dataReceived,17688.4,,,3283,1325,9777.795318,
1465305960010,Network.responseReceived,17688.2,,text/css,,,9777.796237,quic/1+spdy/3
1465305960010,Network.dataReceived,17688.2,,,492,713,9777.79639,
1465305960010,Network.loadingFinished,17688.2,,,,713,9777.796155,
