timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465334259676,Network.responseReceived,11304.1,,text/plain,,,38077.37966,data
1465334259676,Network.loadingFinished,11304.1,,,,0,38077.379718,
1465334259688,Page.loadEventFired,,,,,,38077.406883,
1465334259692,Page.domContentEventFired,,,,,,38077.40756,
1465334260870,Network.requestWillBeSent,11327.1,www.amazon.com.this,,,,38077.561517,
1465334260872,Network.responseReceived,11327.1,,text/html,,,38078.653463,h2
1465334260895,Network.dataReceived,11327.1,,,31848,13036,38078.65397,
1465334260940,Network.requestWillBeSent,11327.2,z-ecx.images-amazon.com.this,,,,38078.689072,
1465334260940,Network.requestWillBeSent,11327.3,z-ecx.images-amazon.com.this,,,,38078.689374,
1465334260940,Network.requestWillBeSent,11327.4,z-ecx.images-amazon.com.this,,,,38078.689755,
1465334260941,Network.requestWillBeSent,11327.5,z-ecx.images-amazon.com.this,,,,38078.690122,
1465334260941,Network.requestWillBeSent,11327.6,fls-na.amazon.com.this,,,,38078.690487,
1465334260941,Network.requestWillBeSent,11327.7,g-ecx.images-amazon.com,,,,38078.725819,
1465334261027,Network.dataReceived,11327.1,,,32768,13754,38078.81283,
1465334261027,Network.dataReceived,11327.1,,,20434,0,38078.813034,
1465334261028,Network.requestWillBeSent,11327.8,g-ecx.images-amazon.com.this,,,,38078.813539,
1465334261029,Network.loadingFinished,11327.1,,,,26790,38078.813159,
1465334261071,Network.responseReceived,11327.5,,text/css,,,38078.855983,h2
1465334261071,Network.dataReceived,11327.5,,,5158,1682,38078.856423,
1465334261071,Network.loadingFinished,11327.5,,,,1682,38078.855898,
1465334261074,Network.responseReceived,11327.3,,text/css,,,38078.859849,h2
1465334261075,Network.responseReceived,11327.2,,text/css,,,38078.860521,h2
1465334261076,Network.dataReceived,11327.3,,,18677,3904,38078.862508,
1465334261190,Network.dataReceived,11327.3,,,32768,16760,38078.972594,
1465334261190,Network.dataReceived,11327.2,,,32024,6090,38078.97353,
1465334261192,Network.loadingFinished,11327.2,,,,6090,38078.973496,
1465334261194,Network.responseReceived,11327.4,,text/css,,,38078.978086,h2
1465334261194,Network.dataReceived,11327.3,,,32768,0,38078.978453,
1465334261194,Network.dataReceived,11327.4,,,12174,3005,38078.978713,
1465334261196,Network.loadingFinished,11327.4,,,,3005,38078.975769,
1465334261197,Network.responseReceived,11327.6,,image/gif,,,38078.981335,h2
1465334261197,Network.dataReceived,11327.6,,,43,130,38078.981654,
1465334261198,Network.loadingFinished,11327.6,,,,130,38078.976836,
1465334261198,Network.dataReceived,11327.3,,,32768,0,38078.982192,
