timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465332611654,Page.loadEventFired,,,,,,36429.433997,
1465332611654,Page.domContentEventFired,,,,,,36429.434094,
1465332612472,Network.requestWillBeSent,3859.1,www.amazon.com.this,,,,36429.51134,
1465332612472,Network.responseReceived,3859.1,,text/html,,,36430.06443,quic/1+spdy/3
1465332612494,Network.dataReceived,3859.1,,,1945,1827,36430.255906,
1465332612495,Network.dataReceived,3859.1,,,432,192,36430.280875,
1465332612495,Network.dataReceived,3859.1,,,2510,1217,36430.280996,
1465332612495,Network.dataReceived,3859.1,,,3005,1217,36430.281322,
1465332612495,Network.dataReceived,3859.1,,,2774,1217,36430.281745,
1465332612496,Network.dataReceived,3859.1,,,2694,1217,36430.281814,
1465332612496,Network.dataReceived,3859.1,,,3242,1217,36430.281891,
1465332612496,Network.dataReceived,3859.1,,,3685,1217,36430.282036,
1465332612496,Network.dataReceived,3859.1,,,4234,1217,36430.282098,
1465332612496,Network.dataReceived,3859.1,,,3985,1217,36430.282167,
1465332612501,Network.dataReceived,3859.1,,,3170,1217,36430.287296,
1465332612501,Network.dataReceived,3859.1,,,8811,2434,36430.287405,
1465332612501,Network.dataReceived,3859.1,,,4795,1217,36430.287506,
1465332612501,Network.dataReceived,3859.1,,,7008,1217,36430.287664,
1465332612501,Network.dataReceived,3859.1,,,7980,1217,36430.288074,
1465332612502,Network.dataReceived,3859.1,,,5950,1217,36430.288142,
1465332612526,Network.requestWillBeSent,3859.2,z-ecx.images-amazon.com.this,,,,36430.288561,
1465332612526,Network.requestWillBeSent,3859.3,z-ecx.images-amazon.com.this,,,,36430.288756,
1465332612527,Network.requestWillBeSent,3859.4,z-ecx.images-amazon.com.this,,,,36430.288942,
1465332612527,Network.requestWillBeSent,3859.5,z-ecx.images-amazon.com.this,,,,36430.289074,
1465332612527,Network.requestWillBeSent,3859.6,fls-na.amazon.com.this,,,,36430.289292,
1465332612527,Network.requestWillBeSent,3859.7,g-ecx.images-amazon.com,,,,36430.312274,
1465332612528,Network.requestWillBeSent,3859.8,g-ecx.images-amazon.com.this,,,,36430.312906,
1465332612528,Network.dataReceived,3859.1,,,4807,1217,36430.313084,
1465332612528,Network.dataReceived,3859.1,,,4000,1217,36430.313403,
1465332612528,Network.dataReceived,3859.1,,,2532,1217,36430.313461,
1465332612528,Network.dataReceived,3859.1,,,2516,1217,36430.313518,
1465332612528,Network.dataReceived,3859.1,,,3588,1217,36430.313579,
1465332612528,Network.dataReceived,3859.1,,,1261,393,36430.313639,
1465332612528,Network.loadingFinished,3859.1,,,,26752,36430.302493,
1465332612674,Network.responseReceived,3859.2,,text/css,,,36430.459789,quic/1+spdy/3
1465332612674,Network.dataReceived,3859.2,,,5964,1668,36430.460125,
1465332612678,Network.responseReceived,3859.3,,text/css,,,36430.462699,quic/1+spdy/3
1465332612678,Network.dataReceived,3859.2,,,5880,1100,36430.462952,
1465332612678,Network.responseReceived,3859.5,,text/css,,,36430.463746,quic/1+spdy/3
1465332612679,Network.responseReceived,3859.4,,text/css,,,36430.464316,quic/1+spdy/3
1465332612679,Network.dataReceived,3859.2,,,18412,2319,36430.464513,
1465332612681,Network.dataReceived,3859.2,,,1768,1128,36430.46787,
1465332612684,Network.loadingFinished,3859.2,,,,6215,36430.467867,
1465332612684,Network.dataReceived,3859.3,,,208,418,36430.470865,
1465332612686,Network.dataReceived,3859.3,,,4033,1331,36430.471865,
1465332612686,Network.dataReceived,3859.3,,,8052,1331,36430.472097,
1465332612690,Network.dataReceived,3859.3,,,9639,1331,36430.47681,
1465332612690,Network.dataReceived,3859.3,,,7842,1331,36430.477041,
1465332612691,Network.dataReceived,3859.3,,,7412,1331,36430.477431,
1465332612697,Network.dataReceived,3859.3,,,17882,2662,36430.483662,
1465332612697,Network.dataReceived,3859.3,,,7558,1331,36430.484015,
1465332612698,Network.dataReceived,3859.3,,,9180,1331,36430.484334,
1465332612699,Network.dataReceived,3859.3,,,8146,1331,36430.486364,
1465332612702,Network.dataReceived,3859.3,,,6535,1331,36430.488383,
1465332612703,Network.dataReceived,3859.3,,,8156,1331,36430.490255,
1465332612705,Network.dataReceived,3859.5,,,4717,1475,36430.491701,
1465332612712,Network.dataReceived,3859.5,,,441,67,36430.496119,
1465332612712,Network.loadingFinished,3859.5,,,,1542,36430.496099,
1465332612712,Network.dataReceived,3859.4,,,3696,1443,36430.497381,
1465332612712,Network.dataReceived,3859.4,,,7084,1331,36430.497486,
1465332612716,Network.dataReceived,3859.4,,,1394,284,36430.50195,
1465332612716,Network.loadingFinished,3859.4,,,,3058,36430.500989,
1465332612716,Network.dataReceived,3859.3,,,14415,2366,36430.502986,
1465332612717,Network.dataReceived,3859.3,,,8297,1331,36430.503437,
1465332612718,Network.dataReceived,3859.3,,,3042,636,36430.504158,
1465332612724,Network.loadingFinished,3859.3,,,,20723,36430.504186,
