timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465333126317,Network.responseReceived,16412.1,,text/plain,,,36944.057258,data
1465333126318,Network.loadingFinished,16412.1,,,,0,36944.057317,
1465333126323,Page.loadEventFired,,,,,,36944.104045,
1465333126324,Page.domContentEventFired,,,,,,36944.104131,
1465333126747,Network.requestWillBeSent,16435.1,www.apple.com.this,,,,36944.16964,
1465333126747,Network.responseReceived,16435.1,,text/html,,,36944.529275,quic/1+spdy/3
1465333126765,Network.dataReceived,16435.1,,,2830,1315,36944.531947,
1465333126766,Network.dataReceived,16435.1,,,6163,1217,36944.550588,
1465333126766,Network.dataReceived,16435.1,,,15583,2045,36944.551959,
1465333126766,Network.loadingFinished,16435.1,,,,4577,36944.538305,
1465333126772,Network.requestWillBeSent,16435.2,www.apple.com.this,,,,36944.556659,
1465333126773,Network.requestWillBeSent,16435.3,www.apple.com.this,,,,36944.556804,
1465333126773,Network.requestWillBeSent,16435.4,www.apple.com.this,,,,36944.556949,
1465333126773,Network.requestWillBeSent,16435.5,www.apple.com.this,,,,36944.557086,
1465333126773,Network.requestWillBeSent,16435.6,images.apple.com.this,,,,36944.557216,
1465333126773,Network.requestWillBeSent,16435.7,images.apple.com.this,,,,36944.557343,
1465333126773,Network.requestWillBeSent,16435.8,www.apple.com.this,,,,36944.557471,
1465333126773,Network.requestWillBeSent,16435.9,images.apple.com.this,,,,36944.557586,
1465333126773,Network.requestWillBeSent,16435.10,www.apple.com.this,,,,36944.557699,
1465333126943,Network.responseReceived,16435.2,,text/css,,,36944.728617,quic/1+spdy/3
1465333126944,Network.dataReceived,16435.2,,,26245,3888,36944.72897,
1465333126946,Network.dataReceived,16435.2,,,32768,5673,36944.731092,
1465333126951,Network.responseReceived,16435.3,,text/css,,,36944.731639,quic/1+spdy/3
1465333126951,Network.dataReceived,16435.3,,,15425,2232,36944.731821,
1465333126952,Network.responseReceived,16435.6,,text/css,,,36944.732477,quic/1+spdy/3
1465333126953,Network.responseReceived,16435.9,,application/x-javascript,,,36944.733763,quic/1+spdy/3
1465333126953,Network.dataReceived,16435.2,,,25662,0,36944.734358,
1465333126960,Network.loadingFinished,16435.2,,,,9561,36944.733445,
1465333126960,Network.responseReceived,16435.5,,text/css,,,36944.745804,quic/1+spdy/3
1465333126960,Network.dataReceived,16435.3,,,9885,1221,36944.745961,
1465333126961,Network.responseReceived,16435.4,,text/css,,,36944.746187,quic/1+spdy/3
1465333126962,Network.responseReceived,16435.7,,application/x-javascript,,,36944.74649,quic/1+spdy/3
1465333126962,Network.responseReceived,16435.10,,application/x-javascript,,,36944.74681,quic/1+spdy/3
1465333126963,Network.dataReceived,16435.3,,,26476,2363,36944.747665,
1465333126964,Network.dataReceived,16435.3,,,4372,546,36944.748824,
1465333126966,Network.loadingFinished,16435.3,,,,6362,36944.742815,
1465333126966,Network.dataReceived,16435.6,,,1318,949,36944.752466,
1465333126966,Network.responseReceived,16435.8,,application/x-javascript,,,36944.752698,quic/1+spdy/3
1465333126967,Network.dataReceived,16435.6,,,4062,1232,36944.752855,
1465333126967,Network.dataReceived,16435.6,,,9529,1331,36944.752913,
1465333126967,Network.dataReceived,16435.6,,,9216,1325,36944.753238,
1465333126967,Network.dataReceived,16435.6,,,11000,1331,36944.753338,
1465333126967,Network.dataReceived,16435.6,,,11032,1331,36944.753414,
1465333126968,Network.dataReceived,16435.6,,,15569,1331,36944.754323,
1465333126972,Network.dataReceived,16435.6,,,21294,1025,36944.757779,
1465333126976,Network.loadingFinished,16435.6,,,,9855,36944.757771,
1465333126976,Network.dataReceived,16435.5,,,667,400,36944.763167,
1465333126976,Network.dataReceived,16435.5,,,8767,261,36944.76323,
1465333126977,Network.loadingFinished,16435.5,,,,661,36944.758682,
1465333126977,Network.dataReceived,16435.4,,,4314,1159,36944.763823,
1465333126977,Network.dataReceived,16435.4,,,11561,1331,36944.764065,
1465333126977,Network.dataReceived,16435.4,,,8936,1331,36944.764323,
1465333126979,Network.dataReceived,16435.4,,,14316,1325,36944.766026,
1465333126981,Network.dataReceived,16435.4,,,18929,1331,36944.767893,
1465333126985,Network.dataReceived,16435.4,,,12997,1331,36944.772082,
1465333126987,Network.dataReceived,16435.4,,,16342,1111,36944.77337,
1465333126991,Network.loadingFinished,16435.4,,,,8919,36944.773368,
1465333126991,Network.dataReceived,16435.9,,,194,555,36944.777799,
1465333126991,Network.dataReceived,16435.9,,,3927,1331,36944.778094,
1465333126991,Network.dataReceived,16435.9,,,4404,1331,36944.778216,
1465333126994,Network.dataReceived,16435.9,,,5675,1325,36944.780916,
1465333126995,Network.dataReceived,16435.9,,,6918,1331,36944.782282,
1465333126999,Network.dataReceived,16435.9,,,4883,1331,36944.785346,
1465333127003,Network.dataReceived,16435.9,,,5289,1331,36944.788995,
1465333127005,Network.dataReceived,16435.9,,,3841,1331,36944.791514,
1465333127008,Network.dataReceived,16435.9,,,5409,1331,36944.793099,
1465333127106,Network.dataReceived,16435.9,,,4095,1331,36944.892617,
1465333127106,Network.dataReceived,16435.9,,,4171,1331,36944.892881,
1465333127110,Network.dataReceived,16435.9,,,3261,1331,36944.896328,
1465333127110,Network.dataReceived,16435.9,,,3941,1331,36944.896824,
1465333127112,Network.dataReceived,16435.7,,,2791,1434,36944.89874,
1465333127114,Network.dataReceived,16435.7,,,3807,1331,36944.900626,
1465333127115,Network.dataReceived,16435.7,,,3091,1325,36944.901598,
1465333127117,Network.dataReceived,16435.7,,,5562,1331,36944.903964,
1465333127118,Network.dataReceived,16435.7,,,3725,1331,36944.904862,
1465333127120,Network.dataReceived,16435.7,,,4202,1331,36944.906531,
1465333127122,Network.dataReceived,16435.7,,,4737,1331,36944.908305,
1465333127123,Network.dataReceived,16435.7,,,3691,1331,36944.909413,
1465333127129,Network.dataReceived,16435.7,,,5487,1331,36944.913573,
1465333127129,Network.dataReceived,16435.7,,,4820,1331,36944.913668,
1465333127131,Network.dataReceived,16435.7,,,4542,1331,36944.916321,
1465333127131,Network.dataReceived,16435.7,,,6557,1331,36944.916424,
1465333127131,Network.dataReceived,16435.7,,,4694,1331,36944.917455,
1465333127133,Network.dataReceived,16435.10,,,3366,1408,36944.919114,
1465333127133,Network.dataReceived,16435.10,,,5613,1331,36944.920247,
1465333127134,Network.dataReceived,16435.10,,,4694,1325,36944.920635,
1465333127136,Network.dataReceived,16435.10,,,5497,1331,36944.922821,
1465333127138,Network.dataReceived,16435.10,,,3572,1331,36944.924606,
1465333127138,Network.dataReceived,16435.10,,,3834,1042,36944.924777,
1465333127138,Network.loadingFinished,16435.10,,,,7768,36944.924788,
1465333127138,Network.dataReceived,16435.8,,,263,372,36944.925044,
