timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465332948091,Page.loadEventFired,,,,,,36765.85886,
1465332948091,Page.domContentEventFired,,,,,,36765.859469,
1465332948556,Network.requestWillBeSent,12112.1,m.imgur.com.this,,,,36765.947462,
1465332948556,Network.responseReceived,12112.1,,text/html,,,36766.322161,quic/1+spdy/3
1465332948571,Network.dataReceived,12112.1,,,18398,4979,36766.335818,
1465332948573,Network.dataReceived,12112.1,,,5707,1217,36766.357991,
1465332948573,Network.dataReceived,12112.1,,,4696,1217,36766.358127,
1465332948574,Network.dataReceived,12112.1,,,21405,3651,36766.358867,
1465332948574,Network.dataReceived,12112.1,,,1963,1217,36766.359004,
1465332948579,Network.dataReceived,12112.1,,,13369,2434,36766.36527,
1465332948579,Network.dataReceived,12112.1,,,7583,1217,36766.365424,
1465332948579,Network.dataReceived,12112.1,,,4090,1113,36766.365789,
1465332948580,Network.loadingFinished,12112.1,,,,17045,36766.361462,
1465332948585,Network.requestWillBeSent,12112.2,fonts.googleapis.com.this,,,,36766.367452,
1465332948585,Network.requestWillBeSent,12112.3,m.imgur.com.this,,,,36766.367664,
1465332948586,Network.requestWillBeSent,12112.4,m.imgur.com.this,,,,36766.367857,
1465332948586,Network.requestWillBeSent,12112.5,m.imgur.com.this,,,,36766.368026,
1465332948750,Network.responseReceived,12112.4,,application/x-javascript,,,36766.535876,quic/1+spdy/3
1465332948751,Network.responseReceived,12112.3,,text/css,,,36766.536783,quic/1+spdy/3
1465332948751,Network.dataReceived,12112.4,,,19090,7794,36766.537621,
1465332948751,Network.dataReceived,12112.3,,,9649,3789,36766.537738,
1465332948754,Network.dataReceived,12112.3,,,5927,1331,36766.540508,
1465332948758,Network.responseReceived,12112.5,,application/x-javascript,,,36766.54394,quic/1+spdy/3
1465332948758,Network.dataReceived,12112.3,,,6315,1252,36766.544282,
1465332948758,Network.dataReceived,12112.3,,,5277,1331,36766.5444,
1465332948759,Network.dataReceived,12112.3,,,6750,1331,36766.545932,
1465332948765,Network.dataReceived,12112.3,,,7694,1331,36766.549099,
1465332948765,Network.dataReceived,12112.3,,,7811,1331,36766.550635,
1465332948768,Network.dataReceived,12112.3,,,6023,1331,36766.554538,
1465332948769,Network.dataReceived,12112.3,,,7409,1331,36766.555677,
1465332948771,Network.dataReceived,12112.3,,,6040,1331,36766.558099,
1465332948779,Network.dataReceived,12112.3,,,11635,2435,36766.565292,
1465332948780,Network.responseReceived,12112.2,,text/css,,,36766.56687,quic/1+spdy/3
1465332948781,Network.dataReceived,12112.3,,,2871,596,36766.56698,
1465332948788,Network.loadingFinished,12112.3,,,,18720,36766.566295,
1465332948789,Network.dataReceived,12112.2,,,492,713,36766.573747,
1465332948789,Network.loadingFinished,12112.2,,,,713,36766.566518,
1465332948789,Network.dataReceived,12112.4,,,697,221,36766.574281,
1465332948789,Network.dataReceived,12112.4,,,3013,1331,36766.574923,
1465332948789,Network.dataReceived,12112.4,,,3966,1331,36766.575048,
1465332948789,Network.dataReceived,12112.4,,,3903,1331,36766.57509,
1465332948803,Network.requestWillBeSent,12112.6,fonts.gstatic.com,,,,36766.58453,
1465332948804,Network.dataReceived,12112.4,,,4047,1331,36766.588779,
1465332948805,Network.dataReceived,12112.4,,,3963,1325,36766.590758,
1465332948805,Network.dataReceived,12112.4,,,4170,1331,36766.590824,
1465332948805,Network.dataReceived,12112.4,,,4177,1331,36766.590876,
1465332948805,Network.dataReceived,12112.4,,,3536,1331,36766.590949,
1465332948806,Network.dataReceived,12112.4,,,4236,1331,36766.590999,
1465332948806,Network.dataReceived,12112.4,,,3876,1331,36766.591908,
1465332948807,Network.dataReceived,12112.4,,,4325,1331,36766.593217,
1465332948808,Network.dataReceived,12112.4,,,3730,1331,36766.595022,
1465332948811,Network.dataReceived,12112.5,,,2665,1406,36766.597856,
1465332948814,Network.dataReceived,12112.5,,,3623,1331,36766.600464,
1465332948882,Network.responseReceived,12112.6,,font/woff,,,36766.66872,http/1.1
1465332948883,Network.dataReceived,12112.6,,,2456,2836,36766.668883,
1465332948883,Network.dataReceived,12112.6,,,11344,11344,36766.668941,
1465332948913,Network.dataReceived,12112.5,,,3391,1325,36766.699919,
1465332948917,Network.dataReceived,12112.5,,,2872,1331,36766.703023,
1465332948918,Network.dataReceived,12112.5,,,4633,1331,36766.704938,
1465332948919,Network.dataReceived,12112.5,,,3790,1331,36766.705587,
1465332948920,Network.dataReceived,12112.5,,,3899,1331,36766.706403,
1465332948920,Network.dataReceived,12112.6,,,460,460,36766.707013,
1465332948922,Network.loadingFinished,12112.6,,,,14640,36766.707073,
1465332948923,Network.dataReceived,12112.5,,,5198,1331,36766.709752,
1465332948925,Network.dataReceived,12112.5,,,3686,1331,36766.711028,
1465332948926,Network.dataReceived,12112.5,,,3122,1331,36766.712408,
1465332948930,Network.dataReceived,12112.5,,,4014,1331,36766.716113,
1465332948930,Network.dataReceived,12112.5,,,5029,1331,36766.716463,
1465332948932,Network.dataReceived,12112.5,,,4254,1331,36766.718761,
1465332948933,Network.dataReceived,12112.4,,,3925,1331,36766.719475,
1465332948933,Network.dataReceived,12112.4,,,4342,1331,36766.720364,
1465332948936,Network.dataReceived,12112.4,,,2994,1331,36766.722723,
1465332948938,Network.dataReceived,12112.4,,,3802,1331,36766.724167,
1465332948939,Network.dataReceived,12112.4,,,3947,1331,36766.72543,
1465332948941,Network.dataReceived,12112.4,,,3789,1331,36766.727896,
1465332948949,Network.dataReceived,12112.4,,,9022,2662,36766.734354,
1465332948949,Network.dataReceived,12112.4,,,4102,1331,36766.735386,
1465332948949,Network.dataReceived,12112.4,,,4045,1331,36766.735466,
1465332948951,Network.dataReceived,12112.4,,,4309,1331,36766.737472,
1465332948951,Network.dataReceived,12112.4,,,4772,1331,36766.738322,
1465332948952,Network.dataReceived,12112.4,,,3728,1325,36766.739212,
1465332948953,Network.dataReceived,12112.5,,,4448,1331,36766.739382,
1465332948953,Network.dataReceived,12112.5,,,4605,1331,36766.739917,
1465332948955,Network.dataReceived,12112.5,,,4662,1331,36766.741575,
1465332948955,Network.dataReceived,12112.5,,,4908,1331,36766.74193,
1465332948957,Network.dataReceived,12112.5,,,6420,1331,36766.743552,
1465332948958,Network.dataReceived,12112.5,,,6550,1331,36766.744885,
1465332948959,Network.dataReceived,12112.5,,,3970,1331,36766.746116,
1465332948960,Network.dataReceived,12112.5,,,4217,1330,36766.746674,
1465332948962,Network.dataReceived,12112.5,,,5583,1330,36766.748156,
1465332948963,Network.dataReceived,12112.5,,,5734,1330,36766.749428,
1465332948967,Network.dataReceived,12112.5,,,5329,1330,36766.753381,
1465332948967,Network.dataReceived,12112.5,,,6182,1330,36766.753564,
1465332948967,Network.dataReceived,12112.5,,,6377,1330,36766.754017,
1465332948968,Network.dataReceived,12112.4,,,8249,2654,36766.754687,
1465332948969,Network.dataReceived,12112.4,,,4109,1330,36766.755642,
1465332948971,Network.dataReceived,12112.4,,,3677,1330,36766.757506,
1465332948971,Network.dataReceived,12112.4,,,4494,1330,36766.757987,
1465332948975,Network.dataReceived,12112.4,,,9319,2660,36766.761614,
1465332948976,Network.dataReceived,12112.4,,,8801,2660,36766.762449,
1465332948983,Network.dataReceived,12112.4,,,16417,5320,36766.769655,
1465332948983,Network.dataReceived,12112.5,,,10600,2654,36766.770109,
1465332948986,Network.dataReceived,12112.5,,,10307,2660,36766.772518,
1465332948986,Network.dataReceived,12112.5,,,5570,1330,36766.773375,
1465332948987,Network.dataReceived,12112.5,,,5651,1330,36766.773917,
1465332948989,Network.dataReceived,12112.5,,,5159,1330,36766.775468,
1465332948989,Network.dataReceived,12112.5,,,5307,1330,36766.775839,
1465332948992,Network.dataReceived,12112.5,,,6294,1330,36766.77904,
1465332948992,Network.dataReceived,12112.5,,,6632,1330,36766.779143,
1465332948994,Network.dataReceived,12112.5,,,13185,2660,36766.780549,
1465332948999,Network.dataReceived,12112.5,,,9203,2660,36766.785353,
1465332949000,Network.dataReceived,12112.4,,,8667,2660,36766.786982,
1465332949001,Network.dataReceived,12112.4,,,3587,1330,36766.787299,
1465332949001,Network.dataReceived,12112.4,,,3806,1330,36766.788123,
1465332949002,Network.dataReceived,12112.4,,,7660,2660,36766.789126,
1465332949006,Network.dataReceived,12112.4,,,8079,2658,36766.792534,
1465332949007,Network.dataReceived,12112.4,,,9380,2658,36766.79357,
1465332949009,Network.dataReceived,12112.4,,,3792,1329,36766.79545,
1465332949087,Network.dataReceived,12112.4,,,10713,3908,36766.872635,
1465332949087,Network.dataReceived,12112.5,,,14513,3990,36766.873167,
1465332949087,Network.dataReceived,12112.5,,,5096,1330,36766.873733,
1465332949089,Network.dataReceived,12112.5,,,6505,1330,36766.874227,
1465332949089,Network.dataReceived,12112.5,,,4748,1129,36766.874439,
1465332949089,Network.loadingFinished,12112.5,,,,61062,36766.874417,
1465332949089,Network.dataReceived,12112.4,,,659,188,36766.874743,
1465332949089,Network.dataReceived,12112.4,,,3081,1329,36766.875083,
1465332949093,Network.dataReceived,12112.4,,,4419,1329,36766.877734,
1465332949095,Network.dataReceived,12112.4,,,3590,1329,36766.878217,
1465332949097,Network.dataReceived,12112.4,,,25210,6645,36766.883192,
1465332949097,Network.dataReceived,12112.4,,,4247,1329,36766.883801,
1465332949097,Network.dataReceived,12112.4,,,5747,1329,36766.884247,
1465332949100,Network.dataReceived,12112.4,,,11674,2658,36766.887177,
1465332949101,Network.dataReceived,12112.4,,,4307,1329,36766.887947,
1465332949102,Network.dataReceived,12112.4,,,8072,2658,36766.888447,
1465332949103,Network.dataReceived,12112.4,,,4516,1329,36766.890307,
1465332949105,Network.dataReceived,12112.4,,,4942,1329,36766.891929,
1465332949107,Network.dataReceived,12112.4,,,8335,2658,36766.893705,
1465332949107,Network.dataReceived,12112.4,,,8486,2658,36766.89417,
1465332949110,Network.dataReceived,12112.4,,,7926,2651,36766.896442,
1465332949110,Network.dataReceived,12112.4,,,1639,544,36766.896782,
1465332949110,Network.loadingFinished,12112.4,,,,108387,36766.896838,
1465332949269,Page.loadEventFired,,,,,,36767.053126,
1465332949269,Page.domContentEventFired,,,,,,36767.053276,
1465332949274,Network.requestWillBeSent,12112.10,m.imgur.com.this,,,,36767.059167,
