Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
quic,imgur,0.348540999999,1.120121,1.120121,0,0,0,0,1,17045,77211,0.387181000006,4,188878,648930,1.58850199999,1,14640,14260,0.117855000004,4,220563,740401
quic,amazon,0.564636000003,1.32971000001,1.238258,0,0,0,0,1,26742,85045,0.807325000002,8,143383,516649,1.115724,13,93561,87904,1.28916400002,9,263686,689598
quic,apple,0.358594000005,1.922843,1.450919,0,0,0,0,1,4577,24576,0.370589999999,9,190935,840041,3.979042,17,527807,536414,6.318636,4,723319,1401031
quic,amazon,0.560906999999,1.284186,1.180084,0,0,0,0,1,26747,85049,0.782541,8,142750,516649,0.812093,13,95078,90714,1.09310499999,9,264575,692412
quic,apple,0.353622999995,1.75722799999,1.17082599999,0,0,0,0,1,4577,24576,0.362688999994,9,190899,840041,2.953972,17,527789,536414,6.04774800001,4,723265,1401031
quic,amazon,0.595572999999,1.67408,1.519508,0,0,0,0,1,26744,85040,1.124314,8,143497,516649,0.92231400001,13,93599,87904,1.10473899999,9,263840,689593
quic,imgur,0.352158999995,1.05388,1.05388,0,0,0,0,1,17045,77211,0.391710999997,4,188897,648930,1.44122,1,14641,14260,0.118626000003,4,220583,740401
quic,imdb,0.712083999999,3.392485,1.282155,0,0,0,0,1,15918,87148,0.715454000005,4,81770,279104,1.386183,44,615412,607495,36.623794,9,713100,973747
quic,imgur,0.357144000001,1.075564,1.075564,0,0,0,0,1,17045,77211,0.395848,4,188900,648930,1.333335,1,14641,14260,0.129756000002,4,220586,740401
quic,imdb,0.697298999999,3.667383,1.319664,0,0,0,0,1,16398,87148,0.815443,4,81795,279111,1.56655699999,43,708527,701045,39.056424,9,806720,1067304
quic,apple,0.356372000002,1.507784,1.194806,0,0,0,0,1,4577,24576,0.369201000001,9,190933,840041,2.709418,17,527781,536414,4.88567099998,4,723291,1401031
quic,amazon,0.604908000001,1.738527,1.589766,0,0,0,0,1,26739,85045,1.190776,8,143389,516649,1.18268700001,13,92292,87904,1.07661500001,9,262420,689598
quic,apple,0.361196999998,1.604321,1.243624,0,0,0,0,1,4577,24576,0.370202999999,9,190935,840041,2.78166399999,17,527782,536414,5.25927,4,723294,1401031
quic,imdb,0.744352000002,3.690644,1.296437,0,0,0,0,1,16353,87148,0.783080000001,4,81745,279110,1.6602,46,606091,597447,41.219232,9,704189,963705
quic,imdb,0.640663999999,3.421546,1.222832,0,0,0,0,1,16372,87148,0.673957999999,4,81776,279110,1.59681399999,45,783640,775409,39.177245,9,881788,1141667
