timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465307216314,Network.responseReceived,13140.1,,text/plain,,,11034.057531,data
1465307216314,Network.loadingFinished,13140.1,,,,0,11034.057616,
1465307216320,Page.loadEventFired,,,,,,11034.096846,
1465307216327,Page.domContentEventFired,,,,,,11034.09694,
1465307217471,Network.requestWillBeSent,13165.1,www.amazon.com.this,,,,11034.203315,
1465307217472,Network.responseReceived,13165.1,,text/html,,,11035.251476,h2
1465307217486,Network.dataReceived,13165.1,,,8784,4827,11035.25209,
1465307217487,Network.dataReceived,13165.1,,,23119,8210,11035.272301,
1465307217516,Network.requestWillBeSent,13165.2,z-ecx.images-amazon.com.this,,,,11035.276934,
1465307217516,Network.requestWillBeSent,13165.3,z-ecx.images-amazon.com.this,,,,11035.277125,
1465307217516,Network.requestWillBeSent,13165.4,z-ecx.images-amazon.com.this,,,,11035.277265,
1465307217516,Network.requestWillBeSent,13165.5,z-ecx.images-amazon.com.this,,,,11035.277378,
1465307217516,Network.requestWillBeSent,13165.6,fls-na.amazon.com.this,,,,11035.277504,
1465307217516,Network.requestWillBeSent,13165.7,g-ecx.images-amazon.com,,,,11035.301912,
1465307217649,Network.dataReceived,13165.1,,,32768,8210,11035.434321,
1465307217649,Network.dataReceived,13165.1,,,5374,0,11035.434664,
1465307217649,Network.dataReceived,13165.1,,,14652,5511,11035.434847,
1465307217650,Network.loadingFinished,13165.1,,,,26758,11035.434738,
1465307217652,Network.requestWillBeSent,13165.8,g-ecx.images-amazon.com.this,,,,11035.436966,
1465307217687,Network.responseReceived,13165.2,,text/css,,,11035.471688,h2
1465307217687,Network.dataReceived,13165.2,,,32024,6169,11035.47203,
1465307217688,Network.loadingFinished,13165.2,,,,6169,11035.471624,
1465307217689,Network.responseReceived,13165.4,,text/css,,,11035.475169,h2
1465307217689,Network.dataReceived,13165.4,,,12174,3025,11035.475425,
1465307217690,Network.loadingFinished,13165.4,,,,3025,11035.472884,
1465307217826,Network.responseReceived,13165.3,,text/css,,,11035.611387,h2
1465307217835,Network.dataReceived,13165.3,,,32768,16580,11035.615937,
1465307217837,Network.dataReceived,13165.3,,,32768,0,11035.616302,
1465307217838,Network.responseReceived,13165.5,,text/css,,,11035.618341,h2
1465307217838,Network.dataReceived,13165.5,,,5158,1539,11035.61877,
1465307217838,Network.loadingFinished,13165.5,,,,1539,11035.618291,
1465307217838,Network.responseReceived,13165.6,,image/gif,,,11035.621232,h2
1465307217838,Network.dataReceived,13165.6,,,43,154,11035.621579,
1465307217838,Network.loadingFinished,13165.6,,,,154,11035.62039,
1465307217838,Network.dataReceived,13165.3,,,30380,4132,11035.622241,
1465307217839,Network.dataReceived,13165.3,,,24481,0,11035.622371,
1465307217846,Network.loadingFinished,13165.3,,,,20712,11035.622295,
1465307217858,Network.requestWillBeSent,13165.9,z-ecx.images-amazon.com,,,,11035.635603,
1465307217864,Network.requestWillBeSent,13165.13,,,,,11035.650428,
1465307217864,Network.responseReceived,13165.13,,image/svg+xml,,,11035.6505,data
1465307217864,Network.dataReceived,13165.13,,,195,0,11035.650547,
1465307217865,Network.loadingFinished,13165.13,,,,0,11035.650557,
1465307217866,Network.requestWillBeSent,13165.14,g-ecx.images-amazon.com,,,,11035.650878,
1465307217897,Network.requestWillBeSent,13165.15,g-ecx.images-amazon.com,,,,11035.651339,
1465307217914,Network.requestWillBeSent,13165.16,g-ecx.images-amazon.com,,,,11035.695322,
1465307217914,Network.requestWillBeSent,13165.17,images-na.ssl-images-amazon.com,,,,11035.695601,
1465307217914,Network.requestWillBeSent,13165.18,ecx.images-amazon.com,,,,11035.696204,
1465307217914,Network.requestWillBeSent,13165.19,ecx.images-amazon.com,,,,11035.696815,
1465307217914,Network.requestWillBeSent,13165.20,ecx.images-amazon.com,,,,11035.697454,
1465307217915,Network.requestWillBeSent,13165.21,ecx.images-amazon.com,,,,11035.69809,
1465307217915,Network.requestWillBeSent,13165.22,ecx.images-amazon.com,,,,11035.698562,
1465307217915,Network.requestWillBeSent,13165.23,ecx.images-amazon.com,,,,11035.699039,
1465307218042,Network.requestWillBeSent,13165.24,fls-na.amazon.com,,,,11035.820655,
1465307218042,Page.domContentEventFired,,,,,,11035.827994,
1465307218044,Network.requestWillBeSent,13165.25,z-ecx.images-amazon.com,,,,11035.829995,
1465307218045,Network.responseReceived,13165.9,,application/x-javascript,,,11035.830729,http/1.1
1465307218054,Network.dataReceived,13165.9,,,1265,1292,11035.831087,
1465307218054,Network.dataReceived,13165.9,,,4832,1692,11035.831193,
1465307218054,Network.loadingFinished,13165.9,,,,2984,11035.711769,
1465307218054,Network.responseReceived,13165.8,,image/png,,,11035.832445,h2
1465307218054,Network.dataReceived,13165.8,,,7708,7824,11035.832694,
1465307218055,Network.loadingFinished,13165.8,,,,7824,11035.811115,
1465307218059,Network.responseReceived,13165.17,,image/jpeg,,,11035.844607,http/1.1
1465307218066,Network.responseReceived,13165.14,,image/png,,,11035.85174,http/1.1
1465307218074,Network.dataReceived,13165.14,,,5592,6095,11035.852118,
1465307218074,Network.dataReceived,13165.14,,,1398,1398,11035.853419,
1465307218074,Network.dataReceived,13165.14,,,1398,1398,11035.853592,
1465307218074,Network.dataReceived,13165.14,,,1398,1398,11035.853679,
1465307218074,Network.dataReceived,13165.14,,,1398,1398,11035.855994,
1465307218075,Network.responseReceived,13165.7,,image/jpeg,,,11035.856915,http/1.1
1465307218075,Network.dataReceived,13165.7,,,3608,4096,11035.857287,
1465307218076,Network.responseReceived,13165.16,,image/jpeg,,,11035.862372,http/1.1
1465307218076,Network.dataReceived,13165.16,,,3608,4096,11035.862617,
1465307218078,Network.responseReceived,13165.15,,image/png,,,11035.863582,http/1.1
1465307218078,Network.dataReceived,13165.15,,,3609,4096,11035.863838,
1465307218078,Network.dataReceived,13165.14,,,1398,1398,11035.864111,
1465307218078,Network.dataReceived,13165.7,,,7331,7331,11035.864207,
1465307218078,Network.dataReceived,13165.16,,,1240,1240,11035.864288,
1465307218083,Network.loadingFinished,13165.16,,,,5336,11035.860809,
1465307218083,Network.dataReceived,13165.17,,,16384,16827,11035.866816,
1465307218083,Network.dataReceived,13165.15,,,4099,4099,11035.866918,
1465307218084,Network.loadingFinished,13165.15,,,,8195,11035.861942,
1465307218094,Network.dataReceived,13165.17,,,10099,10099,11035.880291,
1465307218094,Network.loadingFinished,13165.17,,,,26926,11035.88028,
1465307218124,Network.dataReceived,13165.7,,,1398,1398,11035.910454,
1465307218124,Network.dataReceived,13165.14,,,1398,1398,11035.910648,
1465307218124,Network.dataReceived,13165.14,,,1398,1398,11035.910711,
