timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465308268818,Network.responseReceived,4208.1,,text/plain,,,12086.571462,data
1465308268819,Network.loadingFinished,4208.1,,,,0,12086.571524,
1465308268828,Page.loadEventFired,,,,,,12086.606195,
1465308268828,Page.domContentEventFired,,,,,,12086.606459,
1465308269473,Network.requestWillBeSent,4231.1,www.apple.com.this,,,,12086.666396,
1465308269474,Network.responseReceived,4231.1,,text/html,,,12087.244444,h2
1465308269480,Network.dataReceived,4231.1,,,24576,4575,12087.252303,
1465308269481,Network.loadingFinished,4231.1,,,,4575,12087.252287,
1465308269488,Network.requestWillBeSent,4231.2,www.apple.com.this,,,,12087.271632,
1465308269488,Network.requestWillBeSent,4231.3,www.apple.com.this,,,,12087.271832,
1465308269488,Network.requestWillBeSent,4231.4,www.apple.com.this,,,,12087.271977,
1465308269488,Network.requestWillBeSent,4231.5,www.apple.com.this,,,,12087.272127,
1465308269488,Network.requestWillBeSent,4231.6,images.apple.com.this,,,,12087.27226,
1465308269488,Network.requestWillBeSent,4231.7,images.apple.com.this,,,,12087.272387,
1465308269488,Network.requestWillBeSent,4231.8,www.apple.com.this,,,,12087.272523,
1465308269488,Network.requestWillBeSent,4231.9,images.apple.com.this,,,,12087.272644,
1465308269489,Network.requestWillBeSent,4231.10,www.apple.com.this,,,,12087.272758,
1465308269690,Network.responseReceived,4231.6,,text/css,,,12087.47375,h2
1465308269691,Network.dataReceived,4231.6,,,32768,9841,12087.474596,
1465308269691,Network.responseReceived,4231.7,,application/x-javascript,,,12087.476298,h2
1465308269691,Network.dataReceived,4231.6,,,32768,0,12087.476538,
1465308269692,Network.dataReceived,4231.6,,,17484,0,12087.476648,
1465308269699,Network.loadingFinished,4231.6,,,,9841,12087.476443,
1465308269699,Network.dataReceived,4231.7,,,28873,9816,12087.485814,
1465308269868,Network.dataReceived,4231.7,,,32531,8743,12087.653135,
1465308269868,Network.loadingFinished,4231.7,,,,18559,12087.653071,
1465308269868,Network.responseReceived,4231.9,,application/x-javascript,,,12087.653876,h2
1465308269872,Network.dataReceived,4231.9,,,32768,9762,12087.658234,
1465308269872,Network.dataReceived,4231.9,,,2518,0,12087.658392,
1465308269891,Network.responseReceived,4231.2,,text/css,,,12087.675092,h2
1465308269891,Network.responseReceived,4231.3,,text/css,,,12087.675366,h2
1465308269891,Network.responseReceived,4231.5,,text/css,,,12087.675732,h2
1465308269891,Network.responseReceived,4231.4,,text/css,,,12087.675992,h2
1465308269892,Network.responseReceived,4231.10,,application/x-javascript,,,12087.67644,h2
1465308269892,Network.responseReceived,4231.8,,application/x-javascript,,,12087.676789,h2
1465308269892,Network.dataReceived,4231.5,,,9434,652,12087.676914,
1465308269893,Network.loadingFinished,4231.5,,,,652,12087.676854,
1465308269893,Network.dataReceived,4231.3,,,32768,4186,12087.679399,
1465308269893,Network.dataReceived,4231.3,,,2522,0,12087.67948,
1465308269893,Network.dataReceived,4231.4,,,29526,4186,12087.679528,
1465308269893,Network.dataReceived,4231.9,,,32768,19564,12087.679571,
1465308269893,Network.dataReceived,4231.2,,,31573,4186,12087.680128,
1465308269893,Network.dataReceived,4231.9,,,23038,0,12087.680206,
1465308270050,Network.dataReceived,4231.10,,,13985,4163,12087.83662,
1465308270061,Network.dataReceived,4231.8,,,32768,16469,12087.846833,
1465308270061,Network.dataReceived,4231.8,,,28184,0,12087.847033,
1465308270077,Network.dataReceived,4231.2,,,32768,5357,12087.862639,
