timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465305514660,Page.loadEventFired,,,,,,9332.421559,
1465305514662,Page.domContentEventFired,,,,,,9332.421809,
1465305515140,Network.requestWillBeSent,7014.1,www.apple.com.this,,,,9332.521304,
1465305515140,Network.responseReceived,7014.1,,text/html,,,9332.917657,quic/1+spdy/3
1465305515149,Network.dataReceived,7014.1,,,50,355,9332.919483,
1465305515150,Network.dataReceived,7014.1,,,101,64,9332.936156,
1465305515150,Network.dataReceived,7014.1,,,105,64,9332.936249,
1465305515150,Network.dataReceived,7014.1,,,140,64,9332.936309,
1465305515151,Network.dataReceived,7014.1,,,116,64,9332.936354,
1465305515151,Network.dataReceived,7014.1,,,270,64,9332.936405,
1465305515151,Network.dataReceived,7014.1,,,173,64,9332.936451,
1465305515151,Network.dataReceived,7014.1,,,1338,384,9332.9365,
1465305515151,Network.dataReceived,7014.1,,,275,64,9332.93655,
1465305515151,Network.dataReceived,7014.1,,,119,64,9332.936599,
1465305515151,Network.dataReceived,7014.1,,,5994,1217,9332.936647,
1465305515152,Network.dataReceived,7014.1,,,15895,2109,9332.936925,
1465305515152,Network.loadingFinished,7014.1,,,,4577,9332.927237,
1465305515159,Network.requestWillBeSent,7014.2,www.apple.com.this,,,,9332.942233,
1465305515159,Network.requestWillBeSent,7014.3,www.apple.com.this,,,,9332.942438,
1465305515159,Network.requestWillBeSent,7014.4,www.apple.com.this,,,,9332.942638,
1465305515159,Network.requestWillBeSent,7014.5,www.apple.com.this,,,,9332.942811,
1465305515159,Network.requestWillBeSent,7014.6,images.apple.com.this,,,,9332.942971,
1465305515160,Network.requestWillBeSent,7014.7,images.apple.com.this,,,,9332.943169,
1465305515160,Network.requestWillBeSent,7014.8,www.apple.com.this,,,,9332.943351,
1465305515160,Network.requestWillBeSent,7014.9,images.apple.com.this,,,,9332.943516,
1465305515160,Network.requestWillBeSent,7014.10,www.apple.com.this,,,,9332.943689,
1465305515344,Network.responseReceived,7014.7,,application/x-javascript,,,9333.128833,quic/1+spdy/3
1465305515344,Network.dataReceived,7014.7,,,22261,7876,9333.129779,
1465305515345,Network.responseReceived,7014.9,,application/x-javascript,,,9333.130256,quic/1+spdy/3
1465305515345,Network.dataReceived,7014.7,,,12992,3993,9333.130412,
1465305515356,Network.responseReceived,7014.2,,text/css,,,9333.138176,quic/1+spdy/3
1465305515356,Network.dataReceived,7014.2,,,23551,3875,9333.138369,
