timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465308914211,Network.requestWillBeSent,18419.1,m.imgur.com.this,,,,12731.390417,
1465308914211,Network.responseReceived,18419.1,,text/html,,,12731.995779,h2
1465308914223,Network.dataReceived,18419.1,,,15997,4380,12731.996274,
1465308914229,Network.requestWillBeSent,18419.2,fonts.googleapis.com.this,,,,12732.013913,
1465308914229,Network.requestWillBeSent,18419.3,m.imgur.com.this,,,,12732.014044,
1465308914229,Network.requestWillBeSent,18419.4,m.imgur.com.this,,,,12732.014202,
1465308914229,Network.requestWillBeSent,18419.5,m.imgur.com.this,,,,12732.014319,
1465308914350,Network.dataReceived,18419.1,,,32768,8210,12732.135344,
1465308914350,Network.dataReceived,18419.1,,,4589,0,12732.135477,
1465308914387,Network.dataReceived,18419.1,,,23857,4481,12732.173553,
1465308914388,Network.loadingFinished,18419.1,,,,17071,12732.1736,
1465308914431,Network.responseReceived,18419.4,,application/x-javascript,,,12732.215383,h2
1465308914431,Network.responseReceived,18419.3,,text/css,,,12732.216421,h2
1465308914431,Network.dataReceived,18419.4,,,9862,4201,12732.217331,
1465308914432,Network.dataReceived,18419.3,,,11370,4151,12732.218896,
1465308914531,Network.dataReceived,18419.4,,,27426,9984,12732.317531,
1465308914569,Network.dataReceived,18419.3,,,32768,14557,12732.354854,
1465308914569,Network.dataReceived,18419.3,,,32768,0,12732.355178,
1465308914569,Network.dataReceived,18419.3,,,6495,0,12732.3553,
1465308914584,Network.loadingFinished,18419.3,,,,18708,12732.355338,
1465308914620,Network.responseReceived,18419.5,,application/x-javascript,,,12732.405791,h2
1465308914621,Network.responseReceived,18419.2,,text/css,,,12732.406266,h2
1465308914621,Network.dataReceived,18419.2,,,492,664,12732.406539,
1465308914622,Network.loadingFinished,18419.2,,,,664,12732.40622,
1465308914638,Network.requestWillBeSent,18419.6,fonts.gstatic.com,,,,12732.420102,
1465308914641,Network.dataReceived,18419.4,,,32768,26082,12732.425092,
1465308914641,Network.dataReceived,18419.4,,,32768,0,12732.425213,
1465308914641,Network.dataReceived,18419.5,,,9863,4158,12732.425343,
1465308914642,Network.dataReceived,18419.4,,,13975,0,12732.425396,
1465308914731,Network.responseReceived,18419.6,,font/woff,,,12732.514807,http/1.1
1465308914731,Network.dataReceived,18419.6,,,1018,1398,12732.515035,
1465308914731,Network.dataReceived,18419.6,,,5592,5592,12732.515101,
1465308914731,Network.dataReceived,18419.6,,,1398,1398,12732.515153,
1465308914732,Network.dataReceived,18419.6,,,4194,4194,12732.517195,
1465308914732,Network.dataReceived,18419.6,,,1398,1398,12732.517307,
1465308914733,Network.dataReceived,18419.5,,,28793,9985,12732.519514,
1465308914741,Network.dataReceived,18419.4,,,32768,16393,12732.527545,
1465308914741,Network.dataReceived,18419.4,,,19563,0,12732.527801,
1465308914769,Network.dataReceived,18419.6,,,660,660,12732.555404,
1465308914772,Network.loadingFinished,18419.6,,,,14640,12732.555317,
1465308914772,Network.dataReceived,18419.4,,,32768,16393,12732.55868,
1465308914772,Network.dataReceived,18419.4,,,17233,0,12732.558803,
1465308914800,Network.dataReceived,18419.5,,,32768,16393,12732.586782,
1465308914800,Network.dataReceived,18419.5,,,29092,0,12732.586957,
1465308914806,Network.dataReceived,18419.5,,,32768,16393,12732.592339,
1465308914806,Network.dataReceived,18419.5,,,32768,0,12732.592657,
1465308914806,Network.dataReceived,18419.5,,,3174,0,12732.592831,
1465308914808,Network.dataReceived,18419.4,,,32768,16393,12732.594771,
1465308914808,Network.dataReceived,18419.4,,,20128,0,12732.594919,
1465308914813,Network.dataReceived,18419.4,,,32768,16393,12732.599403,
1465308914813,Network.dataReceived,18419.4,,,24567,0,12732.599631,
1465308914919,Network.dataReceived,18419.4,,,7744,2612,12732.704999,
1465308914919,Network.loadingFinished,18419.4,,,,108451,12732.704933,
1465308914919,Network.dataReceived,18419.5,,,32768,14167,12732.705413,
1465308914919,Network.dataReceived,18419.5,,,25937,0,12732.705725,
1465308914919,Network.loadingFinished,18419.5,,,,61096,12732.705668,
1465308915068,Page.loadEventFired,,,,,,12732.853596,
1465308915068,Page.domContentEventFired,,,,,,12732.853777,
