timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465305802250,Network.responseReceived,13880.1,,text/plain,,,9620.011336,data
1465305802250,Network.loadingFinished,13880.1,,,,0,9620.011389,
1465305802262,Page.loadEventFired,,,,,,9620.037184,
1465305802262,Page.domContentEventFired,,,,,,9620.03747,
1465305802743,Network.requestWillBeSent,13903.1,m.imgur.com.this,,,,9620.103027,
1465305802743,Network.responseReceived,13903.1,,text/html,,,9620.518027,quic/1+spdy/3
1465305802756,Network.dataReceived,13903.1,,,299,560,9620.52826,
1465305802757,Network.dataReceived,13903.1,,,262,128,9620.541796,
1465305802757,Network.dataReceived,13903.1,,,177,64,9620.541864,
1465305802757,Network.dataReceived,13903.1,,,145,64,9620.541921,
1465305802757,Network.dataReceived,13903.1,,,128,64,9620.541968,
1465305802757,Network.dataReceived,13903.1,,,84,64,9620.542022,
1465305802758,Network.dataReceived,13903.1,,,122,64,9620.542069,
1465305802758,Network.dataReceived,13903.1,,,156,64,9620.542131,
1465305802758,Network.dataReceived,13903.1,,,4681,1409,9620.542405,
1465305802761,Network.dataReceived,13903.1,,,12144,2434,9620.547095,
1465305802761,Network.dataReceived,13903.1,,,5601,1217,9620.547208,
1465305802761,Network.dataReceived,13903.1,,,4555,1217,9620.547277,
1465305802761,Network.dataReceived,13903.1,,,7195,1217,9620.547354,
1465305802763,Network.requestWillBeSent,13903.2,fonts.googleapis.com.this,,,,9620.547673,
1465305802763,Network.requestWillBeSent,13903.3,m.imgur.com.this,,,,9620.54783,
1465305802763,Network.requestWillBeSent,13903.4,m.imgur.com.this,,,,9620.548034,
1465305802764,Network.requestWillBeSent,13903.5,m.imgur.com.this,,,,9620.548206,
1465305802764,Network.dataReceived,13903.1,,,16477,3651,9620.549082,
1465305802764,Network.dataReceived,13903.1,,,4507,1217,9620.550187,
1465305802771,Network.dataReceived,13903.1,,,8864,1217,9620.557627,
1465305802771,Network.dataReceived,13903.1,,,7510,1217,9620.557797,
1465305802775,Network.dataReceived,13903.1,,,4304,1177,9620.560161,
1465305802775,Network.loadingFinished,13903.1,,,,17045,9620.560129,
1465305802963,Network.responseReceived,13903.4,,application/x-javascript,,,9620.748728,quic/1+spdy/3
1465305802963,Network.dataReceived,13903.4,,,3264,1446,9620.74902,
1465305802966,Network.responseReceived,13903.3,,text/css,,,9620.751186,quic/1+spdy/3
1465305802966,Network.dataReceived,13903.3,,,10233,3908,9620.751346,
1465305802967,Network.responseReceived,13903.5,,application/x-javascript,,,9620.753027,quic/1+spdy/3
1465305802972,Network.dataReceived,13903.3,,,18171,3993,9620.758134,
1465305802982,Network.dataReceived,13903.3,,,14428,2662,9620.76815,
1465305802989,Network.responseReceived,13903.2,,text/css,,,9620.775857,quic/1+spdy/3
1465305802990,Network.dataReceived,13903.3,,,6579,1104,9620.775962,
1465305802990,Network.dataReceived,13903.3,,,6033,1331,9620.775995,
1465305802990,Network.dataReceived,13903.3,,,19490,3993,9620.777189,
1465305803001,Network.dataReceived,13903.2,,,492,713,9620.787643,
1465305803001,Network.loadingFinished,13903.2,,,,713,9620.787549,
1465305803001,Network.dataReceived,13903.3,,,8467,1702,9620.787974,
1465305803006,Network.loadingFinished,13903.3,,,,18693,9620.787767,
1465305803006,Network.dataReceived,13903.4,,,1198,446,9620.793194,
1465305803021,Network.requestWillBeSent,13903.6,fonts.gstatic.com,,,,9620.802991,
1465305803021,Network.dataReceived,13903.4,,,6245,2656,9620.807131,
1465305803021,Network.dataReceived,13903.4,,,3177,1331,9620.807201,
1465305803021,Network.dataReceived,13903.4,,,3745,1331,9620.807255,
1465305803021,Network.dataReceived,13903.4,,,3520,1331,9620.807517,
1465305803021,Network.dataReceived,13903.4,,,2905,1331,9620.80761,
1465305803021,Network.dataReceived,13903.4,,,4307,1331,9620.807674,
1465305803028,Network.dataReceived,13903.4,,,3712,1331,9620.814397,
1465305803029,Network.dataReceived,13903.4,,,4296,1331,9620.814686,
1465305803029,Network.dataReceived,13903.4,,,4058,1325,9620.815033,
1465305803029,Network.dataReceived,13903.4,,,3933,1331,9620.815081,
1465305803029,Network.dataReceived,13903.4,,,3927,1331,9620.816078,
1465305803041,Network.dataReceived,13903.5,,,2665,1402,9620.827788,
1465305803041,Network.dataReceived,13903.5,,,3623,1331,9620.827863,
1465305803043,Network.dataReceived,13903.5,,,3391,1325,9620.829886,
1465305803043,Network.dataReceived,13903.5,,,2872,1331,9620.829942,
1465305803043,Network.dataReceived,13903.5,,,4633,1331,9620.830255,
1465305803051,Network.dataReceived,13903.5,,,3790,1331,9620.837382,
1465305803051,Network.dataReceived,13903.5,,,3899,1331,9620.837566,
1465305803122,Network.responseReceived,13903.6,,font/woff,,,9620.908376,http/1.1
1465305803122,Network.dataReceived,13903.6,,,1018,1398,9620.90879,
1465305803123,Network.dataReceived,13903.6,,,4194,4194,9620.909343,
1465305803123,Network.dataReceived,13903.6,,,1398,1398,9620.909399,
1465305803123,Network.dataReceived,13903.6,,,1398,1398,9620.909537,
1465305803123,Network.dataReceived,13903.6,,,1398,1398,9620.909758,
1465305803123,Network.dataReceived,13903.6,,,1398,1398,9620.9098,
1465305803123,Network.dataReceived,13903.6,,,1398,1398,9620.910021,
1465305803123,Network.dataReceived,13903.6,,,1398,1398,9620.910072,
1465305803151,Network.dataReceived,13903.5,,,5198,1331,9620.937539,
1465305803159,Network.dataReceived,13903.5,,,10793,3987,9620.945393,
1465305803159,Network.dataReceived,13903.5,,,5044,1331,9620.945472,
1465305803161,Network.dataReceived,13903.6,,,660,660,9620.947331,
1465305803164,Network.loadingFinished,13903.6,,,,14640,9620.947354,
1465305803164,Network.dataReceived,13903.5,,,4260,1331,9620.949169,
1465305803164,Network.dataReceived,13903.4,,,3755,1331,9620.949232,
1465305803172,Network.dataReceived,13903.4,,,12252,3993,9620.958295,
1465305803172,Network.dataReceived,13903.4,,,3869,1331,9620.958394,
1465305803174,Network.dataReceived,13903.4,,,3950,1331,9620.96052,
1465305803174,Network.dataReceived,13903.4,,,4312,1331,9620.960643,
1465305803175,Network.dataReceived,13903.4,,,2886,1331,9620.960803,
1465305803175,Network.dataReceived,13903.4,,,3917,1331,9620.9614,
1465305803182,Network.dataReceived,13903.4,,,8005,2662,9620.968186,
1465305803182,Network.dataReceived,13903.4,,,8995,2662,9620.968794,
1465305803191,Network.dataReceived,13903.5,,,4441,1331,9620.977405,
1465305803191,Network.dataReceived,13903.5,,,4607,1331,9620.97756,
1465305803191,Network.dataReceived,13903.5,,,4660,1331,9620.977832,
1465305803199,Network.dataReceived,13903.5,,,4910,1331,9620.985779,
1465305803199,Network.dataReceived,13903.5,,,12968,2662,9620.986222,
1465305803200,Network.dataReceived,13903.5,,,3972,1331,9620.986289,
1465305803200,Network.dataReceived,13903.5,,,4213,1331,9620.9865,
1465305803200,Network.dataReceived,13903.5,,,5595,1331,9620.986791,
1465305803208,Network.dataReceived,13903.5,,,5715,1331,9620.994198,
1465305803208,Network.dataReceived,13903.5,,,5348,1331,9620.994307,
1465305803210,Network.dataReceived,13903.5,,,12564,2662,9620.995536,
1465305803210,Network.dataReceived,13903.4,,,3822,1331,9620.9958,
1465305803210,Network.dataReceived,13903.4,,,4240,1331,9620.995922,
1465305803221,Network.dataReceived,13903.4,,,9189,2662,9621.007656,
1465305803221,Network.dataReceived,13903.4,,,7526,2662,9621.007853,
1465305803224,Network.dataReceived,13903.4,,,4796,1325,9621.010348,
1465305803224,Network.dataReceived,13903.4,,,12200,3990,9621.010603,
1465305803224,Network.dataReceived,13903.4,,,4475,1330,9621.010777,
1465305803224,Network.dataReceived,13903.4,,,4745,1330,9621.011193,
1465305803231,Network.dataReceived,13903.4,,,4787,1330,9621.017827,
1465305803231,Network.dataReceived,13903.5,,,4658,1330,9621.017922,
1465305803232,Network.dataReceived,13903.5,,,15988,3918,9621.018409,
1465305803241,Network.dataReceived,13903.5,,,11251,2660,9621.027935,
1465305803242,Network.dataReceived,13903.5,,,5024,1324,9621.028066,
1465305803242,Network.dataReceived,13903.5,,,11589,2660,9621.028235,
1465305803249,Network.dataReceived,13903.5,,,6612,1330,9621.035732,
1465305803249,Network.dataReceived,13903.5,,,13347,2660,9621.035912,
1465305803249,Network.dataReceived,13903.5,,,4416,1330,9621.036188,
1465305803250,Network.dataReceived,13903.4,,,4341,1330,9621.03628,
1465305803251,Network.dataReceived,13903.4,,,8268,2660,9621.037825,
1465305803252,Network.dataReceived,13903.4,,,7830,2660,9621.038023,
1465305803252,Network.dataReceived,13903.4,,,4505,1330,9621.038185,
1465305803252,Network.dataReceived,13903.4,,,3623,1330,9621.03833,
1465305803252,Network.dataReceived,13903.4,,,3894,1330,9621.038801,
1465305803261,Network.dataReceived,13903.4,,,3513,1330,9621.04751,
1465305803270,Network.dataReceived,13903.4,,,7930,2659,9621.057066,
1465305803281,Network.dataReceived,13903.4,,,4014,1329,9621.067532,
1465305803281,Network.dataReceived,13903.4,,,4773,1329,9621.067652,
1465305803281,Network.dataReceived,13903.5,,,4712,1330,9621.068159,
1465305803281,Network.dataReceived,13903.5,,,5178,1330,9621.068224,
1465305803281,Network.dataReceived,13903.5,,,5225,1330,9621.06827,
1465305803352,Network.dataReceived,13903.5,,,9293,2660,9621.13817,
1465305803354,Network.dataReceived,13903.5,,,6380,1330,9621.140496,
1465305803354,Network.dataReceived,13903.5,,,5097,1201,9621.140623,
1465305803354,Network.loadingFinished,13903.5,,,,61058,9621.140642,
1465305803354,Network.dataReceived,13903.4,,,595,116,9621.141072,
1465305803363,Network.dataReceived,13903.4,,,4856,1329,9621.147533,
1465305803364,Network.dataReceived,13903.4,,,7025,2651,9621.14764,
1465305803365,Network.dataReceived,13903.4,,,14547,5316,9621.151193,
1465305803372,Network.dataReceived,13903.4,,,7601,2658,9621.157927,
1465305803373,Network.dataReceived,13903.4,,,16519,3987,9621.158674,
1465305803373,Network.dataReceived,13903.4,,,5082,1329,9621.159463,
1465305803374,Network.dataReceived,13903.4,,,30206,7974,9621.1604,
1465305803374,Network.dataReceived,13903.4,,,17517,5316,9621.160828,
1465305803375,Network.dataReceived,13903.4,,,7644,2658,9621.161193,
1465305803391,Network.dataReceived,13903.4,,,3986,1329,9621.177567,
1465305803391,Network.dataReceived,13903.4,,,4934,1329,9621.177683,
1465305803391,Network.dataReceived,13903.4,,,3888,1315,9621.177741,
1465305803392,Network.dataReceived,13903.4,,,3988,1329,9621.178649,
1465305803392,Network.dataReceived,13903.4,,,19,18,9621.178764,
1465305803393,Network.loadingFinished,13903.4,,,,108387,9621.17821,
1465305803534,Page.loadEventFired,,,,,,9621.318575,
1465305803534,Page.domContentEventFired,,,,,,9621.318739,
