Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
quic,imgur,0.396798,1.163218,1.163218,0,0,0,0,1,17046,77211,0.434045,4,188865,648930,1.649702,1,14640,14260,0.153844999999,4,220551,740401
quic,amazon,0.601839999999,1.516086,1.231373,0,0,0,0,1,26737,84860,0.842433,8,143337,516388,1.487012,13,108757,103146,2.235236,10,278831,704394
quic,apple,0.412773,1.791988,1.270845,0,0,0,0,1,4577,24576,0.430797000001,9,190937,840041,3.08219099999,17,527777,536414,7.334032,4,723291,1401031
quic,amazon,0.609392,1.546819,1.262799,0,0,0,0,1,26696,84683,0.843944,8,143408,516388,1.855131,13,109727,104092,2.794317,10,279831,705163
quic,apple,0.414029,1.814941,1.252952,0,0,0,0,1,4577,24576,0.435791,9,190935,840041,2.987963,17,527732,536414,7.495553,4,723244,1401031
quic,amazon,0.610935000001,1.477857,1.24264,0,0,0,0,1,26714,84802,0.856648999999,8,143320,516388,1.514749,13,108162,102551,3.373873,10,278196,703741
quic,imgur,0.397453,1.134683,1.134683,0,0,0,0,1,17045,77211,0.433906999999,4,188834,648930,1.501214,1,14640,14260,0.192106999999,4,220519,740401
quic,imdb,0.664496000001,3.561656,1.273371,0,0,0,0,1,15940,83052,0.765645000001,4,81765,279104,1.56248,44,727983,719904,39.391941,9,825688,1082060
quic,imgur,0.389528,1.166725,1.166725,0,0,0,0,1,17044,77211,0.428227999999,4,188862,648930,1.612043,1,14640,14260,0.121424000001,4,220546,740401
quic,imdb,0.693733,3.618626,1.336032,0,0,0,0,1,15842,83052,0.802076,4,81777,279111,1.731498,45,564549,556344,40.738565,9,662168,918507
quic,apple,0.40417,1.557993,1.258615,0,0,0,0,1,4577,24576,0.404683999999,9,190938,840041,3.122628,17,527802,536414,5.574312,4,723317,1401031
quic,amazon,0.627866999999,1.597451,1.325166,0,0,0,0,1,26710,84802,0.908927999999,8,143359,516388,1.629269,13,108160,102551,3.467141,10,278229,703741
quic,apple,0.431348,1.83762,1.237235,0,0,0,0,1,4577,24576,0.442525,9,183024,840041,3.088011,17,527775,536414,7.502726,4,715376,1401031
quic,imdb,0.72077,3.693183,1.289258,0,0,0,0,1,15773,83052,0.759352999999,4,81764,279104,1.777366,44,719528,711413,40.039882,9,817065,1073569
quic,imdb,0.628176,3.452359,1.314673,0,0,0,0,1,15896,83051,0.736966,4,81682,279111,1.710573,43,594230,586380,39.830519,9,691808,948542
