timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512594664,Network.responseReceived,16105.1,,text/plain,,,11548.407895,data
1464512594664,Network.loadingFinished,16105.1,,,,0,11548.407909,
1464512594667,Page.loadEventFired,,,,,,11548.417951,
1464512594668,Page.domContentEventFired,,,,,,11548.418167,
1464512595120,Network.requestWillBeSent,16130.1,www.amazon.com,,,,11548.442948,
1464512595121,Network.responseReceived,16130.1,,text/html,,,11548.872127,http/1.1
1464512595128,Network.dataReceived,16130.1,,,6427,4096,11548.872304,
1464512595128,Network.dataReceived,16130.1,,,1765,723,11548.880917,
1464512595151,Network.dataReceived,16130.1,,,5863,2176,11548.90338,
1464512595156,Network.requestWillBeSent,16130.2,z-ecx.images-amazon.com,,,,11548.908393,
1464512595156,Network.dataReceived,16130.1,,,2329,1005,11548.908668,
1464512595156,Network.requestWillBeSent,16130.3,z-ecx.images-amazon.com,,,,11548.908979,
1464512595156,Network.requestWillBeSent,16130.4,z-ecx.images-amazon.com,,,,11548.909085,
1464512595156,Network.dataReceived,16130.1,,,8192,3340,11548.909534,
1464512595310,Network.dataReceived,16130.1,,,11938,4152,11549.062646,
1464512595311,Network.requestWillBeSent,16130.5,fls-na.amazon.com,,,,11549.063103,
1464512595311,Network.requestWillBeSent,16130.6,g-ecx.images-amazon.com,,,,11549.063275,
1464512595348,Network.dataReceived,16130.1,,,4446,1551,11549.101246,
1464512595349,Network.dataReceived,16130.1,,,32768,8855,11549.102395,
1464512595350,Network.dataReceived,16130.1,,,8192,1528,11549.103094,
1464512595360,Network.dataReceived,16130.1,,,2529,809,11549.112683,
1464512595360,Network.requestWillBeSent,16130.7,g-ecx.images-amazon.com,,,,11549.113034,
1464512595373,Network.responseReceived,16130.3,,text/css,,,11549.125917,http/1.1
1464512595374,Network.responseReceived,16130.2,,text/css,,,11549.126561,http/1.1
1464512595374,Network.dataReceived,16130.2,,,20371,4096,11549.12669,
1464512595374,Network.dataReceived,16130.2,,,24159,3659,11549.126756,
1464512595374,Network.dataReceived,16130.2,,,32768,5792,11549.127425,
1464512595374,Network.dataReceived,16130.2,,,4447,0,11549.127466,
1464512595376,Network.dataReceived,16130.3,,,32768,7771,11549.129576,
1464512595377,Network.dataReceived,16130.3,,,9758,0,11549.129617,
1464512595378,Network.responseReceived,16130.4,,text/css,,,11549.130641,http/1.1
1464512595378,Network.dataReceived,16130.4,,,5030,2896,11549.130734,
1464512595378,Network.dataReceived,16130.3,,,32768,5792,11549.130783,
1464512595378,Network.dataReceived,16130.3,,,6707,0,11549.13084,
1464512595378,Network.dataReceived,16130.4,,,32768,5584,11549.131067,
1464512595378,Network.dataReceived,16130.4,,,4064,0,11549.131119,
1464512595378,Network.loadingFinished,16130.4,,,,8480,11549.131162,
1464512595379,Network.dataReceived,16130.1,,,13855,2910,11549.132106,
1464512595379,Network.dataReceived,16130.1,,,6737,1460,11549.13228,
1464512595380,Network.requestWillBeSent,16130.8,g-ecx.images-amazon.com,,,,11549.132539,
1464512595380,Network.requestWillBeSent,16130.9,g-ecx.images-amazon.com,,,,11549.132654,
1464512595380,Network.requestWillBeSent,16130.10,g-ecx.images-amazon.com,,,,11549.13274,
1464512595380,Network.requestWillBeSent,16130.11,g-ecx.images-amazon.com,,,,11549.132808,
1464512595380,Network.requestWillBeSent,16130.12,g-ecx.images-amazon.com,,,,11549.132972,
1464512595380,Network.dataReceived,16130.2,,,32768,5792,11549.133078,
1464512595380,Network.dataReceived,16130.2,,,7274,0,11549.133197,
1464512595380,Network.dataReceived,16130.2,,,19804,3338,11549.133403,
1464512595386,Network.loadingFinished,16130.2,,,,22677,11549.133415,
1464512595386,Network.dataReceived,16130.3,,,32768,6635,11549.138632,
1464512595386,Network.dataReceived,16130.3,,,4829,0,11549.138691,
1464512595386,Network.loadingFinished,16130.3,,,,20198,11549.134968,
1464512595428,Network.requestWillBeSent,16130.13,g-ecx.images-amazon.com,,,,11549.158367,
1464512595435,Network.requestWillBeSent,16130.14,ecx.images-amazon.com,,,,11549.187591,
1464512595501,Network.dataReceived,16130.1,,,26080,7300,11549.253854,
1464512595504,Network.requestWillBeSent,16130.15,images-na.ssl-images-amazon.com,,,,11549.255321,
1464512595504,Network.requestWillBeSent,16130.16,images-na.ssl-images-amazon.com,,,,11549.256307,
1464512595526,Network.dataReceived,16130.1,,,7532,1460,11549.278772,
1464512595541,Network.dataReceived,16130.1,,,25846,5840,11549.29344,
1464512595541,Network.dataReceived,16130.1,,,29780,7300,11549.293859,
1464512595543,Network.requestWillBeSent,16130.17,z-ecx.images-amazon.com,,,,11549.29518,
1464512595543,Network.requestWillBeSent,16130.18,z-ecx.images-amazon.com,,,,11549.295252,
1464512595543,Network.requestWillBeSent,16130.19,g-ecx.images-amazon.com,,,,11549.295324,
1464512595543,Network.dataReceived,16130.1,,,32768,9506,11549.295521,
1464512595543,Network.dataReceived,16130.1,,,1573,0,11549.295585,
1464512595543,Network.loadingFinished,16130.1,,,,64011,11549.294427,
1464512595545,Network.requestWillBeSent,16130.20,z-ecx.images-amazon.com,,,,11549.29834,
1464512595550,Network.responseReceived,16130.18,,text/css,,,11549.302242,http/1.1
1464512595550,Network.dataReceived,16130.18,,,10582,2354,11549.302369,
1464512595550,Network.loadingFinished,16130.18,,,,2354,11549.302192,
