timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465185950920,Page.loadEventFired,,,,,,281.797669,
1465185950920,Page.domContentEventFired,,,,,,281.797877,
1465185952127,Network.requestWillBeSent,3187.1,www.amazon.com,,,,281.847352,
1465185952127,Network.responseReceived,3187.1,,text/html,,,283.005197,http/1.1
1465185952141,Network.dataReceived,3187.1,,,6359,4096,283.005562,
1465185952141,Network.dataReceived,3187.1,,,10025,4325,283.023025,
1465185952142,Network.dataReceived,3187.1,,,8192,2687,283.023672,
1465185952175,Network.requestWillBeSent,3187.2,images-na.ssl-images-amazon.com,,,,283.028838,
1465185952175,Network.requestWillBeSent,3187.3,images-na.ssl-images-amazon.com,,,,283.029001,
1465185952175,Network.requestWillBeSent,3187.4,images-na.ssl-images-amazon.com,,,,283.029145,
1465185952175,Network.requestWillBeSent,3187.5,images-na.ssl-images-amazon.com,,,,283.029274,
1465185952175,Network.requestWillBeSent,3187.6,images-na.ssl-images-amazon.com,,,,283.055824,
1465185952352,Network.responseReceived,3187.2,,text/css,,,283.229314,http/1.1
1465185952352,Network.dataReceived,3187.2,,,18891,4096,283.230068,
1465185952352,Network.dataReceived,3187.2,,,12046,2233,283.230189,
1465185952355,Network.loadingFinished,3187.2,,,,6334,283.230397,
1465185952357,Network.responseReceived,3187.3,,text/css,,,283.237214,http/1.1
1465185952358,Network.responseReceived,3187.4,,text/css,,,283.237897,http/1.1
1465185952359,Network.dataReceived,3187.4,,,12174,3412,283.238259,
1465185952359,Network.loadingFinished,3187.4,,,,3412,283.231997,
1465185952360,Network.responseReceived,3187.5,,text/css,,,283.241013,http/1.1
1465185952361,Network.dataReceived,3187.5,,,5158,1943,283.241287,
1465185952361,Network.loadingFinished,3187.5,,,,1943,283.232878,
1465185952361,Network.dataReceived,3187.3,,,32768,21053,283.24289,
1465185952361,Network.dataReceived,3187.3,,,32768,0,283.243023,
1465185952361,Network.dataReceived,3187.3,,,32768,0,283.243126,
1465185952362,Network.dataReceived,3187.3,,,22273,0,283.243265,
1465185952373,Network.loadingFinished,3187.3,,,,21053,283.239454,
1465185952373,Network.dataReceived,3187.1,,,8192,2918,283.254903,
1465185952374,Network.dataReceived,3187.1,,,8192,2505,283.255016,
1465185952374,Network.dataReceived,3187.1,,,16384,7043,283.255168,
1465185952374,Network.dataReceived,3187.1,,,8192,3529,283.255262,
1465185952374,Network.dataReceived,3187.1,,,16384,6730,283.255509,
1465185952375,Network.responseReceived,3187.6,,image/jpeg,,,283.256351,http/1.1
1465185952377,Network.dataReceived,3187.6,,,3589,4096,283.256692,
1465185952377,Network.dataReceived,3187.6,,,10847,10847,283.256875,
1465185952377,Network.loadingFinished,3187.6,,,,14943,283.246253,
1465185952377,Network.dataReceived,3187.1,,,8192,1543,283.257091,
1465185952377,Network.dataReceived,3187.1,,,8192,1256,283.257171,
1465185952377,Network.dataReceived,3187.1,,,10311,2673,283.257247,
1465185952380,Network.requestWillBeSent,3187.7,images-na.ssl-images-amazon.com,,,,283.260368,
1465185952381,Network.requestWillBeSent,3187.8,fls-na.amazon.com,,,,283.261247,
1465185952381,Network.requestWillBeSent,3187.9,images-na.ssl-images-amazon.com,,,,283.261496,
1465185952381,Network.dataReceived,3187.1,,,978,407,283.262709,
1465185952390,Network.dataReceived,3187.1,,,5095,2274,283.271969,
1465185952424,Network.requestWillBeSent,3187.13,,,,,283.275466,
1465185952424,Network.responseReceived,3187.13,,image/svg+xml,,,283.275505,data
1465185952424,Network.dataReceived,3187.13,,,195,0,283.275519,
1465185952424,Network.loadingFinished,3187.13,,,,0,283.275521,
1465185952424,Network.requestWillBeSent,3187.14,images-na.ssl-images-amazon.com,,,,283.275696,
1465185952437,Network.requestWillBeSent,3187.15,images-na.ssl-images-amazon.com,,,,283.31182,
1465185952438,Network.requestWillBeSent,3187.16,images-na.ssl-images-amazon.com,,,,283.316349,
1465185952438,Network.requestWillBeSent,3187.17,images-na.ssl-images-amazon.com,,,,283.316512,
1465185952438,Network.requestWillBeSent,3187.18,images-na.ssl-images-amazon.com,,,,283.31664,
1465185952438,Network.requestWillBeSent,3187.19,images-na.ssl-images-amazon.com,,,,283.316777,
1465185952438,Network.requestWillBeSent,3187.20,images-na.ssl-images-amazon.com,,,,283.316906,
1465185952438,Network.requestWillBeSent,3187.21,images-na.ssl-images-amazon.com,,,,283.317014,
1465185952438,Network.requestWillBeSent,3187.22,images-na.ssl-images-amazon.com,,,,283.317124,
1465185952438,Network.requestWillBeSent,3187.23,images-na.ssl-images-amazon.com,,,,283.317233,
1465185952440,Network.responseReceived,3187.9,,image/png,,,283.321194,http/1.1
1465185952440,Network.dataReceived,3187.9,,,3609,4096,283.321364,
1465185952440,Network.dataReceived,3187.9,,,4099,4099,283.321522,
1465185952440,Network.loadingFinished,3187.9,,,,8195,283.308813,
1465185952441,Network.responseReceived,3187.14,,image/png,,,283.321896,http/1.1
1465185952537,Network.requestWillBeSent,3187.24,images-na.ssl-images-amazon.com,,,,283.417163,
1465185952537,Network.requestWillBeSent,3187.25,images-na.ssl-images-amazon.com,,,,283.417668,
1465185952537,Network.requestWillBeSent,3187.26,images-na.ssl-images-amazon.com,,,,283.418078,
1465185952537,Network.dataReceived,3187.14,,,16384,16887,283.418779,
1465185952537,Network.dataReceived,3187.14,,,8878,8878,283.418923,
1465185952537,Network.loadingFinished,3187.14,,,,25765,283.328094,
1465185952538,Network.responseReceived,3187.7,,application/x-javascript,,,283.419317,http/1.1
1465185952538,Network.dataReceived,3187.7,,,6097,2977,283.419464,
1465185952538,Network.loadingFinished,3187.7,,,,2977,283.330085,
1465185952539,Network.responseReceived,3187.16,,image/jpeg,,,283.419753,http/1.1
1465185952539,Network.dataReceived,3187.16,,,3608,4096,283.419892,
1465185952539,Network.dataReceived,3187.16,,,1240,1240,283.419965,
1465185952539,Network.loadingFinished,3187.16,,,,5336,283.331433,
1465185952539,Network.responseReceived,3187.17,,image/jpeg,,,283.420273,http/1.1
1465185952539,Network.dataReceived,3187.17,,,2249,2738,283.420396,
1465185952539,Network.dataReceived,3187.17,,,9329,9329,283.420456,
1465185952539,Network.loadingFinished,3187.17,,,,12067,283.334744,
1465185952540,Network.responseReceived,3187.18,,image/jpeg,,,283.420738,http/1.1
1465185952540,Network.dataReceived,3187.18,,,2900,3388,283.420876,
1465185952540,Network.loadingFinished,3187.18,,,,3388,283.335264,
1465185952540,Network.responseReceived,3187.19,,image/jpeg,,,283.421161,http/1.1
1465185952540,Network.dataReceived,3187.19,,,2221,2709,283.421285,
1465185952540,Network.loadingFinished,3187.19,,,,2709,283.34963,
1465185952541,Network.responseReceived,3187.15,,application/x-javascript,,,283.421628,http/1.1
1465185952541,Network.dataReceived,3187.15,,,10059,4096,283.421759,
1465185952541,Network.dataReceived,3187.15,,,10262,3487,283.4218,
1465185952541,Network.loadingFinished,3187.15,,,,7588,283.350905,
1465185952542,Network.responseReceived,3187.20,,image/jpeg,,,283.42206,http/1.1
1465185952542,Network.dataReceived,3187.20,,,2562,3048,283.422195,
1465185952542,Network.loadingFinished,3187.20,,,,3048,283.351366,
1465185952542,Network.responseReceived,3187.21,,image/jpeg,,,283.422482,http/1.1
1465185952542,Network.dataReceived,3187.21,,,3064,3552,283.422605,
