timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464524076308,Network.responseReceived,16305.1,,text/plain,,,6660.05864,data
1464524076308,Network.loadingFinished,16305.1,,,,0,6660.058657,
1464524076314,Page.loadEventFired,,,,,,6660.099714,
1464524076315,Page.domContentEventFired,,,,,,6660.09978,
1464524076384,Network.requestWillBeSent,16324.1,www.apple.com,,,,6660.143917,
1464524076391,Network.responseReceived,16324.1,,text/html,,,6660.168897,http/1.1
1464524076403,Network.dataReceived,16324.1,,,3018,1448,6660.169073,
1464524076404,Network.dataReceived,16324.1,,,18058,2896,6660.191104,
1464524076404,Network.dataReceived,16324.1,,,7711,1111,6660.191174,
1464524076404,Network.loadingFinished,16324.1,,,,5455,6660.169315,
1464524076410,Network.requestWillBeSent,16324.2,www.apple.com,,,,6660.19504,
1464524076410,Network.requestWillBeSent,16324.3,www.apple.com,,,,6660.195259,
1464524076410,Network.requestWillBeSent,16324.4,www.apple.com,,,,6660.195419,
1464524076410,Network.requestWillBeSent,16324.5,www.apple.com,,,,6660.195531,
1464524076410,Network.requestWillBeSent,16324.6,images.apple.com,,,,6660.195641,
1464524076410,Network.requestWillBeSent,16324.7,images.apple.com,,,,6660.195781,
1464524076410,Network.requestWillBeSent,16324.8,www.apple.com,,,,6660.195909,
1464524076410,Network.requestWillBeSent,16324.9,images.apple.com,,,,6660.196022,
1464524076411,Network.requestWillBeSent,16324.10,www.apple.com,,,,6660.196135,
1464524076411,Network.requestWillBeSent,16324.11,images.apple.com,,,,6660.196232,
1464524076423,Network.responseReceived,16324.2,,text/css,,,6660.211619,http/1.1
1464524076424,Network.dataReceived,16324.2,,,14979,2896,6660.211754,
1464524076425,Network.dataReceived,16324.2,,,32768,8169,6660.213394,
1464524076426,Network.dataReceived,16324.2,,,32768,0,6660.213496,
1464524076426,Network.dataReceived,16324.2,,,2048,0,6660.213567,
1464524076432,Network.loadingFinished,16324.2,,,,11065,6660.213623,
1464524076435,Network.responseReceived,16324.4,,text/css,,,6660.221646,http/1.1
1464524076435,Network.dataReceived,16324.4,,,4406,1448,6660.22181,
1464524076435,Network.dataReceived,16324.4,,,32768,8729,6660.222881,
1464524076436,Network.dataReceived,16324.4,,,32768,0,6660.223015,
1464524076437,Network.responseReceived,16324.5,,text/css,,,6660.22485,http/1.1
1464524076437,Network.dataReceived,16324.5,,,9434,881,6660.224998,
1464524076437,Network.loadingFinished,16324.5,,,,881,6660.215419,
