timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465185957137,Network.requestWillBeSent,3316.1,www.apple.com,,,,287.681042,
1465185957138,Network.responseReceived,3316.1,,text/html,,,288.015798,http/1.1
1465185957155,Network.dataReceived,3316.1,,,22807,4096,288.016251,
1465185957155,Network.dataReceived,3316.1,,,2212,576,288.036596,
1465185957155,Network.loadingFinished,3316.1,,,,4672,288.015569,
1465185957164,Network.requestWillBeSent,3316.2,www.apple.com,,,,288.042826,
1465185957164,Network.requestWillBeSent,3316.3,www.apple.com,,,,288.042979,
1465185957164,Network.requestWillBeSent,3316.4,www.apple.com,,,,288.043112,
1465185957164,Network.requestWillBeSent,3316.5,www.apple.com,,,,288.04323,
1465185957164,Network.requestWillBeSent,3316.6,www.apple.com,,,,288.043352,
1465185957164,Network.requestWillBeSent,3316.7,www.apple.com,,,,288.04347,
1465185957164,Network.requestWillBeSent,3316.8,www.apple.com,,,,288.043592,
1465185957164,Network.requestWillBeSent,3316.9,www.apple.com,,,,288.043699,
1465185957165,Network.requestWillBeSent,3316.10,www.apple.com,,,,288.043807,
1465185957165,Network.requestWillBeSent,3316.11,www.apple.com,,,,288.043917,
1465185957185,Network.responseReceived,3316.2,,text/css,,,288.060842,http/1.1
1465185957185,Network.dataReceived,3316.2,,,27381,4096,288.061033,
1465185957185,Network.dataReceived,3316.2,,,32768,5608,288.061102,
1465185957185,Network.dataReceived,3316.2,,,24458,0,288.066301,
1465185957192,Network.loadingFinished,3316.2,,,,9704,288.066315,
1465185957193,Network.responseReceived,3316.3,,text/css,,,288.074365,http/1.1
1465185957193,Network.dataReceived,3316.3,,,32185,4096,288.074523,
1465185957193,Network.dataReceived,3316.3,,,23941,2448,288.074593,
1465185957196,Network.loadingFinished,3316.3,,,,6544,288.070489,
1465185957196,Network.responseReceived,3316.5,,text/css,,,288.077965,http/1.1
1465185957197,Network.dataReceived,3316.5,,,9434,827,288.078123,
1465185957197,Network.loadingFinished,3316.5,,,,827,288.076201,
1465185957206,Network.responseReceived,3316.4,,text/css,,,288.084111,http/1.1
1465185957206,Network.dataReceived,3316.4,,,25516,4096,288.084396,
1465185957206,Network.dataReceived,3316.4,,,32768,5004,288.084477,
1465185957206,Network.dataReceived,3316.4,,,29111,0,288.084533,
1465185957209,Network.loadingFinished,3316.4,,,,9100,288.0845,
1465185957211,Network.responseReceived,3316.7,,application/x-javascript,,,288.090482,http/1.1
1465185957211,Network.dataReceived,3316.7,,,9154,4096,288.090698,
1465185957211,Network.dataReceived,3316.7,,,32768,12288,288.090759,
1465185957212,Network.dataReceived,3316.7,,,11518,0,288.091064,
1465185957212,Network.dataReceived,3316.7,,,7964,2310,288.091149,
1465185957212,Network.loadingFinished,3316.7,,,,18694,288.087574,
1465185957212,Network.responseReceived,3316.10,,application/x-javascript,,,288.092306,http/1.1
1465185957213,Network.dataReceived,3316.10,,,13149,4096,288.092774,
1465185957213,Network.dataReceived,3316.10,,,13427,3870,288.092957,
1465185957213,Network.loadingFinished,3316.10,,,,7966,288.09217,
1465185957215,Network.responseReceived,3316.8,,application/x-javascript,,,288.096148,http/1.1
1465185957215,Network.dataReceived,3316.8,,,10952,4096,288.096462,
1465185957215,Network.dataReceived,3316.8,,,32768,12288,288.096738,
1465185957215,Network.dataReceived,3316.8,,,16382,0,288.096827,
1465185957216,Network.dataReceived,3316.8,,,25991,8514,288.097812,
1465185957221,Network.responseReceived,3316.9,,application/x-javascript,,,288.102661,http/1.1
1465185957221,Network.dataReceived,3316.9,,,12712,4096,288.102835,
1465185957222,Network.dataReceived,3316.9,,,32768,12288,288.102989,
1465185957222,Network.dataReceived,3316.9,,,13115,0,288.103049,
1465185957222,Network.dataReceived,3316.8,,,32768,15583,288.104059,
1465185957222,Network.dataReceived,3316.8,,,24858,0,288.104397,
1465185957223,Network.loadingFinished,3316.8,,,,40481,288.104266,
1465185957227,Network.dataReceived,3316.9,,,23342,8515,288.10922,
1465185957234,Network.dataReceived,3316.9,,,32768,26632,288.115259,
1465185957234,Network.dataReceived,3316.9,,,32768,0,288.115477,
1465185957234,Network.dataReceived,3316.9,,,21699,0,288.11592,
1465185957234,Network.dataReceived,3316.9,,,32768,16396,288.11604,
1465185957234,Network.dataReceived,3316.9,,,29744,0,288.116404,
1465185957239,Network.responseReceived,3316.11,,application/x-javascript,,,288.119896,http/1.1
1465185957239,Network.dataReceived,3316.11,,,11697,4096,288.120168,
1465185957239,Network.dataReceived,3316.11,,,32768,12288,288.120257,
1465185957239,Network.dataReceived,3316.11,,,15409,0,288.120421,
1465185957240,Network.dataReceived,3316.9,,,32768,13296,288.121093,
1465185957240,Network.dataReceived,3316.9,,,23206,0,288.12124,
1465185957240,Network.loadingFinished,3316.9,,,,81223,288.121308,
1465185957240,Network.dataReceived,3316.11,,,29030,8515,288.121844,
1465185957246,Network.dataReceived,3316.11,,,32768,16384,288.127921,
1465185957246,Network.dataReceived,3316.11,,,26358,0,288.128158,
1465185957246,Network.dataReceived,3316.11,,,4397,1221,288.128223,
1465185957248,Network.dataReceived,3316.11,,,32768,10797,288.129987,
1465185957248,Network.dataReceived,3316.11,,,11224,0,288.130071,
1465185957250,Network.dataReceived,3316.11,,,32768,16384,288.131834,
1465185957250,Network.dataReceived,3316.11,,,21777,0,288.131993,
1465185957250,Network.dataReceived,3316.11,,,27,12,288.132075,
1465185957251,Network.dataReceived,3316.11,,,32768,13342,288.132943,
1465185957251,Network.dataReceived,3316.11,,,13679,0,288.133054,
1465185957251,Network.loadingFinished,3316.11,,,,83039,288.133125,
1465185957324,Network.responseReceived,3316.6,,text/css,,,288.20495,http/1.1
1465185957324,Network.dataReceived,3316.6,,,18944,4096,288.205105,
1465185957324,Network.dataReceived,3316.6,,,32768,5853,288.205161,
1465185957324,Network.dataReceived,3316.6,,,31288,0,288.205205,
1465185957333,Network.loadingFinished,3316.6,,,,9949,288.205245,
1465185957592,Network.requestWillBeSent,3316.52,www.apple.com,,,,288.304434,
1465185957592,Network.requestWillBeSent,3316.53,www.apple.com,,,,288.306443,
1465185957592,Network.requestWillBeSent,3316.44,www.apple.com,,,,288.306634,
1465185957593,Network.requestWillBeSent,3316.54,www.apple.com,,,,288.307125,
1465185957593,Network.requestWillBeSent,3316.55,www.apple.com,,,,288.307566,
1465185957593,Network.requestWillBeSent,3316.56,www.apple.com,,,,288.308098,
1465185957593,Network.requestWillBeSent,3316.57,www.apple.com,,,,288.308566,
1465185957593,Network.requestWillBeSent,3316.58,www.apple.com,,,,288.309043,
1465185957594,Network.requestWillBeSent,3316.59,www.apple.com,,,,288.309413,
1465185957594,Network.requestWillBeSent,3316.60,www.apple.com,,,,288.309744,
1465185957594,Network.requestWillBeSent,3316.61,www.apple.com,,,,288.310079,
1465185957594,Network.requestWillBeSent,3316.62,www.apple.com,,,,288.361991,
1465185957654,Network.requestWillBeSent,3316.36,www.apple.com,,,,288.481865,
1465185957654,Network.requestWillBeSent,3316.63,www.apple.com,,,,288.483668,
1465185957654,Network.requestWillBeSent,3316.22,www.apple.com,,,,288.486025,
1465185957654,Network.requestWillBeSent,3316.26,www.apple.com,,,,288.488847,
1465185957654,Network.requestWillBeSent,3316.64,www.apple.com,,,,288.489999,
1465185957655,Network.responseReceived,3316.52,,image/svg+xml,,,288.535499,http/1.1
1465185957655,Network.dataReceived,3316.52,,,1860,1306,288.535726,
1465185957656,Network.loadingFinished,3316.52,,,,1306,288.312554,
1465185957657,Network.responseReceived,3316.53,,image/svg+xml,,,288.537926,http/1.1
1465185957657,Network.dataReceived,3316.53,,,2063,1465,288.538126,
1465185957658,Network.loadingFinished,3316.53,,,,1465,288.317343,
1465185957658,Network.responseReceived,3316.56,,image/svg+xml,,,288.53968,http/1.1
1465185957659,Network.dataReceived,3316.56,,,2706,1736,288.539867,
1465185957659,Network.loadingFinished,3316.56,,,,1736,288.31855,
1465185957660,Network.responseReceived,3316.44,,application/font-woff,,,288.541341,http/1.1
1465185957660,Network.dataReceived,3316.44,,,3789,4096,288.541537,
1465185957660,Network.dataReceived,3316.44,,,12288,12288,288.541582,
1465185957661,Network.responseReceived,3316.54,,image/svg+xml,,,288.541803,http/1.1
1465185957661,Network.dataReceived,3316.54,,,2737,1724,288.541988,
1465185957661,Network.loadingFinished,3316.54,,,,1724,288.323967,
1465185957661,Network.dataReceived,3316.44,,,10447,10447,288.543189,
1465185957661,Network.dataReceived,3316.44,,,16384,16384,288.543224,
1465185957662,Network.responseReceived,3316.55,,image/svg+xml,,,288.543471,http/1.1
1465185957662,Network.dataReceived,3316.55,,,3382,1972,288.543673,
1465185957663,Network.loadingFinished,3316.55,,,,1972,288.326911,
1465185957663,Network.responseReceived,3316.57,,image/svg+xml,,,288.544929,http/1.1
1465185957664,Network.dataReceived,3316.57,,,1112,962,288.545098,
1465185957664,Network.loadingFinished,3316.57,,,,962,288.327384,
1465185957664,Network.dataReceived,3316.44,,,12120,12120,288.5462,
1465185957664,Network.dataReceived,3316.44,,,16384,16384,288.546237,
1465185957665,Network.responseReceived,3316.58,,image/svg+xml,,,288.546468,http/1.1
1465185957665,Network.dataReceived,3316.58,,,3347,1986,288.546666,
1465185957666,Network.loadingFinished,3316.58,,,,1986,288.335826,
1465185957666,Network.dataReceived,3316.44,,,12120,12120,288.547758,
1465185957667,Network.responseReceived,3316.59,,image/svg+xml,,,288.547978,http/1.1
1465185957667,Network.dataReceived,3316.59,,,4200,2239,288.548156,
1465185957667,Network.loadingFinished,3316.59,,,,2239,288.336643,
1465185957667,Network.dataReceived,3316.44,,,14240,14240,288.549266,
1465185957672,Network.loadingFinished,3316.44,,,,98079,288.33683,
1465185957672,Network.responseReceived,3316.60,,image/svg+xml,,,288.553367,http/1.1
1465185957672,Network.dataReceived,3316.60,,,1031,946,288.553735,
1465185957674,Network.loadingFinished,3316.60,,,,946,288.338829,
1465185957674,Network.responseReceived,3316.61,,image/svg+xml,,,288.55566,http/1.1
1465185957674,Network.dataReceived,3316.61,,,464,746,288.555812,
1465185957675,Network.loadingFinished,3316.61,,,,746,288.347167,
1465185957676,Network.responseReceived,3316.62,,application/json,,,288.557053,http/1.1
1465185957676,Network.dataReceived,3316.62,,,105,513,288.557186,
1465185957681,Network.loadingFinished,3316.62,,,,513,288.372941,
1465185957810,Page.domContentEventFired,,,,,,288.691308,
1465185957811,Network.responseReceived,3316.63,,image/png,,,288.692145,http/1.1
1465185957811,Network.dataReceived,3316.63,,,582,880,288.69234,
1465185957811,Network.loadingFinished,3316.63,,,,880,288.496329,
1465185957812,Network.responseReceived,3316.36,,application/font-woff,,,288.69281,http/1.1
1465185957812,Network.dataReceived,3316.36,,,3788,4096,288.693019,
1465185957812,Network.dataReceived,3316.36,,,12288,12288,288.69308,
1465185957812,Network.responseReceived,3316.22,,application/font-woff,,,288.693312,http/1.1
1465185957812,Network.dataReceived,3316.22,,,3789,4096,288.693507,
1465185957812,Network.dataReceived,3316.22,,,12288,12288,288.693566,
1465185957813,Network.dataReceived,3316.22,,,11371,11371,288.693615,
1465185957813,Network.dataReceived,3316.22,,,16384,16384,288.693666,
1465185957813,Network.dataReceived,3316.22,,,12120,12120,288.693716,
1465185957813,Network.dataReceived,3316.22,,,16384,16384,288.693765,
1465185957813,Network.responseReceived,3316.26,,application/font-woff,,,288.69399,http/1.1
1465185957813,Network.dataReceived,3316.26,,,3789,4096,288.694204,
1465185957813,Network.dataReceived,3316.26,,,12288,12288,288.694261,
1465185957814,Network.dataReceived,3316.36,,,10728,10728,288.694318,
1465185957814,Network.dataReceived,3316.26,,,11727,11727,288.694364,
1465185957814,Network.dataReceived,3316.36,,,16384,16384,288.694414,
1465185957814,Network.dataReceived,3316.36,,,12120,12120,288.694463,
1465185957814,Network.dataReceived,3316.26,,,16384,16384,288.694515,
1465185957814,Network.dataReceived,3316.22,,,22288,22288,288.694568,
1465185957816,Network.loadingFinished,3316.22,,,,94931,288.519664,
1465185957816,Network.dataReceived,3316.26,,,12120,12120,288.697968,
1465185957816,Network.dataReceived,3316.26,,,16384,16384,288.698004,
1465185957817,Network.dataReceived,3316.26,,,22288,22288,288.69804,
1465185957820,Network.loadingFinished,3316.26,,,,95287,288.52932,
1465185957820,Network.dataReceived,3316.36,,,16384,16384,288.701601,
1465185957820,Network.dataReceived,3316.36,,,12120,12120,288.701651,
1465185957820,Network.dataReceived,3316.36,,,16288,16288,288.701789,
1465185957823,Network.loadingFinished,3316.36,,,,100408,288.537581,
1465185957851,Network.responseReceived,3316.64,,image/jpeg,,,288.727615,http/1.1
1465185957851,Network.dataReceived,3316.64,,,3814,4096,288.727847,
1465185957851,Network.dataReceived,3316.64,,,12288,12288,288.727934,
1465185957851,Network.dataReceived,3316.64,,,11550,11550,288.729227,
1465185957851,Network.dataReceived,3316.64,,,28504,28504,288.72929,
1465185957851,Network.dataReceived,3316.64,,,16384,16384,288.729364,
1465185957851,Network.dataReceived,3316.64,,,12120,12120,288.729436,
1465185957851,Network.dataReceived,3316.64,,,16384,16384,288.729487,
1465185957851,Network.dataReceived,3316.64,,,24336,24336,288.729546,
1465185957858,Network.loadingFinished,3316.64,,,,125662,288.630871,
1465185957858,Page.loadEventFired,,,,,,288.729935,
