timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512135521,Network.requestWillBeSent,14419.143,world.taobao.com,,,,11089.186399,
1464512135522,Network.responseReceived,14419.142,,application/javascript,,,11089.191009,http/1.1
1464512135522,Network.dataReceived,14419.142,,,7147,4096,11089.191139,
1464512135522,Network.responseReceived,14419.138,,text/css,,,11089.191429,http/1.1
1464512135522,Network.dataReceived,14419.138,,,14477,4096,11089.191572,
1464512135522,Network.dataReceived,14419.142,,,4445,1797,11089.191623,
1464512135522,Network.loadingFinished,14419.142,,,,5893,11089.191445,
1464512135522,Network.dataReceived,14419.138,,,3275,706,11089.191721,
1464512135522,Network.loadingFinished,14419.138,,,,4802,11089.191528,
1464512135522,Network.responseReceived,14419.139,,application/x-javascript,,,11089.195289,http/1.1
1464512135522,Network.dataReceived,14419.139,,,3154,2387,11089.1954,
1464512135522,Network.loadingFinished,14419.139,,,,2387,11089.191881,
1464512135522,Network.responseReceived,14419.143,,image/x-icon,,,11089.195613,http/1.1
1464512135522,Network.dataReceived,14419.143,,,1150,1365,11089.195697,
1464512135522,Network.loadingFinished,14419.143,,,,1365,11089.192534,
1464512135522,Network.requestWillBeSent,14419.144,translate.googleapis.com,,,,11089.196558,
1464512135523,Network.responseReceived,14419.141,,image/x-icon,,,11089.230376,h2
1464512135523,Network.dataReceived,14419.141,,,1150,1320,11089.230485,
1464512135523,Network.loadingFinished,14419.141,,,,1320,11089.217106,
1464512135628,Network.requestWillBeSent,14445.1,www.bing.com,,,,11089.298453,
1464512135628,Network.responseReceived,14445.1,,text/html,,,11089.379616,http/1.1
1464512135637,Network.dataReceived,14445.1,,,8711,4096,11089.379773,
1464512135637,Network.dataReceived,14445.1,,,21310,6570,11089.389958,
1464512135637,Network.dataReceived,14445.1,,,23831,8192,11089.390021,
1464512135640,Network.dataReceived,14445.1,,,9395,3848,11089.390182,
1464512135641,Network.dataReceived,14445.1,,,12375,4344,11089.393652,
1464512135641,Network.dataReceived,14445.1,,,9192,3329,11089.393731,
1464512135641,Network.loadingFinished,14445.1,,,,30379,11089.384113,
1464512135651,Network.requestWillBeSent,14445.3,,,,,11089.403208,
1464512135651,Network.responseReceived,14445.3,,image/gif,,,11089.403223,data
1464512135651,Network.dataReceived,14445.3,,,42,0,11089.403235,
1464512135651,Network.loadingFinished,14445.3,,,,0,11089.403236,
1464512135672,Network.requestWillBeSent,14445.4,www.bing.com,,,,11089.404453,
1464512135682,Page.domContentEventFired,,,,,,11089.434706,
1464512135682,Network.responseReceived,14445.4,,image/png,,,11089.434864,http/1.1
1464512135682,Network.dataReceived,14445.4,,,3856,4096,11089.435009,
1464512135682,Network.dataReceived,14445.4,,,2804,2804,11089.435114,
1464512135685,Network.loadingFinished,14445.4,,,,6900,11089.411415,
1464512135685,Page.loadEventFired,,,,,,11089.436661,
