timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512585511,Network.responseReceived,15677.1,,text/plain,,,11539.256045,data
1464512585511,Network.loadingFinished,15677.1,,,,0,11539.256071,
1464512585513,Page.loadEventFired,,,,,,11539.264849,
1464512585513,Page.domContentEventFired,,,,,,11539.264881,
1464512586240,Network.requestWillBeSent,15702.1,www.facebook.com,,,,11539.290285,
1464512586240,Network.requestWillBeSent,15702.1,www.facebook.com,,,,11539.320051,
1464512586240,Network.responseReceived,15702.1,,text/html,,,11539.99173,h2
1464512586247,Network.dataReceived,15702.1,,,24038,7655,11539.991837,
1464512586249,Network.dataReceived,15702.1,,,13111,4081,11540.000159,
1464512586252,Network.requestWillBeSent,15702.2,www.facebook.com,,,,11540.003172,
1464512586252,Network.requestWillBeSent,15702.3,www.facebook.com,,,,11540.00327,
1464512586252,Network.requestWillBeSent,15702.4,www.facebook.com,,,,11540.003354,
1464512586252,Network.requestWillBeSent,15702.5,www.facebook.com,,,,11540.003424,
1464512586252,Network.requestWillBeSent,15702.6,www.facebook.com,,,,11540.003495,
1464512586252,Network.requestWillBeSent,15702.7,www.facebook.com,,,,11540.003566,
1464512586252,Network.requestWillBeSent,15702.8,www.facebook.com,,,,11540.003646,
1464512586253,Network.requestWillBeSent,15702.9,www.facebook.com,,,,11540.003713,
1464512586253,Network.requestWillBeSent,15702.10,scontent.xx.fbcdn.net,,,,11540.003781,
1464512586253,Network.requestWillBeSent,15702.11,scontent.xx.fbcdn.net,,,,11540.003829,
1464512586253,Network.requestWillBeSent,15702.12,scontent.xx.fbcdn.net,,,,11540.003883,
1464512586253,Network.requestWillBeSent,15702.13,www.facebook.com,,,,11540.003925,
1464512586261,Network.responseReceived,15702.2,,text/css,,,11540.01335,h2
1464512586261,Network.responseReceived,15702.3,,text/css,,,11540.013545,h2
1464512586262,Network.responseReceived,15702.4,,text/css,,,11540.013741,h2
1464512586262,Network.dataReceived,15702.2,,,15208,4727,11540.013825,
1464512586262,Network.loadingFinished,15702.2,,,,4727,11540.013811,
1464512586262,Network.dataReceived,15702.3,,,4076,1502,11540.014715,
1464512586262,Network.loadingFinished,15702.3,,,,1502,11540.01399,
1464512586262,Network.dataReceived,15702.4,,,3469,1697,11540.015335,
1464512586265,Network.dataReceived,15702.4,,,17645,3917,11540.016903,
1464512586266,Network.loadingFinished,15702.4,,,,5614,11540.016895,
1464512586266,Network.responseReceived,15702.13,,image/gif,,,11540.019182,h2
1464512586267,Network.responseReceived,15702.6,,text/css,,,11540.019398,h2
1464512586267,Network.responseReceived,15702.7,,text/css,,,11540.019574,h2
1464512586267,Network.responseReceived,15702.8,,text/css,,,11540.019776,h2
1464512586267,Network.responseReceived,15702.9,,application/x-javascript,,,11540.019965,h2
1464512586268,Network.dataReceived,15702.6,,,3238,1438,11540.020198,
1464512586268,Network.dataReceived,15702.6,,,32768,9623,11540.02022,
1464512586268,Network.dataReceived,15702.6,,,17767,0,11540.02024,
1464512586269,Network.loadingFinished,15702.6,,,,11061,11540.019874,
1464512586269,Network.dataReceived,15702.7,,,13032,3229,11540.022173,
1464512586270,Network.loadingFinished,15702.7,,,,3229,11540.020132,
1464512586270,Network.dataReceived,15702.8,,,161,992,11540.022722,
1464512586270,Network.loadingFinished,15702.8,,,,992,11540.020224,
1464512586270,Network.dataReceived,15702.9,,,3553,1810,11540.023034,
1464512586274,Network.dataReceived,15702.9,,,32768,16393,11540.02694,
1464512586274,Network.dataReceived,15702.9,,,22904,0,11540.027225,
1464512586276,Network.dataReceived,15702.9,,,32768,16084,11540.028962,
1464512586277,Network.dataReceived,15702.9,,,27289,0,11540.029109,
1464512586277,Network.loadingFinished,15702.9,,,,34287,11540.029073,
1464512586277,Network.responseReceived,15702.10,,image/png,,,11540.029639,h2
1464512586277,Network.dataReceived,15702.10,,,741,892,11540.029756,
1464512586277,Network.loadingFinished,15702.10,,,,892,11540.029571,
1464512586278,Network.responseReceived,15702.11,,image/png,,,11540.029936,h2
1464512586278,Network.dataReceived,15702.11,,,1490,1569,11540.029998,
1464512586278,Network.loadingFinished,15702.11,,,,1569,11540.029864,
1464512586278,Network.dataReceived,15702.13,,,522,732,11540.030082,
1464512586278,Network.loadingFinished,15702.13,,,,732,11540.029954,
1464512586278,Network.responseReceived,15702.5,,text/css,,,11540.030372,h2
1464512586278,Network.responseReceived,15702.12,,image/png,,,11540.030586,h2
1464512586278,Network.dataReceived,15702.12,,,3600,3679,11540.030651,
1464512586278,Network.loadingFinished,15702.12,,,,3679,11540.030483,
1464512586281,Network.dataReceived,15702.5,,,28817,18512,11540.033946,
1464512586282,Network.dataReceived,15702.5,,,11767,8269,11540.034712,
1464512586282,Network.loadingFinished,15702.5,,,,26781,11540.034715,
1464512586380,Network.requestWillBeSent,15702.16,www.facebook.com,,,,11540.059946,
1464512586380,Network.requestWillBeSent,15702.17,www.facebook.com,,,,11540.065579,
1464512586381,Network.requestWillBeSent,15702.15,wAAAAAADQAgACUAKgAsAD8AYABhAH4AoACoAKoAsAC0ALoAvwDRANgA3wDxAPgA,,,,11540.06606,
1464512586382,Network.requestWillBeSent,15702.14,wAAAAAADQAgACoALAAwADoAPwBCAGAAYQB+AKAAqACqALAAtAC6AL8A0QDYAN8A8QD4AP8BAgEUAR4BMQFSAV4BeAI3AsYC2ALcIBMgGCAcICIgOSIS,,,,11540.066325,
1464512586384,Network.responseReceived,15702.15,,font/opentype,,,11540.134436,data
1464512586384,Network.dataReceived,15702.15,,,15340,0,11540.134464,
1464512586384,Network.loadingFinished,15702.15,,,,0,11540.134473,
1464512586384,Network.responseReceived,15702.14,,font/opentype,,,11540.135644,data
1464512586384,Network.dataReceived,15702.14,,,14660,0,11540.135671,
1464512586384,Network.loadingFinished,15702.14,,,,0,11540.135676,
1464512586384,Network.responseReceived,15702.16,,image/png,,,11540.136596,h2
1464512586385,Network.dataReceived,15702.16,,,3538,3748,11540.136734,
1464512586385,Network.loadingFinished,15702.16,,,,3748,11540.066829,
1464512586385,Network.responseReceived,15702.17,,image/png,,,11540.137076,h2
1464512586385,Network.dataReceived,15702.17,,,8047,8251,11540.137153,
1464512586385,Network.loadingFinished,15702.17,,,,8251,11540.071942,
1464512586432,Network.dataReceived,15702.1,,,32768,19314,11540.184784,
1464512586432,Network.dataReceived,15702.1,,,32768,0,11540.184889,
1464512586432,Network.dataReceived,15702.1,,,9001,0,11540.184922,
1464512586432,Network.loadingFinished,15702.1,,,,31050,11540.184786,
1464512586470,Network.requestWillBeSent,15702.18,www.facebook.com,,,,11540.203114,
1464512586470,Network.requestWillBeSent,15702.19,www.facebook.com,,,,11540.203353,
1464512586470,Network.requestWillBeSent,15702.20,www.facebook.com,,,,11540.203519,
