timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464411390972,Page.loadEventFired,,,,,,1256.291625,
1464411390972,Page.domContentEventFired,,,,,,1256.291658,
1464411391584,Network.requestWillBeSent,3648.1,www.google.com,,,,1256.313434,
1464411391585,Network.requestWillBeSent,3648.1,www.google.co.kr,,,,1256.43188,
1464411391585,Network.requestWillBeSent,3648.1,www.google.co.kr,,,,1256.598662,
1464411391585,Network.responseReceived,3648.1,,text/html,,,1256.903904,h2
1464411391592,Network.dataReceived,,,,9459,4630,1256.90408,
1464411391592,Network.dataReceived,,,,16692,4167,1256.913322,
1464411391593,Network.dataReceived,,,,23572,4948,1256.914053,
1464411391593,Network.dataReceived,,,,3564,1767,1256.914096,
1464411391598,Network.dataReceived,,,,7445,2777,1256.918903,
1464411391598,Network.dataReceived,,,,7110,2778,1256.91932,
1464411391598,Network.dataReceived,,,,4015,2778,1256.91934,
1464411391607,Network.dataReceived,,,,7890,2778,1256.928012,
1464411391607,Network.dataReceived,,,,8798,2778,1256.928134,
1464411391607,Network.dataReceived,,,,17671,6674,1256.928221,
1464411391609,Network.requestWillBeSent,3648.2,www.google.co.kr,,,,1256.9294,
1464411391624,Network.dataReceived,,,,7853,2778,1256.944607,
1464411391624,Network.dataReceived,,,,13194,4167,1256.945056,
1464411391643,Network.requestWillBeSent,3648.3,www.google.co.kr,,,,1256.945674,
1464411391643,Network.requestWillBeSent,3648.4,ssl.gstatic.com,,,,1256.946457,
1464411391643,Network.dataReceived,,,,31991,10860,1256.964045,
1464411391647,Network.dataReceived,,,,23710,5556,1256.967688,
1464411391647,Network.dataReceived,,,,7748,1877,1256.967746,
1464411391647,Network.loadingFinished,3648.1,,,,,1256.964746,
1464411391648,Network.requestWillBeSent,3648.5,www.google.co.kr,,,,1256.968854,
1464411391670,Page.domContentEventFired,,,,,,1256.991108,
1464411391702,Network.responseReceived,3648.2,,image/png,,,1257.022758,h2
1464411391708,Network.dataReceived,,,,21909,22053,1257.028915,
