timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465185968962,Network.responseReceived,3694.1,,text/plain,,,299.822025,data
1465185968962,Network.loadingFinished,3694.1,,,,0,299.822051,
1465185968972,Page.loadEventFired,,,,,,299.8472,
1465185968972,Page.domContentEventFired,,,,,,299.847464,
1465185970289,Network.requestWillBeSent,3711.1,m.imdb.com,,,,299.888945,
1465185970291,Network.responseReceived,3711.1,,text/html,,,301.165389,http/1.1
1465185970308,Network.dataReceived,3711.1,,,7820,4096,301.167369,
1465185970308,Network.dataReceived,3711.1,,,99,59,301.18945,
1465185970308,Network.dataReceived,3711.1,,,1,12,301.189511,
1465185970308,Network.dataReceived,3711.1,,,8983,3150,301.189687,
1465185970308,Network.dataReceived,3711.1,,,1,12,301.189826,
1465185970312,Network.dataReceived,3711.1,,,8991,2081,301.194113,
1465185970312,Network.dataReceived,3711.1,,,1,12,301.194205,
1465185970313,Network.dataReceived,3711.1,,,8991,1090,301.194272,
1465185970314,Network.dataReceived,3711.1,,,1,12,301.194335,
1465185970314,Network.dataReceived,3711.1,,,8991,1190,301.194497,
1465185970314,Network.dataReceived,3711.1,,,1,12,301.194547,
1465185970317,Network.requestWillBeSent,3711.2,ia.media-imdb.com,,,,301.194896,
1465185970317,Network.requestWillBeSent,3711.3,images-na.ssl-images-amazon.com,,,,301.195028,
1465185970317,Network.requestWillBeSent,3711.4,images-na.ssl-images-amazon.com,,,,301.195961,
1465185970317,Network.requestWillBeSent,3711.5,ia.media-imdb.com,,,,301.196131,
1465185970318,Network.requestWillBeSent,3711.6,ia.media-imdb.com,,,,301.196298,
1465185970318,Network.requestWillBeSent,3711.7,ia.media-imdb.com,,,,301.196464,
1465185970318,Network.requestWillBeSent,3711.8,ia.media-imdb.com,,,,301.196623,
1465185970318,Network.requestWillBeSent,3711.9,ia.media-imdb.com,,,,301.196891,
1465185970318,Network.requestWillBeSent,3711.10,ia.media-imdb.com,,,,301.19716,
1465185970318,Network.requestWillBeSent,3711.11,ia.media-imdb.com,,,,301.197326,
1465185970318,Network.requestWillBeSent,3711.12,ia.media-imdb.com,,,,301.197483,
1465185970318,Network.dataReceived,3711.1,,,8991,1330,301.198624,
1465185970318,Network.requestWillBeSent,3711.13,ia.media-imdb.com,,,,301.199146,
1465185970319,Network.requestWillBeSent,3711.14,ia.media-imdb.com,,,,301.199473,
1465185970319,Network.requestWillBeSent,3711.15,ia.media-imdb.com,,,,301.19963,
1465185970319,Network.requestWillBeSent,3711.16,ia.media-imdb.com,,,,301.199807,
1465185970323,Network.dataReceived,3711.1,,,1,12,301.204734,
1465185970325,Network.dataReceived,3711.1,,,8991,712,301.206976,
1465185970326,Network.requestWillBeSent,3711.17,ia.media-imdb.com,,,,301.207561,
1465185970326,Network.requestWillBeSent,3711.18,ia.media-imdb.com,,,,301.207694,
1465185970326,Network.requestWillBeSent,3711.19,ia.media-imdb.com,,,,301.207796,
1465185970327,Network.requestWillBeSent,3711.20,ia.media-imdb.com,,,,301.207988,
1465185970327,Network.requestWillBeSent,3711.21,ia.media-imdb.com,,,,301.20815,
1465185970327,Network.requestWillBeSent,3711.22,ia.media-imdb.com,,,,301.208247,
1465185970327,Network.dataReceived,3711.1,,,1,12,301.208355,
1465185970409,Network.responseReceived,3711.4,,image/png,,,301.289896,http/1.1
1465185970409,Network.dataReceived,3711.4,,,3609,4096,301.290254,
1465185970409,Network.dataReceived,3711.4,,,3564,3564,301.290433,
1465185970409,Network.loadingFinished,3711.4,,,,7660,301.288714,
1465185970425,Network.responseReceived,3711.3,,text/css,,,301.305771,http/1.1
1465185970438,Network.responseReceived,3711.2,,application/x-javascript,,,301.319796,http/1.1
1465185970438,Network.dataReceived,3711.2,,,2224,1448,301.31996,
1465185970439,Network.dataReceived,3711.2,,,3248,1448,301.320082,
1465185970439,Network.dataReceived,3711.2,,,13009,4344,301.32068,
1465185970439,Network.dataReceived,3711.2,,,4134,1448,301.320751,
1465185970440,Network.dataReceived,3711.2,,,32768,11163,301.321997,
1465185970440,Network.dataReceived,3711.2,,,2567,0,301.322343,
1465185970441,Network.loadingFinished,3711.2,,,,19851,301.322093,
1465185970442,Network.dataReceived,3711.3,,,32768,16899,301.323476,
1465185970442,Network.dataReceived,3711.3,,,32768,0,301.323578,
1465185970442,Network.dataReceived,3711.3,,,29119,0,301.323709,
1465185970480,Network.responseReceived,3711.5,,image/jpeg,,,301.361026,http/1.1
1465185970480,Network.dataReceived,3711.5,,,1226,1448,301.36121,
1465185970480,Network.dataReceived,3711.5,,,1448,1448,301.361325,
1465185970482,Network.dataReceived,3711.3,,,32768,14634,301.363577,
1465185970482,Network.dataReceived,3711.3,,,32768,0,301.363754,
1465185970482,Network.dataReceived,3711.5,,,10136,10136,301.363909,
1465185970482,Network.dataReceived,3711.3,,,22647,0,301.364048,
1465185970497,Network.loadingFinished,3711.3,,,,31533,301.364112,
1465185970497,Network.dataReceived,3711.5,,,132,132,301.378451,
1465185970497,Network.loadingFinished,3711.5,,,,13164,301.364402,
1465185970498,Network.dataReceived,3711.1,,,8991,1010,301.378792,
1465185970498,Network.dataReceived,3711.1,,,1,12,301.378872,
1465185970498,Network.dataReceived,3711.1,,,21110,3845,301.378935,
1465185970498,Network.loadingFinished,3711.1,,,,18659,301.373289,
1465185970514,Network.requestWillBeSent,3711.23,images-na.ssl-images-amazon.com,,,,301.38241,
1465185970515,Network.requestWillBeSent,3711.24,aax-us-east.amazon-adsystem.com,,,,301.395807,
1465185970518,Network.requestWillBeSent,3711.25,ia.media-imdb.com,,,,301.397026,
1465185970518,Network.requestWillBeSent,3711.26,ia.media-imdb.com,,,,301.397165,
1465185970518,Network.requestWillBeSent,3711.27,ia.media-imdb.com,,,,301.39729,
1465185970518,Network.requestWillBeSent,3711.28,ia.media-imdb.com,,,,301.397417,
