timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465185963967,Network.responseReceived,3559.1,,text/plain,,,294.82632,data
1465185963967,Network.loadingFinished,3559.1,,,,0,294.826339,
1465185963976,Page.loadEventFired,,,,,,294.85073,
1465185963977,Page.domContentEventFired,,,,,,294.850935,
1465185964602,Network.requestWillBeSent,3576.1,m.imgur.com,,,,294.904572,
1465185964604,Network.responseReceived,3576.1,,text/html,,,295.480339,http/1.1
1465185964621,Network.dataReceived,3576.1,,,2393,2759,295.480713,
1465185964622,Network.dataReceived,3576.1,,,2759,2759,295.502392,
1465185964622,Network.dataReceived,3576.1,,,5518,5518,295.502524,
1465185964631,Network.requestWillBeSent,3576.2,fonts.googleapis.com,,,,295.50998,
1465185964631,Network.requestWillBeSent,3576.3,m.imgur.com,,,,295.510178,
1465185964631,Network.requestWillBeSent,3576.4,m.imgur.com,,,,295.51038,
1465185964631,Network.requestWillBeSent,3576.5,m.imgur.com,,,,295.510533,
1465185964774,Network.dataReceived,3576.1,,,2759,2759,295.654836,
1465185964775,Network.dataReceived,3576.1,,,2589,2589,295.657068,
1465185964776,Network.dataReceived,3576.1,,,2759,2759,295.6575,
1465185964777,Network.dataReceived,3576.1,,,8277,8277,295.658537,
1465185964778,Network.dataReceived,3576.1,,,5348,5348,295.659636,
1465185964967,Network.dataReceived,3576.1,,,16384,16384,295.84796,
1465185964967,Network.dataReceived,3576.1,,,16384,16384,295.84808,
1465185964968,Network.responseReceived,3576.2,,text/css,,,295.848901,h2
1465185964968,Network.dataReceived,3576.2,,,494,786,295.84909,
1465185964968,Network.loadingFinished,3576.2,,,,786,295.848691,
1465185964991,Network.dataReceived,3576.1,,,12655,12655,295.871897,
1465185964991,Network.loadingFinished,3576.1,,,,78191,295.871874,
1465185965095,Network.responseReceived,3576.3,,text/css,,,295.97619,http/1.1
1465185965095,Network.dataReceived,3576.3,,,2392,2759,295.976592,
1465185965095,Network.dataReceived,3576.3,,,2759,2759,295.976667,
1465185965095,Network.dataReceived,3576.3,,,2759,2759,295.97679,
1465185965095,Network.dataReceived,3576.3,,,2759,2759,295.976843,
1465185965096,Network.dataReceived,3576.3,,,2759,2759,295.977264,
1465185965119,Network.responseReceived,3576.4,,application/x-javascript,,,295.999564,http/1.1
1465185965119,Network.dataReceived,3576.4,,,2376,2759,296.000025,
1465185965119,Network.dataReceived,3576.4,,,8277,8277,296.000088,
1465185965119,Network.dataReceived,3576.4,,,2759,2759,296.000915,
1465185965194,Network.responseReceived,3576.5,,application/x-javascript,,,296.075078,http/1.1
1465185965194,Network.dataReceived,3576.5,,,2376,2759,296.075481,
