timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465185960073,Page.loadEventFired,,,,,,290.94841,
1465185960079,Page.domContentEventFired,,,,,,290.949592,
1465185960614,Network.requestWillBeSent,3444.1,en.m.wikipedia.org,,,,291.018457,
1465185960615,Network.responseReceived,3444.1,,text/html,,,291.491551,h2
1465185960634,Network.dataReceived,3444.1,,,17259,6955,291.493153,
1465185960635,Network.loadingFinished,3444.1,,,,6955,291.493156,
1465185960646,Network.requestWillBeSent,3444.2,en.m.wikipedia.org,,,,291.521174,
1465185960646,Network.requestWillBeSent,3444.3,en.m.wikipedia.org,,,,291.521309,
1465185960646,Network.requestWillBeSent,3444.4,upload.wikimedia.org,,,,291.521431,
1465185960646,Network.requestWillBeSent,3444.5,upload.wikimedia.org,,,,291.52153,
1465185960646,Network.requestWillBeSent,3444.6,en.m.wikipedia.org,,,,291.521634,
1465185960787,Network.responseReceived,3444.2,,text/css,,,291.667731,h2
1465185960787,Network.dataReceived,3444.2,,,28776,7525,291.66826,
1465185960790,Network.loadingFinished,3444.2,,,,7525,291.66821,
1465185960893,Network.requestWillBeSent,3444.10,,,,,291.675443,
1465185960893,Network.responseReceived,3444.10,,image/svg+xml,,,291.675482,data
1465185960893,Network.dataReceived,3444.10,,,381,0,291.675498,
1465185960893,Network.loadingFinished,3444.10,,,,0,291.675502,
1465185960893,Network.requestWillBeSent,3444.14,,,,,291.689555,
1465185960894,Network.responseReceived,3444.14,,image/svg+xml,,,291.689586,data
1465185960894,Network.dataReceived,3444.14,,,413,0,291.689599,
1465185960894,Network.loadingFinished,3444.14,,,,0,291.689603,
1465185960894,Page.domContentEventFired,,,,,,291.774435,
1465185960903,Network.responseReceived,3444.3,,text/javascript,,,291.779253,h2
1465185960903,Network.dataReceived,3444.3,,,32768,14538,291.779443,
1465185960904,Network.responseReceived,3444.6,,image/png,,,291.779919,h2
1465185960904,Network.dataReceived,3444.3,,,2824,0,291.780062,
1465185960904,Network.loadingFinished,3444.3,,,,14538,291.674855,
1465185960904,Network.dataReceived,3444.6,,,740,1300,291.78027,
1465185960904,Network.requestWillBeSent,3444.15,en.m.wikipedia.org,,,,291.784993,
1465185960937,Network.dataReceived,3444.6,,,1776,1785,291.818415,
1465185960937,Network.loadingFinished,3444.6,,,,3085,291.818397,
1465185961065,Network.responseReceived,3444.15,,text/javascript,,,291.945797,h2
1465185961069,Network.dataReceived,3444.15,,,27670,9246,291.949719,
1465185961074,Network.dataReceived,3444.15,,,32768,39750,291.951902,
1465185961074,Network.dataReceived,3444.15,,,32768,0,291.952149,
1465185961074,Network.dataReceived,3444.15,,,32768,0,291.952515,
1465185961074,Network.dataReceived,3444.15,,,19658,0,291.95262,
1465185961074,Network.dataReceived,3444.15,,,24079,0,291.952826,
1465185961089,Network.dataReceived,3444.15,,,8962,2408,291.970403,
1465185961089,Network.loadingFinished,3444.15,,,,51404,291.970386,
1465185961182,Network.requestWillBeSent,3444.16,en.m.wikipedia.org,,,,292.056601,
1465185961182,Network.requestWillBeSent,3444.17,en.m.wikipedia.org,,,,292.062317,
