timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512654123,Page.loadEventFired,,,,,,11607.87445,
1464512654123,Page.domContentEventFired,,,,,,11607.874488,
1464512654461,Network.requestWillBeSent,17066.1,www.msn.com,,,,11607.898611,
1464512654462,Network.requestWillBeSent,17066.1,www.msn.com,,,,11608.082925,
1464512654462,Network.responseReceived,17066.1,,text/html,,,11608.213201,http/1.1
1464512654468,Network.dataReceived,17066.1,,,5769,4096,11608.213344,
1464512654468,Network.dataReceived,17066.1,,,8131,2979,11608.22143,
1464512654468,Network.dataReceived,17066.1,,,21794,8200,11608.221483,
1464512654469,Network.dataReceived,17066.1,,,32768,9648,11608.221645,
1464512654469,Network.dataReceived,17066.1,,,7365,0,11608.221689,
1464512654471,Network.dataReceived,17066.1,,,32499,7240,11608.223884,
1464512654471,Network.dataReceived,17066.1,,,32768,5792,11608.223967,
1464512654471,Network.dataReceived,17066.1,,,3970,0,11608.224018,
1464512654471,Network.dataReceived,17066.1,,,13994,2896,11608.22404,
1464512654471,Network.dataReceived,17066.1,,,32768,8688,11608.224086,
1464512654471,Network.dataReceived,17066.1,,,18605,0,11608.224128,
1464512654471,Network.dataReceived,17066.1,,,32768,8688,11608.224166,
1464512654471,Network.dataReceived,17066.1,,,25837,0,11608.224208,
1464512654471,Network.dataReceived,17066.1,,,32768,7240,11608.224261,
1464512654471,Network.dataReceived,17066.1,,,10375,0,11608.224296,
1464512654471,Network.dataReceived,17066.1,,,21376,5315,11608.224363,
1464512654472,Network.loadingFinished,17066.1,,,,70782,11608.222659,
1464512654474,Network.requestWillBeSent,17066.2,static-hp-eas-s-msn-com.akamaized.net,,,,11608.226082,
1464512654474,Network.requestWillBeSent,17066.3,acdn.adnxs.com,,,,11608.226182,
1464512654474,Network.requestWillBeSent,17066.4,static-hp-eas-s-msn-com.akamaized.net,,,,11608.226241,
1464512654474,Network.requestWillBeSent,17066.5,static-hp-eas-s-msn-com.akamaized.net,,,,11608.226338,
1464512654474,Network.requestWillBeSent,17066.6,static-hp-eas-s-msn-com.akamaized.net,,,,11608.226405,
1464512654477,Network.requestWillBeSent,17066.7,img-s-msn-com.akamaized.net,,,,11608.227293,
1464512654482,Network.responseReceived,17066.2,,text/css,,,11608.234404,http/1.1
1464512654482,Network.dataReceived,17066.2,,,10441,4096,11608.234522,
1464512654482,Network.dataReceived,17066.2,,,1152,248,11608.234561,
1464512654482,Network.dataReceived,17066.2,,,17221,2896,11608.234574,
1464512654483,Network.dataReceived,17066.2,,,32768,8688,11608.235674,
1464512654483,Network.dataReceived,17066.2,,,26773,0,11608.235705,
1464512654484,Network.dataReceived,17066.2,,,32768,8688,11608.236576,
1464512654484,Network.dataReceived,17066.2,,,20589,0,11608.236614,
1464512654485,Network.dataReceived,17066.2,,,32768,8688,11608.237663,
1464512654485,Network.dataReceived,17066.2,,,32768,0,11608.237698,
1464512654485,Network.dataReceived,17066.2,,,1323,0,11608.237744,
1464512654486,Network.dataReceived,17066.2,,,18285,2802,11608.238509,
1464512654494,Network.loadingFinished,17066.2,,,,36106,11608.238536,
1464512654495,Network.responseReceived,17066.6,,image/gif,,,11608.24776,http/1.1
1464512654495,Network.dataReceived,17066.6,,,43,446,11608.24788,
1464512654495,Network.loadingFinished,17066.6,,,,446,11608.241753,
1464512654496,Network.responseReceived,17066.4,,application/javascript,,,11608.248315,http/1.1
1464512654496,Network.dataReceived,17066.4,,,7248,4096,11608.248452,
1464512654496,Network.dataReceived,17066.4,,,9378,3144,11608.248494,
1464512654496,Network.dataReceived,17066.4,,,25867,8688,11608.248527,
1464512654496,Network.dataReceived,17066.4,,,26296,8688,11608.24859,
1464512654496,Network.responseReceived,17066.5,,text/javascript,,,11608.248817,http/1.1
1464512654496,Network.dataReceived,17066.5,,,3268,4096,11608.249078,
1464512654496,Network.dataReceived,17066.5,,,248,248,11608.249108,
1464512654496,Network.dataReceived,17066.4,,,11396,4344,11608.24913,
1464512654512,Network.requestWillBeSent,17066.8,static-hp-eas-s-msn-com.akamaized.net,,,,11608.249975,
1464512654512,Network.dataReceived,17066.5,,,7240,7240,11608.264758,
1464512654512,Network.dataReceived,17066.5,,,8688,8688,11608.26482,
1464512654729,Network.requestWillBeSent,17066.9,static-hp-eas-s-msn-com.akamaized.net,,,,11608.267839,
1464512654729,Network.dataReceived,17066.5,,,5792,5792,11608.320065,
1464512654729,Network.dataReceived,17066.5,,,3248,3248,11608.320129,
1464512654729,Network.dataReceived,17066.5,,,5792,5792,11608.320152,
1464512654729,Network.dataReceived,17066.4,,,4060,1375,11608.320326,
1464512654729,Network.loadingFinished,17066.4,,,,30335,11608.250458,
1464512654730,Network.dataReceived,17066.5,,,8688,8688,11608.320442,
1464512654730,Network.dataReceived,17066.5,,,8688,8688,11608.320456,
1464512654730,Network.dataReceived,17066.5,,,8688,8688,11608.320494,
1464512654730,Network.dataReceived,17066.5,,,7240,7240,11608.320542,
1464512654730,Network.dataReceived,17066.5,,,8688,8688,11608.320558,
1464512654730,Network.dataReceived,17066.5,,,8688,8688,11608.320586,
1464512654730,Network.dataReceived,17066.5,,,8688,8688,11608.320602,
1464512654730,Network.dataReceived,17066.5,,,7240,7240,11608.320626,
1464512654730,Network.dataReceived,17066.5,,,7240,7240,11608.320644,
1464512654730,Network.dataReceived,17066.5,,,8688,8688,11608.32067,
1464512654730,Network.dataReceived,17066.5,,,8688,8688,11608.32069,
1464512654730,Network.dataReceived,17066.5,,,5792,5792,11608.320708,
1464512654730,Network.responseReceived,17066.8,,application/font-woff,,,11608.32083,http/1.1
1464512654730,Network.dataReceived,17066.8,,,2478,2896,11608.320916,
1464512654730,Network.dataReceived,17066.8,,,8688,8688,11608.320934,
1464512654730,Network.dataReceived,17066.8,,,7240,7240,11608.320968,
1464512654730,Network.dataReceived,17066.8,,,9303,9303,11608.321824,
1464512654730,Network.loadingFinished,17066.8,,,,28127,11608.265107,
1464512654731,Network.responseReceived,17066.7,,image/png,,,11608.322486,http/1.1
1464512654731,Network.dataReceived,17066.7,,,930,1574,11608.322578,
1464512654731,Network.loadingFinished,17066.7,,,,1574,11608.266162,
1464512654731,Network.dataReceived,17066.5,,,5792,5792,11608.323469,
1464512654731,Network.dataReceived,17066.5,,,8688,8688,11608.323486,
1464512654731,Network.dataReceived,17066.5,,,8688,8688,11608.323522,
1464512654731,Network.dataReceived,17066.5,,,8688,8688,11608.336304,
1464512654731,Network.dataReceived,17066.5,,,7240,7240,11608.336376,
1464512654731,Network.dataReceived,17066.5,,,8688,8688,11608.336475,
1464512654731,Network.dataReceived,17066.5,,,8688,8688,11608.336503,
1464512654731,Network.dataReceived,17066.5,,,8688,8688,11608.336545,
1464512654731,Network.dataReceived,17066.5,,,7240,7240,11608.336572,
1464512654731,Network.dataReceived,17066.5,,,8688,8688,11608.336603,
1464512654731,Network.dataReceived,17066.5,,,8943,8943,11608.336676,
1464512654731,Network.loadingFinished,17066.5,,,,222151,11608.276335,
1464512654731,Network.responseReceived,17066.9,,application/font-woff,,,11608.337054,http/1.1
1464512654731,Network.dataReceived,17066.9,,,3370,4096,11608.33722,
1464512654731,Network.dataReceived,17066.9,,,4592,4592,11608.337264,
1464512654731,Network.dataReceived,17066.9,,,7240,7240,11608.337328,
1464512654731,Network.dataReceived,17066.9,,,8688,8688,11608.337348,
1464512654731,Network.dataReceived,17066.9,,,8688,8688,11608.337362,
1464512654731,Network.dataReceived,17066.9,,,2346,2346,11608.337379,
1464512654731,Network.loadingFinished,17066.9,,,,35650,11608.281664,
1464512654732,Network.requestWillBeSent,17066.13,,,,,11608.366281,
1464512654732,Network.responseReceived,17066.13,,image/png,,,11608.366349,data
1464512654732,Network.dataReceived,17066.13,,,2225,0,11608.366369,
1464512654732,Network.loadingFinished,17066.13,,,,0,11608.366372,
1464512654732,Network.requestWillBeSent,17066.14,c.msn.com,,,,11608.462031,
1464512654732,Network.requestWillBeSent,17066.15,b.scorecardresearch.com,,,,11608.462128,
1464512654732,Network.requestWillBeSent,17066.16,otf.msn.com,,,,11608.462257,
1464512654732,Network.requestWillBeSent,17066.15,b.scorecardresearch.com,,,,11608.474791,
1464512654732,Network.responseReceived,17066.15,,text/plain,,,11608.478466,http/1.1
1464512654732,Network.loadingFinished,17066.15,,,,248,11608.478017,
1464512654754,Network.requestWillBeSent,17066.17,img-s-msn-com.akamaized.net,,,,11608.502965,
1464512654754,Network.requestWillBeSent,17066.18,img-s-msn-com.akamaized.net,,,,11608.503032,
1464512654754,Network.requestWillBeSent,17066.19,img-s-msn-com.akamaized.net,,,,11608.503126,
1464512654754,Network.requestWillBeSent,17066.20,img-s-msn-com.akamaized.net,,,,11608.503216,
1464512654754,Network.requestWillBeSent,17066.21,img-s-msn-com.akamaized.net,,,,11608.503317,
1464512654754,Network.requestWillBeSent,17066.22,img-s-msn-com.akamaized.net,,,,11608.503391,
1464512654754,Network.requestWillBeSent,17066.23,img-s-msn-com.akamaized.net,,,,11608.503447,
1464512654754,Network.requestWillBeSent,17066.24,img-s-msn-com.akamaized.net,,,,11608.503488,
1464512654754,Network.requestWillBeSent,17066.25,img-s-msn-com.akamaized.net,,,,11608.503589,
1464512654754,Network.requestWillBeSent,17066.26,img-s-msn-com.akamaized.net,,,,11608.503635,
1464512654755,Network.requestWillBeSent,17066.27,img-s-msn-com.akamaized.net,,,,11608.503693,
1464512654755,Network.requestWillBeSent,17066.28,img-s-msn-com.akamaized.net,,,,11608.503748,
1464512654755,Network.requestWillBeSent,17066.29,img-s-msn-com.akamaized.net,,,,11608.503838,
1464512654755,Network.requestWillBeSent,17066.30,img-s-msn-com.akamaized.net,,,,11608.503936,
1464512654755,Network.requestWillBeSent,17066.31,img-s-msn-com.akamaized.net,,,,11608.504011,
1464512654755,Network.requestWillBeSent,17066.32,img-s-msn-com.akamaized.net,,,,11608.504094,
1464512654755,Network.requestWillBeSent,17066.33,img-s-msn-com.akamaized.net,,,,11608.504169,
1464512654755,Network.requestWillBeSent,17066.34,img-s-msn-com.akamaized.net,,,,11608.504223,
1464512654755,Page.domContentEventFired,,,,,,11608.506382,
1464512654782,Network.responseReceived,17066.17,,image/jpeg,,,11608.516228,http/1.1
1464512654782,Network.dataReceived,17066.17,,,3404,4096,11608.516339,
1464512654782,Network.dataReceived,17066.17,,,3144,3144,11608.51639,
1464512654782,Network.responseReceived,17066.20,,image/png,,,11608.518301,http/1.1
1464512654830,Network.dataReceived,17066.20,,,465,1111,11608.582853,
1464512654832,Network.loadingFinished,17066.20,,,,1111,11608.507362,
1464512654832,Network.dataReceived,17066.17,,,4900,4900,11608.585065,
1464512654832,Network.loadingFinished,17066.17,,,,12140,11608.507472,
1464512654833,Network.responseReceived,17066.18,,image/png,,,11608.585348,http/1.1
1464512654833,Network.dataReceived,17066.18,,,523,1169,11608.585464,
1464512654833,Network.loadingFinished,17066.18,,,,1169,11608.507789,
1464512654833,Network.responseReceived,17066.21,,image/png,,,11608.585757,http/1.1
1464512654834,Network.dataReceived,17066.21,,,308,954,11608.586772,
1464512654835,Network.loadingFinished,17066.21,,,,954,11608.508211,
1464512654837,Network.responseReceived,17066.19,,image/png,,,11608.589627,http/1.1
1464512654837,Network.dataReceived,17066.19,,,666,1312,11608.590268,
1464512654837,Network.loadingFinished,17066.19,,,,1312,11608.532056,
1464512654838,Network.responseReceived,17066.22,,image/png,,,11608.590568,http/1.1
1464512654838,Network.dataReceived,17066.22,,,502,1148,11608.590699,
1464512654838,Network.loadingFinished,17066.22,,,,1148,11608.53207,
1464512654839,Network.responseReceived,17066.23,,image/png,,,11608.591088,http/1.1
1464512654839,Network.dataReceived,17066.23,,,840,1488,11608.59117,
1464512654839,Network.loadingFinished,17066.23,,,,1488,11608.532087,
1464512654839,Network.responseReceived,17066.28,,image/jpeg,,,11608.591537,http/1.1
1464512654839,Network.dataReceived,17066.28,,,1681,2364,11608.591626,
1464512654839,Network.loadingFinished,17066.28,,,,2364,11608.532113,
1464512654842,Network.responseReceived,17066.25,,image/png,,,11608.594143,http/1.1
1464512654842,Network.dataReceived,17066.25,,,594,1241,11608.594281,
1464512654842,Network.loadingFinished,17066.25,,,,1241,11608.532159,
1464512654842,Network.responseReceived,17066.24,,image/png,,,11608.594662,http/1.1
1464512654842,Network.dataReceived,17066.24,,,539,1185,11608.59473,
1464512654842,Network.loadingFinished,17066.24,,,,1185,11608.532183,
1464512654842,Network.responseReceived,17066.26,,image/jpeg,,,11608.594984,http/1.1
1464512654842,Network.dataReceived,17066.26,,,2225,2920,11608.595073,
1464512654842,Network.loadingFinished,17066.26,,,,2920,11608.532193,
1464512654842,Network.responseReceived,17066.27,,image/png,,,11608.595238,http/1.1
1464512654842,Network.dataReceived,17066.27,,,533,1179,11608.595307,
1464512654842,Network.loadingFinished,17066.27,,,,1179,11608.532212,
1464512654843,Network.responseReceived,17066.30,,image/jpeg,,,11608.595542,http/1.1
1464512654843,Network.dataReceived,17066.30,,,2799,3483,11608.595612,
1464512654843,Network.loadingFinished,17066.30,,,,3483,11608.532224,
1464512654843,Network.responseReceived,17066.29,,image/jpeg,,,11608.595794,http/1.1
1464512654843,Network.dataReceived,17066.29,,,2557,3253,11608.595864,
1464512654843,Network.loadingFinished,17066.29,,,,3253,11608.532235,
1464512654843,Network.responseReceived,17066.32,,image/jpeg,,,11608.596037,http/1.1
1464512654843,Network.dataReceived,17066.32,,,2475,3170,11608.596127,
1464512654843,Network.loadingFinished,17066.32,,,,3170,11608.532247,
1464512654843,Network.responseReceived,17066.31,,image/jpeg,,,11608.596266,http/1.1
1464512654843,Network.dataReceived,17066.31,,,752,1448,11608.596364,
1464512654844,Network.responseReceived,17066.33,,image/jpeg,,,11608.596463,http/1.1
1464512654844,Network.dataReceived,17066.33,,,2663,3359,11608.59654,
1464512654844,Network.loadingFinished,17066.33,,,,3359,11608.532271,
1464512654844,Network.dataReceived,17066.31,,,1629,1629,11608.596612,
1464512654844,Network.loadingFinished,17066.31,,,,3077,11608.532257,
1464512654844,Network.responseReceived,17066.34,,image/png,,,11608.596765,http/1.1
1464512654844,Network.dataReceived,17066.34,,,308,954,11608.596836,
1464512654844,Network.loadingFinished,17066.34,,,,954,11608.532288,
1464512654845,Network.requestWillBeSent,17066.14,c.bing.com,,,,11608.597087,
1464512654876,Network.responseReceived,17066.3,,text/javascript,,,11608.629205,http/1.1
1464512654876,Network.dataReceived,17066.3,,,7913,4096,11608.629287,
1464512654876,Network.dataReceived,17066.3,,,32768,12087,11608.629329,
1464512654876,Network.dataReceived,17066.3,,,1685,0,11608.629378,
1464512654928,Network.requestWillBeSent,17066.14,c.msn.com,,,,11608.680151,
1464512654969,Network.responseReceived,17066.14,,image/gif,,,11608.721632,http/1.1
1464512654969,Network.dataReceived,17066.14,,,42,757,11608.721735,
1464512654969,Network.loadingFinished,17066.14,,,,757,11608.721509,
1464512655040,Network.dataReceived,17066.3,,,926,282,11608.792723,
1464512655040,Network.loadingFinished,17066.3,,,,16465,11608.79267,
1464512655056,Network.requestWillBeSent,17066.35,ib.adnxs.com,,,,11608.804915,
1464512655056,Network.requestWillBeSent,17066.36,ib.adnxs.com,,,,11608.807265,
1464512655145,Network.responseReceived,17066.16,,image/gif,,,11608.897657,http/1.1
1464512655145,Network.dataReceived,17066.16,,,42,528,11608.897808,
1464512655148,Network.loadingFinished,17066.16,,,,528,11608.897448,
1464512655148,Page.loadEventFired,,,,,,11608.899176,
