timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512737310,Page.loadEventFired,,,,,,11691.060802,
1464512737310,Page.domContentEventFired,,,,,,11691.06085,
1464512738111,Network.requestWillBeSent,18431.1,www.pinterest.com,,,,11691.088525,
1464512738111,Network.requestWillBeSent,18431.1,www.pinterest.com,,,,11691.505147,
1464512738112,Network.responseReceived,18431.1,,text/html,,,11691.862989,http/1.1
1464512738119,Network.dataReceived,18431.1,,,4632,4096,11691.863165,
1464512738119,Network.dataReceived,18431.1,,,414,142,11691.871907,
1464512738123,Network.requestWillBeSent,18431.2,s-media-cache-ak0.pinimg.com,,,,11691.875217,
1464512738150,Network.dataReceived,18431.1,,,11637,4120,11691.902384,
1464512738159,Network.responseReceived,18431.2,,application/x-javascript,,,11691.911709,http/1.1
1464512738159,Network.loadingFinished,18431.2,,,,266,11691.91165,
1464512738179,Network.dataReceived,18431.1,,,16004,4120,11691.931292,
1464512738179,Network.requestWillBeSent,18431.3,s-passets-cache-ak0.pinimg.com,,,,11691.931612,
1464512738179,Network.requestWillBeSent,18431.4,s-passets-cache-ak0.pinimg.com,,,,11691.931709,
1464512738179,Network.requestWillBeSent,18431.5,s-passets-cache-ak0.pinimg.com,,,,11691.931776,
1464512738179,Network.requestWillBeSent,18431.6,s-passets-cache-ak0.pinimg.com,,,,11691.931823,
1464512738180,Network.requestWillBeSent,18431.7,s-passets-cache-ak0.pinimg.com,,,,11691.931984,
1464512738180,Network.requestWillBeSent,18431.8,s-passets-cache-ak0.pinimg.com,,,,11691.932063,
1464512738180,Network.requestWillBeSent,18431.9,s-passets-cache-ak0.pinimg.com,,,,11691.932122,
1464512738180,Network.requestWillBeSent,18431.10,s-passets-cache-ak0.pinimg.com,,,,11691.932184,
1464512738181,Network.requestWillBeSent,18431.11,s-passets-cache-ak0.pinimg.com,,,,11691.932285,
1464512738181,Network.requestWillBeSent,18431.12,s-passets-cache-ak0.pinimg.com,,,,11691.932359,
1464512738181,Network.requestWillBeSent,18431.13,s-passets-cache-ak0.pinimg.com,,,,11691.932442,
1464512738181,Network.requestWillBeSent,18431.14,s-passets-cache-ak0.pinimg.com,,,,11691.932522,
1464512738181,Network.requestWillBeSent,18431.15,s-passets-cache-ak0.pinimg.com,,,,11691.932615,
1464512738202,Network.responseReceived,18431.8,,text/css,,,11691.95474,http/1.1
1464512738202,Network.dataReceived,18431.8,,,25536,4096,11691.954897,
1464512738202,Network.dataReceived,18431.8,,,11246,2093,11691.954931,
1464512738204,Network.loadingFinished,18431.8,,,,6189,11691.954821,
1464512738207,Network.responseReceived,18431.9,,text/css,,,11691.959581,http/1.1
1464512738207,Network.dataReceived,18431.9,,,23748,4096,11691.959701,
1464512738207,Network.dataReceived,18431.9,,,32768,12288,11691.959723,
1464512738207,Network.dataReceived,18431.9,,,32768,0,11691.959738,
1464512738207,Network.dataReceived,18431.9,,,32768,0,11691.959821,
1464512738207,Network.dataReceived,18431.9,,,27002,0,11691.959889,
1464512738208,Network.responseReceived,18431.12,,text/css,,,11691.960614,http/1.1
1464512738208,Network.dataReceived,18431.12,,,17172,4096,11691.960706,
1464512738208,Network.dataReceived,18431.12,,,32768,12288,11691.960855,
1464512738208,Network.dataReceived,18431.12,,,32768,0,11691.960893,
1464512738209,Network.responseReceived,18431.13,,text/css,,,11691.961306,http/1.1
1464512738209,Network.dataReceived,18431.13,,,17015,4096,11691.961476,
1464512738209,Network.dataReceived,18431.12,,,32115,0,11691.961535,
1464512738209,Network.dataReceived,18431.13,,,12285,1606,11691.961583,
1464512738209,Network.loadingFinished,18431.13,,,,5702,11691.961389,
1464512738211,Network.responseReceived,18431.10,,text/css,,,11691.963309,http/1.1
1464512738211,Network.dataReceived,18431.10,,,22980,4096,11691.963522,
1464512738211,Network.dataReceived,18431.10,,,32768,12288,11691.963626,
1464512738211,Network.dataReceived,18431.10,,,32768,0,11691.963733,
1464512738211,Network.dataReceived,18431.10,,,32768,0,11691.963821,
1464512738211,Network.dataReceived,18431.10,,,978,0,11691.963864,
1464512738215,Network.responseReceived,18431.11,,text/css,,,11691.967034,http/1.1
1464512738215,Network.dataReceived,18431.11,,,21204,4096,11691.96714,
1464512738215,Network.dataReceived,18431.11,,,32768,12288,11691.967224,
1464512738215,Network.dataReceived,18431.11,,,32768,0,11691.967345,
1464512738215,Network.dataReceived,18431.9,,,32768,8500,11691.967576,
1464512738215,Network.dataReceived,18431.11,,,21984,0,11691.967657,
1464512738215,Network.dataReceived,18431.9,,,32768,0,11691.96772,
1464512738215,Network.dataReceived,18431.9,,,6919,0,11691.967787,
1464512738216,Network.dataReceived,18431.12,,,32768,8500,11691.969405,
1464512738216,Network.dataReceived,18431.12,,,31923,0,11691.969501,
1464512738217,Network.dataReceived,18431.12,,,26726,4402,11691.970068,
1464512738224,Network.loadingFinished,18431.12,,,,29286,11691.970102,
1464512738224,Network.responseReceived,18431.3,,application/javascript,,,11691.976899,http/1.1
1464512738224,Network.dataReceived,18431.3,,,11109,4096,11691.977047,
1464512738224,Network.dataReceived,18431.3,,,32768,12288,11691.977069,
1464512738224,Network.dataReceived,18431.3,,,2241,0,11691.977369,
1464512738225,Network.dataReceived,18431.9,,,32768,16384,11691.97756,
1464512738225,Network.dataReceived,18431.9,,,32768,0,11691.97759,
1464512738225,Network.dataReceived,18431.9,,,32768,0,11691.977614,
1464512738225,Network.dataReceived,18431.9,,,26530,0,11691.977655,
1464512738225,Network.dataReceived,18431.9,,,32768,9695,11691.977682,
1464512738225,Network.dataReceived,18431.10,,,32768,8500,11691.977711,
1464512738225,Network.dataReceived,18431.9,,,32768,0,11691.977748,
1464512738225,Network.dataReceived,18431.10,,,29209,0,11691.977781,
1464512738225,Network.dataReceived,18431.9,,,22455,0,11691.977807,
1464512738238,Network.loadingFinished,18431.9,,,,50963,11691.974581,
1464512738238,Network.dataReceived,18431.10,,,32768,16384,11691.990799,
1464512738238,Network.dataReceived,18431.10,,,32768,0,11691.990855,
1464512738238,Network.dataReceived,18431.10,,,32768,0,11691.990873,
1464512738238,Network.dataReceived,18431.10,,,32768,0,11691.990947,
1464512738238,Network.dataReceived,18431.10,,,1219,0,11691.991005,
1464512738238,Network.dataReceived,18431.10,,,32768,5565,11691.991041,
1464512738238,Network.dataReceived,18431.10,,,7629,0,11691.991108,
1464512738250,Network.loadingFinished,18431.10,,,,46833,11691.977071,
1464512738250,Network.dataReceived,18431.11,,,32768,8500,11692.002821,
1464512738250,Network.dataReceived,18431.11,,,32768,0,11692.002988,
1464512738250,Network.dataReceived,18431.11,,,25721,0,11692.003018,
1464512738250,Network.dataReceived,18431.3,,,27195,8514,11692.003124,
1464512738250,Network.dataReceived,18431.3,,,32768,17018,11692.003203,
1464512738250,Network.dataReceived,18431.3,,,19350,0,11692.003266,
1464512738250,Network.loadingFinished,18431.3,,,,41916,11691.981195,
1464512738250,Network.dataReceived,18431.11,,,32768,16630,11692.003407,
1464512738250,Network.dataReceived,18431.11,,,32768,0,11692.003432,
1464512738250,Network.dataReceived,18431.11,,,32768,0,11692.00345,
