timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512660242,Network.responseReceived,17323.1,,text/plain,,,11613.98636,data
1464512660242,Network.loadingFinished,17323.1,,,,0,11613.98637,
1464512660246,Page.loadEventFired,,,,,,11613.996463,
1464512660246,Page.domContentEventFired,,,,,,11613.996492,
1464512660594,Network.requestWillBeSent,17348.1,www.sina.com.cn,,,,11614.025713,
1464512660594,Network.responseReceived,17348.1,,text/html,,,11614.345267,http/1.1
1464512660600,Network.dataReceived,17348.1,,,18328,7592,11614.345443,
1464512660600,Network.dataReceived,17348.1,,,32768,8688,11614.352964,
1464512660600,Network.dataReceived,17348.1,,,146,0,11614.353012,
1464512660600,Network.dataReceived,17348.1,,,32768,5792,11614.353148,
1464512660600,Network.dataReceived,17348.1,,,4224,0,11614.353195,
1464512660605,Network.requestWillBeSent,17348.2,int.dpool.sina.com.cn,,,,11614.355609,
1464512660605,Network.requestWillBeSent,17348.3,www.sina.com.cn,,,,11614.355713,
1464512660605,Network.requestWillBeSent,17348.4,i0.sinaimg.cn,,,,11614.355814,
1464512660605,Network.requestWillBeSent,17348.5,n.sinaimg.cn,,,,11614.355886,
1464512660605,Network.requestWillBeSent,17348.6,n.sinaimg.cn,,,,11614.355955,
1464512660605,Network.requestWillBeSent,17348.7,sinastorage.com,,,,11614.35603,
1464512660605,Network.requestWillBeSent,17348.8,d3.sina.com.cn,,,,11614.356098,
1464512660605,Network.requestWillBeSent,17348.9,n.sinaimg.cn,,,,11614.356154,
1464512660605,Network.requestWillBeSent,17348.10,n.sinaimg.cn,,,,11614.356199,
1464512660809,Network.dataReceived,17348.1,,,32768,7240,11614.417169,
1464512660809,Network.dataReceived,17348.1,,,151,0,11614.417236,
1464512660809,Network.requestWillBeSent,17348.11,n.sinaimg.cn,,,,11614.417731,
1464512660810,Network.requestWillBeSent,17348.12,n.sinaimg.cn,,,,11614.417795,
1464512660810,Network.requestWillBeSent,17348.13,n.sinaimg.cn,,,,11614.417871,
1464512660810,Network.requestWillBeSent,17348.14,n.sinaimg.cn,,,,11614.417915,
1464512660810,Network.requestWillBeSent,17348.15,n.sinaimg.cn,,,,11614.417971,
1464512660810,Network.requestWillBeSent,17348.16,n.sinaimg.cn,,,,11614.418014,
1464512660810,Network.requestWillBeSent,17348.17,n.sinaimg.cn,,,,11614.41806,
1464512660810,Network.requestWillBeSent,17348.18,n.sinaimg.cn,,,,11614.418101,
1464512660810,Network.dataReceived,17348.1,,,32768,8688,11614.418247,
1464512660810,Network.dataReceived,17348.1,,,1441,0,11614.418379,
1464512660811,Network.requestWillBeSent,17348.19,n.sinaimg.cn,,,,11614.418757,
1464512660811,Network.requestWillBeSent,17348.20,n.sinaimg.cn,,,,11614.418809,
1464512660811,Network.requestWillBeSent,17348.21,n.sinaimg.cn,,,,11614.418852,
1464512660811,Network.requestWillBeSent,17348.22,i.sso.sina.com.cn,,,,11614.418938,
1464512660811,Network.dataReceived,17348.1,,,32768,8688,11614.418989,
1464512660811,Network.dataReceived,17348.1,,,4008,0,11614.419014,
1464512660811,Network.requestWillBeSent,17348.23,i.sso.sina.com.cn,,,,11614.419138,
1464512660811,Network.requestWillBeSent,17348.24,i.sso.sina.com.cn,,,,11614.419209,
1464512660811,Network.requestWillBeSent,17348.25,n.sinaimg.cn,,,,11614.419333,
1464512660811,Network.requestWillBeSent,17348.26,n.sinaimg.cn,,,,11614.419488,
1464512660811,Network.dataReceived,17348.1,,,21936,4344,11614.419834,
1464512660811,Network.requestWillBeSent,17348.27,auto.sina.com.cn,,,,11614.420104,
1464512660811,Network.requestWillBeSent,17348.28,www.sina.com.cn,,,,11614.420186,
1464512660811,Network.requestWillBeSent,17348.29,n.sinaimg.cn,,,,11614.420409,
1464512660811,Network.requestWillBeSent,17348.30,n.sinaimg.cn,,,,11614.420481,
1464512660811,Network.requestWillBeSent,17348.31,n.sinaimg.cn,,,,11614.420554,
1464512660811,Network.requestWillBeSent,17348.32,n.sinaimg.cn,,,,11614.420634,
1464512660812,Network.requestWillBeSent,17348.33,n.sinaimg.cn,,,,11614.420731,
1464512660812,Network.requestWillBeSent,17348.34,n.sinaimg.cn,,,,11614.420798,
1464512660812,Network.requestWillBeSent,17348.35,n.sinaimg.cn,,,,11614.420868,
1464512660812,Network.requestWillBeSent,17348.36,n.sinaimg.cn,,,,11614.420912,
1464512660813,Network.requestWillBeSent,17348.37,n.sinaimg.cn,,,,11614.420953,
1464512660813,Network.dataReceived,17348.1,,,20905,4344,11614.488952,
1464512660813,Network.dataReceived,17348.1,,,12818,2896,11614.489072,
1464512660813,Network.requestWillBeSent,17348.38,www.sinaimg.cn,,,,11614.489351,
1464512660813,Network.requestWillBeSent,17348.39,www.sinaimg.cn,,,,11614.489431,
1464512660813,Network.requestWillBeSent,17348.40,www.sinaimg.cn,,,,11614.489514,
1464512660814,Network.requestWillBeSent,17348.41,www.sinaimg.cn,,,,11614.489607,
1464512660814,Network.requestWillBeSent,17348.42,www.sinaimg.cn,,,,11614.489801,
1464512660814,Network.dataReceived,17348.1,,,32768,8688,11614.489864,
1464512660814,Network.requestWillBeSent,17348.43,n.sinaimg.cn,,,,11614.489944,
1464512660814,Network.dataReceived,17348.1,,,9475,0,11614.490114,
1464512660814,Network.requestWillBeSent,17348.44,d3.sina.com.cn,,,,11614.490308,
1464512660814,Network.dataReceived,17348.1,,,32768,8688,11614.490811,
1464512660814,Network.dataReceived,17348.1,,,11278,0,11614.490866,
1464512660814,Network.requestWillBeSent,17348.45,www.sina.com.cn,,,,11614.491039,
1464512660814,Network.requestWillBeSent,17348.46,www.sinaimg.cn,,,,11614.491227,
1464512660814,Network.requestWillBeSent,17348.47,n.sinaimg.cn,,,,11614.491444,
1464512660814,Network.dataReceived,17348.1,,,32768,8688,11614.491868,
1464512660814,Network.dataReceived,17348.1,,,12659,0,11614.491931,
1464512660814,Network.requestWillBeSent,17348.48,www.sinaimg.cn,,,,11614.492458,
1464512660814,Network.requestWillBeSent,17348.49,www.sinaimg.cn,,,,11614.492524,
1464512660814,Network.requestWillBeSent,17348.50,www.sinaimg.cn,,,,11614.492585,
1464512660814,Network.requestWillBeSent,17348.51,www.sinaimg.cn,,,,11614.492633,
1464512660814,Network.requestWillBeSent,17348.52,n.sinaimg.cn,,,,11614.492749,
1464512660814,Network.dataReceived,17348.1,,,28956,5792,11614.49301,
1464512660814,Network.requestWillBeSent,17348.53,d3.sina.com.cn,,,,11614.493286,
1464512660815,Network.responseReceived,17348.3,,text/css,,,11614.50091,http/1.1
1464512660815,Network.dataReceived,17348.3,,,14261,4096,11614.50101,
1464512660815,Network.dataReceived,17348.3,,,19689,3495,11614.501034,
1464512660815,Network.dataReceived,17348.3,,,32768,8105,11614.501882,
1464512660815,Network.dataReceived,17348.3,,,13832,0,11614.501936,
1464512660815,Network.loadingFinished,17348.3,,,,15696,11614.501972,
1464512660815,Network.dataReceived,17348.1,,,32768,7240,11614.559891,
1464512660815,Network.dataReceived,17348.1,,,1378,0,11614.559999,
1464512660815,Network.requestWillBeSent,17348.54,src.leju.com,,,,11614.560463,
1464512660815,Network.requestWillBeSent,17348.55,i5.esfimg.com,,,,11614.56054,
1464512660815,Network.requestWillBeSent,17348.56,src.house.sina.com.cn,,,,11614.560613,
1464512660815,Network.dataReceived,17348.1,,,32768,8688,11614.560754,
1464512660815,Network.dataReceived,17348.1,,,8192,0,11614.56078,
1464512660815,Network.dataReceived,17348.1,,,400,0,11614.560805,
1464512660815,Network.dataReceived,17348.1,,,32768,8688,11614.562204,
1464512660815,Network.dataReceived,17348.1,,,7305,0,11614.562253,
1464512660815,Network.dataReceived,17348.1,,,32768,8688,11614.563137,
1464512660815,Network.dataReceived,17348.1,,,2826,0,11614.563191,
1464512660815,Network.dataReceived,17348.1,,,4444,1448,11614.563952,
1464512660815,Network.dataReceived,17348.1,,,1438,490,11614.564262,
1464512660815,Network.loadingFinished,17348.1,,,,125370,11614.564141,
1464512660816,Network.responseReceived,17348.28,,application/x-javascript,,,11614.568674,http/1.1
1464512660816,Network.dataReceived,17348.28,,,5188,1598,11614.568781,
1464512660816,Network.loadingFinished,17348.28,,,,1598,11614.564743,
1464512660822,Network.responseReceived,17348.45,,application/x-javascript,,,11614.574976,http/1.1
1464512660822,Network.dataReceived,17348.45,,,5541,2149,11614.575054,
1464512660822,Network.loadingFinished,17348.45,,,,2149,11614.574961,
1464512660844,Network.responseReceived,17348.2,,text/javascript,,,11614.596206,http/1.1
1464512660844,Network.dataReceived,17348.2,,,143,412,11614.596399,
1464512660863,Network.loadingFinished,17348.2,,,,412,11614.596314,
1464512660863,Network.requestWillBeSent,17348.57,adm.leju.sina.com.cn,,,,11614.600086,
1464512660863,Network.requestWillBeSent,17348.58,d5.sina.com.cn,,,,11614.603611,
1464512660863,Network.requestWillBeSent,17348.59,beacon.sina.com.cn,,,,11614.609651,
1464512660863,Network.requestWillBeSent,17348.60,beacon.sina.com.cn,,,,11614.609877,
1464512660863,Network.requestWillBeSent,17348.61,beacon.sina.com.cn,,,,11614.613985,
1464512660896,Network.requestWillBeSent,17348.62,i0.sinaimg.cn,,,,11614.616971,
1464512660896,Network.requestWillBeSent,17348.63,i1.sinaimg.cn,,,,11614.617364,
1464512660896,Network.requestWillBeSent,17348.64,i2.sinaimg.cn,,,,11614.617596,
1464512660897,Network.requestWillBeSent,17348.65,i0.sinaimg.cn,,,,11614.617863,
1464512660897,Network.requestWillBeSent,17348.66,i2.sinaimg.cn,,,,11614.618014,
1464512660897,Network.requestWillBeSent,17348.67,n.sinaimg.cn,,,,11614.618133,
1464512660897,Network.requestWillBeSent,17348.68,i3.sinaimg.cn,,,,11614.618211,
1464512660897,Network.requestWillBeSent,17348.69,i0.sinaimg.cn,,,,11614.618287,
1464512660898,Network.responseReceived,17348.8,,application/x-javascript,,,11614.651131,http/1.1
1464512660898,Network.dataReceived,17348.8,,,6028,2396,11614.651222,
1464512660898,Network.loadingFinished,17348.8,,,,2396,11614.641316,
1464512660900,Network.requestWillBeSent,17348.70,www.sinaimg.cn,,,,11614.652734,
1464512660956,Network.requestWillBeSent,17348.71,i3.sinaimg.cn,,,,11614.654475,
1464512660956,Network.requestWillBeSent,17348.72,n.sinaimg.cn,,,,11614.654773,
1464512660959,Network.requestWillBeSent,17348.73,www.sina.com.cn,,,,11614.709712,
1464512660959,Network.responseReceived,17348.23,,application/x-javascript,,,11614.712272,http/1.1
1464512660959,Network.dataReceived,17348.23,,,9787,4096,11614.712386,
1464512660959,Network.dataReceived,17348.23,,,10743,3510,11614.712416,
1464512660959,Network.dataReceived,17348.23,,,27317,8688,11614.712434,
1464512660960,Network.responseReceived,17348.22,,application/x-javascript,,,11614.71253,http/1.1
1464512660960,Network.dataReceived,17348.22,,,3665,1814,11614.712592,
1464512660960,Network.dataReceived,17348.23,,,24021,5792,11614.712612,
1464512660960,Network.dataReceived,17348.22,,,28888,8192,11614.712633,
1464512660960,Network.dataReceived,17348.22,,,9927,3451,11614.712653,
1464512660960,Network.loadingFinished,17348.22,,,,13457,11614.694019,
1464512660960,Network.responseReceived,17348.24,,application/x-javascript,,,11614.712791,http/1.1
1464512660960,Network.dataReceived,17348.24,,,10290,4096,11614.712854,
1464512660960,Network.dataReceived,17348.24,,,1953,614,11614.712879,
1464512660960,Network.dataReceived,17348.24,,,16172,3513,11614.712897,
