timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512165719,Network.requestWillBeSent,14627.36,instagramstatic-a.akamaihd.net,,,,11119.446824,
1464512165719,Network.requestWillBeSent,14627.37,instagramstatic-a.akamaihd.net,,,,11119.471736,
1464512165719,Network.responseReceived,14627.36,,image/png,,,11119.471908,h2
1464512165719,Network.dataReceived,14627.36,,,32768,36205,11119.471995,
1464512165719,Network.dataReceived,14627.36,,,3093,0,11119.472099,
1464512165719,Network.dataReceived,14627.36,,,32768,35886,11119.472123,
1464512165719,Network.dataReceived,14627.36,,,3028,0,11119.472165,
1464512165719,Network.dataReceived,14627.36,,,32768,37800,11119.472185,
1464512165719,Network.dataReceived,14627.36,,,4924,0,11119.472222,
1464512165719,Network.dataReceived,14627.36,,,23388,23451,11119.472253,
1464512165719,Network.loadingFinished,14627.36,,,,133342,11119.468501,
1464512165726,Network.responseReceived,14627.37,,image/vnd.microsoft.icon,,,11119.477359,h2
1464512165726,Network.dataReceived,14627.37,,,5430,5722,11119.47754,
1464512165726,Network.loadingFinished,14627.37,,,,5722,11119.477187,
1464512167765,Network.requestWillBeSent,14640.1,www.vk.com,,,,11119.490978,
1464512167766,Network.requestWillBeSent,14640.1,vk.com,,,,11120.678907,
1464512167766,Network.responseReceived,14640.1,,text/html,,,11121.517688,http/1.1
1464512167773,Network.dataReceived,14640.1,,,10497,4096,11121.517805,
1464512167773,Network.dataReceived,14640.1,,,7358,2582,11121.526195,
1464512167773,Network.loadingFinished,14640.1,,,,6678,11121.517378,
1464512167779,Network.requestWillBeSent,14640.2,vk.com,,,,11121.529019,
1464512167779,Network.requestWillBeSent,14640.3,vk.com,,,,11121.529123,
1464512167779,Network.requestWillBeSent,14640.4,vk.com,,,,11121.529221,
1464512167779,Network.requestWillBeSent,14640.5,vk.com,,,,11121.529288,
1464512167779,Network.requestWillBeSent,14640.6,vk.com,,,,11121.529371,
1464512167779,Network.requestWillBeSent,14640.7,vk.com,,,,11121.52942,
1464512167779,Network.requestWillBeSent,14640.8,vk.com,,,,11121.529459,
1464512167779,Network.requestWillBeSent,14640.9,vk.com,,,,11121.529498,
1464512167779,Network.requestWillBeSent,14640.10,vk.com,,,,11121.529538,
1464512167779,Network.requestWillBeSent,14640.11,vk.com,,,,11121.529579,
1464512167779,Network.requestWillBeSent,14640.12,vk.com,,,,11121.529615,
1464512167779,Network.requestWillBeSent,14640.13,vk.com,,,,11121.52966,
1464512167779,Network.requestWillBeSent,14640.14,vk.com,,,,11121.529701,
1464512167779,Network.requestWillBeSent,14640.15,vk.com,,,,11121.529738,
1464512168192,Network.responseReceived,14640.2,,application/x-javascript,,,11121.944385,http/1.1
1464512168192,Network.dataReceived,14640.2,,,8855,4096,11121.944516,
1464512168192,Network.dataReceived,14640.2,,,8212,3144,11121.944564,
1464512168192,Network.dataReceived,14640.2,,,14069,4344,11121.944939,
1464512168193,Network.responseReceived,14640.3,,text/css,,,11121.945858,http/1.1
1464512168193,Network.dataReceived,14640.3,,,12958,4096,11121.945961,
1464512168193,Network.dataReceived,14640.3,,,32768,8936,11121.946159,
1464512168193,Network.dataReceived,14640.3,,,2871,0,11121.946221,
1464512168194,Network.dataReceived,14640.3,,,5827,1448,11121.9469,
1464512168476,Network.responseReceived,14640.4,,text/css,,,11122.22832,http/1.1
