timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512157809,Network.requestWillBeSent,14525.534,www.sina.com.cn,,,,11111.167522,
1464512157809,Network.responseReceived,14525.534,,image/x-icon,,,11111.184163,http/1.1
1464512157809,Network.dataReceived,14525.534,,,5430,5782,11111.184316,
1464512157809,Network.loadingFinished,14525.534,,,,5782,11111.182195,
1464512158469,Network.requestWillBeSent,14605.1,www.weibo.com,,,,11111.585529,
1464512158470,Network.requestWillBeSent,14605.1,kr.weibo.com,,,,11111.77448,
1464512158470,Network.requestWillBeSent,14605.1,overseas.weibo.com,,,,11111.998901,
1464512158471,Network.responseReceived,14605.1,,text/html,,,11112.220188,http/1.1
1464512158475,Network.dataReceived,14605.1,,,9089,4096,11112.220322,
1464512158476,Network.dataReceived,14605.1,,,1425,248,11112.228107,
1464512158480,Network.requestWillBeSent,14605.2,overseas.weibo.com,,,,11112.231481,
1464512158480,Network.requestWillBeSent,14605.3,overseas.weibo.com,,,,11112.231588,
1464512158480,Network.requestWillBeSent,14605.4,overseas.weibo.com,,,,11112.231662,
1464512158480,Network.requestWillBeSent,14605.5,tjs.sjs.sinajs.cn,,,,11112.231734,
1464512158480,Network.requestWillBeSent,14605.6,overseas.weibo.com,,,,11112.231804,
1464512158530,Network.dataReceived,14605.1,,,32768,5792,11112.283465,
1464512158530,Network.dataReceived,14605.1,,,2658,0,11112.283554,
1464512158531,Network.requestWillBeSent,14605.7,tw.weibo.com,,,,11112.284216,
1464512158531,Network.requestWillBeSent,14605.8,overseas.weibo.com,,,,11112.284377,
1464512158594,Network.dataReceived,14605.1,,,32768,7240,11112.347494,
1464512158595,Network.dataReceived,14605.1,,,26505,0,11112.347569,
1464512158606,Network.requestWillBeSent,14605.2,static.tw.weibo.sina.com.tw,,,,11112.358445,
1464512158608,Network.requestWillBeSent,14605.4,static.tw.weibo.sina.com.tw,,,,11112.360079,
1464512158608,Network.requestWillBeSent,14605.3,static.tw.weibo.sina.com.tw,,,,11112.360466,
1464512158613,Network.requestWillBeSent,14605.6,static.tw.weibo.sina.com.tw,,,,11112.364982,
1464512158621,Network.responseReceived,14605.5,,application/x-javascript,,,11112.373407,http/1.1
1464512158621,Network.dataReceived,14605.5,,,10523,4096,11112.373545,
1464512158621,Network.dataReceived,14605.5,,,11310,3614,11112.373585,
1464512158621,Network.dataReceived,14605.5,,,12542,3746,11112.374025,
1464512158621,Network.loadingFinished,14605.5,,,,11456,11112.374054,
1464512158658,Network.dataReceived,14605.1,,,28228,5063,11112.410449,
1464512158658,Network.loadingFinished,14605.1,,,,22439,11112.410467,
1464512158660,Network.requestWillBeSent,14605.9,overseas.weibo.com,,,,11112.411693,
1464512158660,Network.requestWillBeSent,14605.10,overseas.weibo.com,,,,11112.411769,
1464512158661,Network.requestWillBeSent,14605.11,overseas.weibo.com,,,,11112.411816,
1464512158661,Network.requestWillBeSent,14605.12,i.sso.sina.com.cn,,,,11112.411875,
1464512158661,Network.requestWillBeSent,14605.13,overseas.weibo.com,,,,11112.411926,
1464512158661,Network.requestWillBeSent,14605.14,overseas.weibo.com,,,,11112.411986,
1464512158661,Network.responseReceived,14605.12,,application/x-javascript,,,11112.413829,http/1.1
1464512158661,Network.dataReceived,14605.12,,,32768,0,11112.413975,
1464512158661,Network.dataReceived,14605.12,,,9712,0,11112.414145,
1464512158661,Network.loadingFinished,14605.12,,,,0,11112.414096,
1464512158727,Network.requestWillBeSent,14605.14,static.tw.weibo.sina.com.tw,,,,11112.478241,
1464512158727,Network.requestWillBeSent,14605.13,static.tw.weibo.sina.com.tw,,,,11112.478741,
1464512158728,Network.requestWillBeSent,14605.10,static.tw.weibo.sina.com.tw,,,,11112.479179,
1464512158728,Network.requestWillBeSent,14605.11,static.tw.weibo.sina.com.tw,,,,11112.481046,
1464512159400,Network.responseReceived,14605.2,,text/css,,,11113.152602,http/1.1
1464512159401,Network.dataReceived,14605.2,,,2237,1464,11113.152732,
1464512159401,Network.loadingFinished,14605.2,,,,1464,11113.152541,
