timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1464512592151,Network.responseReceived,15968.1,,text/plain,,,11545.893952,data
1464512592151,Network.loadingFinished,15968.1,,,,0,11545.893973,
1464512592154,Page.loadEventFired,,,,,,11545.905501,
1464512592155,Page.domContentEventFired,,,,,,11545.905532,
1464512592719,Network.requestWillBeSent,15993.1,www.wikipedia.org,,,,11545.932905,
1464512592719,Network.requestWillBeSent,15993.1,www.wikipedia.org,,,,11545.974608,
1464512592719,Network.responseReceived,15993.1,,text/html,,,11546.470399,h2
1464512592725,Network.dataReceived,15993.1,,,32768,9204,11546.470558,
1464512592725,Network.dataReceived,15993.1,,,5666,0,11546.478397,
1464512592729,Network.requestWillBeSent,15993.2,www.wikipedia.org,,,,11546.480772,
1464512592729,Network.requestWillBeSent,15993.3,www.wikipedia.org,,,,11546.480847,
1464512592873,Network.dataReceived,15993.1,,,21275,5405,11546.626233,
1464512592950,Network.requestWillBeSent,15993.4,www.wikipedia.org,,,,11546.629181,
1464512592951,Network.dataReceived,15993.1,,,15199,3482,11546.704179,
1464512592951,Network.loadingFinished,15993.1,,,,18091,11546.629913,
1464512593050,Network.responseReceived,15993.2,,image/png,,,11546.802889,h2
1464512593051,Network.dataReceived,15993.2,,,1275,1847,11546.803005,
1464512593051,Network.loadingFinished,15993.2,,,,1847,11546.643093,
1464512593052,Network.responseReceived,15993.3,,image/png,,,11546.804325,h2
1464512593052,Network.dataReceived,15993.3,,,12772,13362,11546.80445,
1464512593052,Network.requestWillBeSent,15993.5,www.wikipedia.org,,,,11546.804911,
1464512593052,Network.requestWillBeSent,15993.6,www.wikipedia.org,,,,11546.805023,
1464512593055,Network.dataReceived,15993.3,,,720,729,11546.807556,
1464512593055,Network.loadingFinished,15993.3,,,,14091,11546.783763,
1464512593056,Network.responseReceived,15993.4,,image/png,,,11546.807947,h2
1464512593056,Network.dataReceived,15993.4,,,883,1461,11546.808095,
1464512593056,Network.loadingFinished,15993.4,,,,1461,11546.79119,
1464512593143,Network.requestWillBeSent,15993.7,www.wikipedia.org,,,,11546.824697,
1464512593214,Network.responseReceived,15993.5,,application/javascript,,,11546.966516,h2
1464512593214,Network.dataReceived,15993.5,,,18433,7543,11546.96664,
1464512593223,Network.loadingFinished,15993.5,,,,7543,11546.966462,
1464512593224,Network.responseReceived,15993.6,,application/javascript,,,11546.976289,h2
1464512593224,Network.dataReceived,15993.6,,,635,932,11546.976407,
1464512593229,Network.loadingFinished,15993.6,,,,932,11546.967086,
1464512593229,Page.domContentEventFired,,,,,,11546.981925,
1464512593235,Network.responseReceived,15993.7,,image/png,,,11546.98712,h2
1464512593235,Network.dataReceived,15993.7,,,8892,9492,11546.987341,
1464512593235,Network.loadingFinished,15993.7,,,,9492,11546.986216,
1464512593235,Page.loadEventFired,,,,,,11546.987608,
