timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198954156,Network.responseReceived,8556.1,,text/plain,,,13285.00562,data
1465198954156,Network.loadingFinished,8556.1,,,,0,13285.005681,
1465198954162,Page.loadEventFired,,,,,,13285.039147,
1465198954162,Page.domContentEventFired,,,,,,13285.039342,
1465198956050,Network.requestWillBeSent,8579.1,www.amazon.com.this,,,,13285.10931,
1465198956050,Network.responseReceived,8579.1,,text/html,,,13286.910281,h2
1465198956059,Network.dataReceived,8579.1,,,8780,4824,13286.926722,
1465198956063,Network.dataReceived,8579.1,,,10177,4105,13286.945204,
1465198956083,Network.dataReceived,8579.1,,,12891,4105,13286.964902,
1465198956088,Network.requestWillBeSent,8579.2,z-ecx.images-amazon.com.this,,,,13286.965882,
1465198956088,Network.requestWillBeSent,8579.3,z-ecx.images-amazon.com.this,,,,13286.966068,
1465198956090,Network.requestWillBeSent,8579.4,z-ecx.images-amazon.com.this,,,,13286.966276,
1465198956090,Network.requestWillBeSent,8579.5,z-ecx.images-amazon.com.this,,,,13286.966468,
1465198956091,Network.requestWillBeSent,8579.6,fls-na.amazon.com.this,,,,13286.96668,
1465198956091,Network.requestWillBeSent,8579.7,g-ecx.images-amazon.com,,,,13286.969198,
1465198956251,Network.dataReceived,8579.1,,,15851,4105,13287.131686,
1465198956253,Network.requestWillBeSent,8579.8,g-ecx.images-amazon.com.this,,,,13287.133195,
1465198956269,Network.dataReceived,8579.1,,,22591,4105,13287.150195,
1465198956275,Network.dataReceived,8579.1,,,14303,5421,13287.156228,
1465198956277,Network.loadingFinished,8579.1,,,,26665,13287.156432,
1465198956468,Network.responseReceived,8579.3,,text/css,,,13287.349012,h2
1465198956469,Network.responseReceived,8579.2,,text/css,,,13287.349738,h2
1465198956509,Network.dataReceived,8579.3,,,32768,16675,13287.390688,
1465198956509,Network.dataReceived,8579.3,,,32768,0,13287.390849,
1465198956509,Network.dataReceived,8579.3,,,30380,0,13287.390942,
1465198956528,Network.dataReceived,8579.3,,,24481,4123,13287.409346,
1465198956650,Network.loadingFinished,8579.3,,,,20807,13287.51814,
1465198956650,Network.dataReceived,8579.2,,,30937,6002,13287.531311,
1465198956652,Network.loadingFinished,8579.2,,,,6002,13287.518924,
1465198956653,Network.responseReceived,8579.5,,text/css,,,13287.534062,h2
1465198956653,Network.dataReceived,8579.5,,,5158,1586,13287.534264,
1465198956653,Network.loadingFinished,8579.5,,,,1586,13287.520191,
1465198956655,Network.responseReceived,8579.4,,text/css,,,13287.535261,h2
1465198956655,Network.dataReceived,8579.4,,,12174,3008,13287.535563,
1465198956655,Network.loadingFinished,8579.4,,,,3008,13287.527993,
1465198956656,Network.responseReceived,8579.6,,image/gif,,,13287.537565,h2
1465198956656,Network.dataReceived,8579.6,,,43,152,13287.537726,
1465198956656,Network.loadingFinished,8579.6,,,,152,13287.528798,
1465198956665,Network.requestWillBeSent,8579.9,z-ecx.images-amazon.com,,,,13287.54032,
1465198956670,Network.requestWillBeSent,8579.13,,,,,13287.550817,
1465198956672,Network.responseReceived,8579.13,,image/svg+xml,,,13287.550874,data
1465198956672,Network.dataReceived,8579.13,,,195,0,13287.5509,
1465198956672,Network.loadingFinished,8579.13,,,,0,13287.550915,
1465198956672,Network.requestWillBeSent,8579.14,g-ecx.images-amazon.com,,,,13287.551209,
1465198956696,Network.requestWillBeSent,8579.15,g-ecx.images-amazon.com,,,,13287.551869,
1465198956709,Network.requestWillBeSent,8579.16,g-ecx.images-amazon.com,,,,13287.587317,
1465198956709,Network.requestWillBeSent,8579.17,images-na.ssl-images-amazon.com,,,,13287.587545,
