timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198759015,Network.responseReceived,5531.1,,text/plain,,,13089.865734,data
1465198759015,Network.loadingFinished,5531.1,,,,0,13089.86579,
1465198759017,Page.loadEventFired,,,,,,13089.892077,
1465198759018,Page.domContentEventFired,,,,,,13089.892167,
1465198760061,Network.requestWillBeSent,5554.1,www.amazon.com.this,,,,13089.959087,
1465198760062,Network.responseReceived,5554.1,,text/html,,,13090.601096,quic/1+spdy/3
1465198760079,Network.dataReceived,5554.1,,,196,932,13090.939924,
1465198760080,Network.dataReceived,5554.1,,,357,192,13090.960775,
1465198760080,Network.dataReceived,5554.1,,,128,64,13090.960828,
1465198760080,Network.dataReceived,5554.1,,,111,64,13090.960864,
1465198760080,Network.dataReceived,5554.1,,,130,64,13090.960888,
1465198760080,Network.dataReceived,5554.1,,,247,128,13090.960916,
1465198760080,Network.dataReceived,5554.1,,,238,128,13090.960939,
1465198760080,Network.dataReceived,5554.1,,,232,128,13090.961098,
1465198760084,Network.dataReceived,5554.1,,,5393,2434,13090.965375,
1465198760088,Network.dataReceived,5554.1,,,5713,2434,13090.969479,
1465198760088,Network.dataReceived,5554.1,,,2972,1217,13090.969595,
1465198760088,Network.dataReceived,5554.1,,,3547,1217,13090.969758,
1465198760108,Network.dataReceived,5554.1,,,4255,1217,13090.988823,
1465198760108,Network.dataReceived,5554.1,,,4254,1217,13090.988899,
1465198760108,Network.dataReceived,5554.1,,,3075,1217,13090.98895,
1465198760108,Network.dataReceived,5554.1,,,3511,1217,13090.98923,
1465198760110,Network.requestWillBeSent,5554.2,g-ecx.images-amazon.com,,,,13090.991182,
1465198760113,Network.requestWillBeSent,5554.3,z-ecx.images-amazon.com.this,,,,13090.991447,
1465198760113,Network.requestWillBeSent,5554.4,z-ecx.images-amazon.com.this,,,,13090.991612,
1465198760113,Network.requestWillBeSent,5554.5,z-ecx.images-amazon.com.this,,,,13090.991742,
1465198760113,Network.requestWillBeSent,5554.6,z-ecx.images-amazon.com.this,,,,13090.991909,
1465198760113,Network.requestWillBeSent,5554.7,fls-na.amazon.com.this,,,,13090.992314,
1465198760113,Network.requestWillBeSent,5554.8,g-ecx.images-amazon.com.this,,,,13090.99268,
1465198760113,Network.dataReceived,5554.1,,,3303,1217,13090.992882,
1465198760113,Network.dataReceived,5554.1,,,6315,1217,13090.993601,
1465198760113,Network.dataReceived,5554.1,,,5733,1217,13090.994091,
1465198760136,Network.dataReceived,5554.1,,,24405,4868,13091.017056,
1465198760139,Network.dataReceived,5554.1,,,6250,2885,13091.020352,
1465198760139,Network.loadingFinished,5554.1,,,,25274,13091.02044,
1465198760350,Network.responseReceived,5554.6,,text/css,,,13091.231063,quic/1+spdy/3
1465198760355,Network.dataReceived,5554.6,,,4717,1662,13091.236246,
1465198760356,Network.responseReceived,5554.3,,text/css,,,13091.236941,quic/1+spdy/3
1465198760356,Network.dataReceived,5554.3,,,2154,885,13091.237109,
1465198760356,Network.responseReceived,5554.5,,text/css,,,13091.237366,quic/1+spdy/3
1465198760357,Network.responseReceived,5554.4,,text/css,,,13091.238024,quic/1+spdy/3
1465198760357,Network.dataReceived,5554.6,,,441,67,13091.238168,
1465198760357,Network.loadingFinished,5554.6,,,,1729,13091.237678,
1465198760367,Network.dataReceived,5554.3,,,7367,1331,13091.248691,
1465198760377,Network.dataReceived,5554.3,,,7683,1331,13091.259154,
1465198760378,Network.dataReceived,5554.3,,,11970,1331,13091.259316,
1465198760378,Network.dataReceived,5554.3,,,1763,1123,13091.259476,
1465198760381,Network.loadingFinished,5554.3,,,,6001,13091.259508,
1465198760381,Network.dataReceived,5554.5,,,5343,1671,13091.26215,
1465198760381,Network.dataReceived,5554.5,,,6831,1340,13091.262429,
1465198760382,Network.loadingFinished,5554.5,,,,3011,13091.262354,
1465198760382,Network.dataReceived,5554.4,,,3219,1521,13091.263706,
1465198760388,Network.dataReceived,5554.4,,,16845,2662,13091.269362,
1465198760397,Network.dataReceived,5554.4,,,8570,1331,13091.279167,
