timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465199421706,Network.responseReceived,11326.1,,text/plain,,,13752.569018,data
1465199421706,Network.loadingFinished,11326.1,,,,0,13752.569071,
1465199421714,Page.loadEventFired,,,,,,13752.588314,
1465199421714,Page.domContentEventFired,,,,,,13752.588604,
1465199423297,Network.requestWillBeSent,11349.1,www.apple.com.this,,,,13752.65977,
1465199423298,Network.responseReceived,11349.1,,text/html,,,13754.156078,h2
1465199423313,Network.dataReceived,11349.1,,,23797,4302,13754.176592,
1465199423320,Network.requestWillBeSent,11349.2,www.apple.com.this,,,,13754.198883,
1465199423320,Network.requestWillBeSent,11349.3,www.apple.com.this,,,,13754.199017,
1465199423320,Network.requestWillBeSent,11349.4,www.apple.com.this,,,,13754.19917,
1465199423321,Network.requestWillBeSent,11349.5,www.apple.com.this,,,,13754.199283,
1465199423321,Network.requestWillBeSent,11349.6,images.apple.com.this,,,,13754.199386,
1465199423321,Network.requestWillBeSent,11349.7,images.apple.com.this,,,,13754.199494,
1465199423321,Network.requestWillBeSent,11349.8,www.apple.com.this,,,,13754.19963,
1465199423321,Network.requestWillBeSent,11349.9,images.apple.com.this,,,,13754.199723,
1465199423321,Network.requestWillBeSent,11349.10,www.apple.com.this,,,,13754.199822,
1465199423333,Network.dataReceived,11349.1,,,779,273,13754.214596,
1465199423333,Network.loadingFinished,11349.1,,,,4575,13754.214623,
1465199424057,Network.responseReceived,11349.2,,text/css,,,13754.937784,h2
1465199424082,Network.dataReceived,11349.2,,,31573,4216,13754.963104,
1465199424146,Network.dataReceived,11349.2,,,32768,5357,13755.027579,
1465199424146,Network.dataReceived,11349.2,,,20334,0,13755.027712,
1465199424157,Network.loadingFinished,11349.2,,,,9582,13755.034412,
1465199424500,Network.responseReceived,11349.5,,text/css,,,13755.380315,h2
1465199424501,Network.dataReceived,11349.5,,,9434,662,13755.380591,
1465199424501,Network.loadingFinished,11349.5,,,,662,13755.380245,
1465199424503,Network.responseReceived,11349.4,,text/css,,,13755.382823,h2
1465199424524,Network.dataReceived,11349.4,,,29526,4187,13755.405417,
1465199424557,Network.dataReceived,11349.4,,,32768,4733,13755.438454,
1465199424557,Network.dataReceived,11349.4,,,25101,0,13755.438658,
1465199424722,Network.loadingFinished,11349.4,,,,8929,13755.594873,
1465199424723,Network.responseReceived,11349.3,,text/css,,,13755.603832,h2
1465199424723,Network.dataReceived,11349.3,,,32768,6362,13755.60414,
1465199424723,Network.responseReceived,11349.8,,application/x-javascript,,,13755.60456,h2
1465199424723,Network.dataReceived,11349.3,,,23390,0,13755.604755,
1465199424728,Network.loadingFinished,11349.3,,,,6362,13755.598998,
1465199424827,Network.dataReceived,11349.8,,,32768,16487,13755.708559,
1465199424827,Network.dataReceived,11349.8,,,28184,0,13755.708888,
1465199425279,Network.dataReceived,11349.8,,,32768,16393,13756.16065,
1465199425279,Network.dataReceived,11349.8,,,19853,0,13756.160907,
1465199425350,Network.dataReceived,11349.8,,,30148,7382,13756.230883,
1465199425350,Network.loadingFinished,11349.8,,,,40262,13756.230829,
1465199425351,Network.responseReceived,11349.6,,text/css,,,13756.2319,h2
1465199425372,Network.dataReceived,11349.6,,,20774,4231,13756.253169,
1465199425413,Network.dataReceived,11349.6,,,32768,5603,13756.294563,
1465199425414,Network.responseReceived,11349.10,,application/x-javascript,,,13756.295153,h2
1465199425414,Network.dataReceived,11349.6,,,29478,0,13756.295322,
1465199425418,Network.loadingFinished,11349.6,,,,9834,13756.295063,
1465199425435,Network.dataReceived,11349.10,,,13985,4164,13756.316236,
1465199425453,Network.dataReceived,11349.10,,,12591,3606,13756.33438,
1465199425453,Network.loadingFinished,11349.10,,,,7770,13756.334375,
1465199425454,Network.responseReceived,11349.7,,application/x-javascript,,,13756.335066,h2
1465199425472,Network.dataReceived,11349.7,,,10055,4190,13756.353708,
1465199426109,Network.responseReceived,11349.9,,application/x-javascript,,,13756.986882,h2
1465199426109,Network.dataReceived,11349.7,,,32768,12849,13756.988724,
1465199426109,Network.dataReceived,11349.7,,,13817,0,13756.990275,
1465199426112,Network.dataReceived,11349.7,,,4764,1494,13756.993363,
1465199426112,Network.loadingFinished,11349.7,,,,18533,13756.993385,
1465199426178,Network.dataReceived,11349.9,,,13774,4278,13757.058864,
1465199426296,Network.requestWillBeSent,11349.51,www.apple.com.this,,,,13757.119876,
1465199426296,Network.requestWillBeSent,11349.43,www.apple.com.this,,,,13757.121714,
1465199426297,Network.requestWillBeSent,11349.52,www.apple.com.this,,,,13757.122253,
1465199426297,Network.requestWillBeSent,11349.53,www.apple.com.this,,,,13757.122841,
1465199426297,Network.requestWillBeSent,11349.54,www.apple.com.this,,,,13757.123415,
1465199426298,Network.requestWillBeSent,11349.55,www.apple.com.this,,,,13757.123986,
1465199426298,Network.requestWillBeSent,11349.56,www.apple.com.this,,,,13757.124595,
1465199426298,Network.requestWillBeSent,11349.57,www.apple.com.this,,,,13757.125127,
1465199426298,Network.requestWillBeSent,11349.58,www.apple.com.this,,,,13757.125677,
