timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198695184,Network.requestWillBeSent,4463.1,www.apple.com.this,,,,13025.555048,
1465198695185,Network.responseReceived,4463.1,,text/html,,,13026.05965,quic/1+spdy/3
1465198695203,Network.dataReceived,4463.1,,,2293,1123,13026.060187,
1465198695203,Network.dataReceived,4463.1,,,22283,3454,13026.084369,
1465198695203,Network.loadingFinished,4463.1,,,,4577,13026.062527,
1465198695210,Network.requestWillBeSent,4463.2,www.apple.com.this,,,,13026.089099,
1465198695210,Network.requestWillBeSent,4463.3,www.apple.com.this,,,,13026.089261,
1465198695210,Network.requestWillBeSent,4463.4,www.apple.com.this,,,,13026.089405,
1465198695210,Network.requestWillBeSent,4463.5,www.apple.com.this,,,,13026.089535,
1465198695211,Network.requestWillBeSent,4463.6,images.apple.com.this,,,,13026.089669,
1465198695211,Network.requestWillBeSent,4463.7,images.apple.com.this,,,,13026.089803,
1465198695211,Network.requestWillBeSent,4463.8,www.apple.com.this,,,,13026.089925,
1465198695211,Network.requestWillBeSent,4463.9,images.apple.com.this,,,,13026.090036,
1465198695211,Network.requestWillBeSent,4463.10,www.apple.com.this,,,,13026.090149,
1465198695511,Network.responseReceived,4463.5,,text/css,,,13026.391194,quic/1+spdy/3
1465198695519,Network.dataReceived,4463.5,,,9434,688,13026.39878,
1465198695520,Network.loadingFinished,4463.5,,,,688,13026.397403,
1465198695521,Network.responseReceived,4463.4,,text/css,,,13026.401584,quic/1+spdy/3
1465198695521,Network.dataReceived,4463.4,,,5807,1432,13026.40191,
1465198695522,Network.dataReceived,4463.4,,,12862,1331,13026.402057,
1465198695522,Network.dataReceived,4463.4,,,6502,1107,13026.402211,
1465198695569,Network.dataReceived,4463.4,,,14638,1331,13026.450086,
1465198695579,Network.dataReceived,4463.4,,,31413,2662,13026.460741,
1465198695594,Network.dataReceived,4463.4,,,16173,1056,13026.4674,
1465198695595,Network.responseReceived,4463.2,,text/css,,,13026.470967,quic/1+spdy/3
1465198695595,Network.dataReceived,4463.2,,,27904,3977,13026.471489,
1465198695599,Network.loadingFinished,4463.4,,,,8919,13026.471583,
1465198695599,Network.dataReceived,4463.2,,,14399,1317,13026.480643,
1465198695611,Network.responseReceived,4463.6,,text/css,,,13026.491706,quic/1+spdy/3
1465198695612,Network.responseReceived,4463.7,,application/x-javascript,,,13026.492275,quic/1+spdy/3
1465198695612,Network.responseReceived,4463.10,,application/x-javascript,,,13026.492878,quic/1+spdy/3
1465198695614,Network.responseReceived,4463.9,,application/x-javascript,,,13026.494661,quic/1+spdy/3
1465198695614,Network.dataReceived,4463.2,,,32768,3187,13026.494913,
