timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198872186,Page.loadEventFired,,,,,,13203.062775,
1465198872187,Page.domContentEventFired,,,,,,13203.062972,
1465198872781,Network.requestWillBeSent,7572.1,m.imgur.com.this,,,,13203.13265,
1465198872782,Network.responseReceived,7572.1,,text/html,,,13203.660051,quic/1+spdy/3
1465198872792,Network.dataReceived,7572.1,,,1373,1072,13203.660568,
1465198872793,Network.dataReceived,7572.1,,,4393,1345,13203.673967,
1465198872794,Network.dataReceived,7572.1,,,12174,2434,13203.674701,
1465198872794,Network.dataReceived,7572.1,,,5283,1217,13203.674794,
1465198872797,Network.dataReceived,7572.1,,,4919,1217,13203.678699,
1465198872797,Network.dataReceived,7572.1,,,7259,1217,13203.678851,
1465198872797,Network.dataReceived,7572.1,,,6668,1217,13203.678987,
1465198872800,Network.requestWillBeSent,7572.2,fonts.googleapis.com.this,,,,13203.679541,
1465198872800,Network.requestWillBeSent,7572.3,m.imgur.com.this,,,,13203.679678,
1465198872800,Network.requestWillBeSent,7572.4,m.imgur.com.this,,,,13203.679822,
1465198872800,Network.requestWillBeSent,7572.5,m.imgur.com.this,,,,13203.679941,
1465198872817,Network.dataReceived,7572.1,,,7622,1217,13203.698376,
1465198872817,Network.dataReceived,7572.1,,,1988,1217,13203.698473,
1465198872826,Network.dataReceived,7572.1,,,4567,1217,13203.708262,
1465198872827,Network.dataReceived,7572.1,,,8918,1217,13203.708409,
1465198872829,Network.dataReceived,7572.1,,,12047,2458,13203.710757,
1465198872830,Network.loadingFinished,7572.1,,,,17045,13203.710913,
1465198873039,Network.responseReceived,7572.3,,text/css,,,13203.919271,quic/1+spdy/3
1465198873047,Network.dataReceived,7572.3,,,3816,1443,13203.928727,
1465198873058,Network.responseReceived,7572.4,,application/x-javascript,,,13203.939341,quic/1+spdy/3
1465198873059,Network.responseReceived,7572.5,,application/x-javascript,,,13203.939864,quic/1+spdy/3
1465198873059,Network.dataReceived,7572.3,,,2958,1113,13203.940113,
1465198873080,Network.dataReceived,7572.3,,,9076,2656,13203.961285,
1465198873080,Network.dataReceived,7572.3,,,6881,1331,13203.961611,
1465198873089,Network.responseReceived,7572.2,,text/css,,,13203.969728,quic/1+spdy/3
1465198873089,Network.dataReceived,7572.3,,,10776,2435,13203.969897,
1465198873107,Network.dataReceived,7572.3,,,7310,1331,13203.988555,
1465198873116,Network.dataReceived,7572.3,,,8206,1331,13203.997529,
1465198873116,Network.dataReceived,7572.3,,,6097,1331,13203.99771,
1465198873117,Network.dataReceived,7572.3,,,13389,2662,13203.998397,
1465198873127,Network.dataReceived,7572.3,,,12735,2662,13204.008887,
1465198873136,Network.dataReceived,7572.2,,,492,713,13204.016828,
1465198873136,Network.loadingFinished,7572.2,,,,713,13204.016716,
1465198873136,Network.dataReceived,7572.3,,,2157,450,13204.017206,
1465198873147,Network.loadingFinished,7572.3,,,,18745,13204.016989,
1465198873148,Network.dataReceived,7572.4,,,668,482,13204.029368,
1465198873161,Network.requestWillBeSent,7572.6,fonts.gstatic.com,,,,13204.037479,
1465198873166,Network.dataReceived,7572.4,,,3605,1331,13204.047822,
1465198873166,Network.dataReceived,7572.4,,,2941,1331,13204.047919,
1465198873166,Network.dataReceived,7572.4,,,3328,1325,13204.048287,
1465198873167,Network.dataReceived,7572.4,,,3164,1331,13204.04863,
