Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
quic,apple,0.458748000001,3.068825,1.472539,0,0,0,0,1,4578,24576,0.478299,9,190936,840041,3.868098,17,527945,536414,16.060237,4,723459,1401031
quic,amazon,0.640996,2.086431,1.443414,0,0,0,0,1,26607,84593,0.987955999999,8,143158,515306,2.586964,13,107756,102197,4.743381,10,277521,702096
quic,imgur,0.515010000001,1.582429,1.580113,0,0,0,0,1,17046,77211,0.581704,4,188928,648930,2.305118,1,14640,14260,0.562571,4,220614,740401
quic,imgur,0.607658999999,1.818841,1.818841,0,0,0,0,1,17045,77211,0.694491,4,188887,648930,2.410461,1,14640,14260,0.579992000001,4,220572,740401
quic,amazon,0.716676,2.223453,1.527313,0,0,0,0,1,26343,83749,1.025965,8,143274,515306,2.755938,13,112418,106787,5.636153,10,282035,705842
quic,imdb,0.830584000001,5.566229,1.566242,0,0,0,0,1,16417,87148,0.970939000001,4,81764,279104,2.592149,46,686968,678621,73.279424,9,785149,1044873
quic,amazon,0.759941999999,2.459011,1.550688,0,0,0,0,1,26348,83750,1.060058,8,143270,515306,3.298674,13,112378,106787,5.703539,10,281996,705843
quic,imdb,0.865963999999,5.227461,1.439856,0,0,0,0,1,16516,87148,0.983097999999,4,81764,279104,2.326579,45,774840,767083,72.55714,9,873120,1133335
quic,apple,0.504601999999,3.002596,1.695746,0,0,0,0,1,4577,24576,0.507479,9,190934,840041,5.070636,17,527806,536414,15.853279,4,723317,1401031
quic,apple,0.503745,3.632757,1.922394,0,0,0,0,1,4577,24576,0.551443999999,9,190938,840041,5.343204,17,527805,536414,22.982663,4,723320,1401031
quic,amazon,0.885977,5.168118,1.62027,0,0,0,0,1,26345,83749,1.178009,8,143164,515306,6.431884,15,143216,136646,20.698378,10,312725,735701
quic,imgur,0.976140999999,2.237309,2.237309,0,0,0,0,1,17045,77211,1.032759,4,188926,648930,2.641691,1,14640,14260,0.400203000001,4,220611,740401
quic,apple,0.52145,3.335975,1.491346,0,0,0,0,1,4577,24576,0.534576,9,183021,840041,3.946994,17,527806,536414,21.399201,4,715404,1401031
quic,imdb,1.01995,5.604141,2.172579,0,0,0,0,1,16383,87147,1.149418,4,81769,279110,3.376952,44,781622,773683,76.02458,10,879774,1139940
quic,imgur,2.137778,3.230544,3.230544,0,0,0,0,1,17045,77211,2.406244,4,188888,648930,2.466752,1,14640,14260,0.291782999999,4,220573,740401
quic,apple,0.598416999999,3.36641,1.741497,0,0,0,0,1,4578,24576,0.615259,9,190905,840041,4.5048,17,527809,536414,17.013976,4,723292,1401031
quic,imdb,0.826507,5.491913,1.459783,0,0,0,0,1,16450,87148,0.925202,4,81770,279110,2.476986,44,728847,721248,84.283999,9,827067,1087506
quic,imdb,1.357394,6.341107,2.038581,0,0,0,0,1,16118,87148,1.475113,4,81770,279110,3.379924,47,646513,638056,77.57921,9,744401,1004314
quic,imdb,0.811364000001,8.351669,1.603768,0,0,0,0,1,16477,87148,0.889073,4,81746,279110,4.023409,49,802076,793021,127.014715,9,900299,1159279
quic,amazon,0.642009000001,2.364789,1.570618,0,0,0,0,1,25274,80365,1.061353,8,143313,515306,3.256942,13,109329,103738,6.20852900001,10,277916,699409
quic,amazon,1.713542,3.487542,2.504335,0,0,0,0,1,25276,80516,2.10733,8,143265,515306,3.900943,13,107812,102197,7.628334,10,276353,698019
quic,imgur,0.540317000001,2.138733,2.135537,0,0,0,0,1,17045,77211,0.614439000001,4,188886,648930,3.338318,1,14640,14260,1.16683,4,220571,740401
quic,apple,1.605284,5.680936,4.118405,0,0,0,0,1,4578,24576,1.630556,9,190963,840041,11.172119,17,527834,536414,18.01748,4,723375,1401031
quic,imgur,0.527401000001,1.744705,1.740317,0,0,0,0,1,17045,77211,0.578263000001,4,188927,648930,2.669702,1,14640,14260,0.731833,4,220612,740401
quic,imdb,1.329087,5.886894,2.118393,0,0,0,0,1,16520,87148,1.51842,4,81770,279104,2.382767,47,696719,688448,78.067038,9,795009,1054700
quic,imgur,0.524255999999,1.510727,1.510727,0,0,0,0,1,17045,77211,0.604803999999,4,188912,648930,2.276514,1,14640,14260,0.292944000001,4,220597,740401
quic,apple,0.526249999999,3.35958,2.032831,0,0,0,0,1,4577,24576,0.549933,9,190934,840041,5.170341,17,527805,536414,18.482658,4,723316,1401031
quic,imgur,0.849751,2.134641,2.134641,0,0,0,0,1,17046,77211,0.952000000001,4,188904,648930,2.428278,1,14640,14260,0.766429000001,4,220590,740401
quic,apple,1.013919,4.003693,2.364136,0,0,0,0,1,4578,24576,1.043641,9,190957,840041,5.595866,17,527738,536414,17.560345,4,723273,1401031
quic,apple,0.475768999999,3.35665,1.681371,0,0,0,0,1,4577,24576,0.485812999999,9,190936,840041,5.085451,17,527808,536414,18.521111,4,723321,1401031
quic,imdb,0.794694,5.444324,1.564238,0,0,0,0,1,16496,87148,0.933679,4,81769,279111,2.53747,46,847771,839649,78.854524,9,946036,1205908
quic,amazon,0.692099999998,2.477376,1.496836,0,0,0,0,1,25006,79653,1.036606,8,143254,515306,3.471971,13,112379,106787,6.883009,10,280639,701746
quic,amazon,0.724436,2.722524,1.489554,0,0,0,0,1,26617,84497,1.02455,8,143256,515306,4.770829,13,109330,103738,8.842848,10,279203,703541
quic,imdb,0.785911000001,5.23108,1.568266,0,0,0,0,1,16521,87148,0.97322,4,81764,279104,2.171085,46,830055,821964,76.563625,9,928340,1188216
quic,imdb,1.928468,6.868806,2.68966,0,0,0,0,1,16491,87148,2.013256,4,81771,279111,3.289634,46,810780,802631,91.287968,9,909042,1168890
quic,amazon,1.138475,6.236763,2.585834,0,0,0,0,1,25006,79658,1.515701,8,143304,515306,10.006147,13,112371,106787,31.435975,10,280681,701751
quic,amazon,0.711859999999,2.259964,1.47334,0,0,0,0,1,26614,84593,1.008617,8,143282,515306,2.450869,13,107754,102197,5.203071,10,277650,702096
quic,imgur,0.568860000001,1.622977,1.619441,0,0,0,0,1,17045,77211,0.645489,4,188887,648930,2.315973,1,14640,14260,0.575971,4,220572,740401
quic,imgur,0.557940000001,1.963478,1.963478,0,0,0,0,1,17045,77211,0.645471,4,188927,648930,3.546917,1,14640,14260,0.643426000001,4,220612,740401
quic,apple,0.517469,3.414553,2.012742,0,0,0,0,1,4577,24576,0.543238,9,190966,840041,4.752764,17,527811,536414,18.81726,4,723354,1401031
h2,amazon,1.116393,6.228535,1.817175,0,0,0,0,1,25045,79658,1.363534,8,143170,515306,8.611971,18,192658,184641,22.474422,10,360873,779605
h2,apple,0.801233,10.747112,8.695167,0,0,0,0,1,4575,24576,0.822749000001,9,190873,840041,55.263064,17,527961,536414,14.688623,4,723409,1401031
h2,imgur,1.043892,2.879906,2.879906,0,0,0,0,1,17072,77211,1.259517,4,188982,648930,4.819669,1,14640,14260,0.534636,4,220694,740401
h2,imdb,1.004865,8.879895,3.367522,0,0,0,0,6,28160,107627,5.135423,8,284871,942433,9.528502,49,734916,724990,175.047922,9,1047947,1775050
h2,apple,3.444752,13.856023,9.030117,0,0,0,0,1,4575,24576,3.46852,9,190881,840041,21.860626,17,528025,536414,37.424032,4,723481,1401031
h2,apple,0.782987000001,7.461021,5.079395,0,0,0,0,1,4576,24576,0.798118000001,9,190875,840041,16.495079,17,528003,536414,21.25923,4,723454,1401031
h2,amazon,3.140789,38.207298,6.285139,0,0,0,0,1,25326,80492,4.910255,8,142436,515306,31.358727,18,188091,180051,107.541834,10,355853,775849
h2,imdb,1.161563,9.954672,3.892219,0,0,0,0,6,28552,107628,9.668362,8,284881,942433,11.434136,50,847054,836646,218.903902,9,1160487,1886707
h2,imgur,0.640065,2.163759,2.163759,0,0,0,0,1,17072,77211,0.871879,4,188972,648930,3.40293,1,14640,14260,0.543169999999,4,220684,740401
h2,amazon,1.916849,22.408731,2.552508,0,0,0,0,1,25051,79654,2.156572,8,143152,515306,27.47103,13,112359,106787,121.721581,10,280562,701747
h2,imdb,1.785344,13.27052,5.018283,0,0,0,0,6,27975,107628,9.786375,8,284895,942433,13.888966,49,875250,865130,272.803618,9,1188120,1915191
h2,imdb,24.359726,87.637427,30.940454,0,0,0,0,6,28429,107628,40.351484,8,284900,942427,132.407992,60,863340,849107,1441.941839,9,1176669,1899162
h2,imgur,0.795015,3.017798,2.785494,0,0,0,0,1,17073,77211,0.885093999999,4,188945,648930,4.708004,1,14640,14260,0.976699999999,4,220658,740401
h2,amazon,2.018933,13.550734,4.42032,0,0,0,0,1,25054,79658,3.616787,8,143176,515306,17.548231,13,112353,106787,57.096252,10,280583,701751
h2,imdb,1.155322,24.018328,12.670745,0,0,0,0,6,28132,107628,29.299655,8,284917,942433,37.317678,48,727527,718094,599.855518,9,1040576,1768155
h2,imgur,1.177454,3.046114,3.046114,0,0,0,0,1,17073,77211,1.391788,4,188982,648930,4.899844,1,14640,14260,0.50016,4,220695,740401
h2,apple,0.823563999998,6.533808,2.914551,0,0,0,0,1,4575,24576,0.845200999998,9,190910,840041,6.643629,17,527989,536414,30.814049,4,723474,1401031
h2,amazon,0.882699,0.906107000001,0.906107000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
h2,apple,0.723474,5.8677,3.1335,0,0,0,0,1,4576,24576,0.732391,9,190869,840041,8.372609,17,528030,536414,23.258744,4,723475,1401031
h2,apple,11.899335,36.728183,17.809336,0,0,0,0,1,4575,24576,12.098272,9,190892,840041,25.890745,17,527971,536414,108.475493,4,723438,1401031
h2,amazon,1.800971,4.744973,2.57334,0,0,0,0,1,26665,84593,2.047122,8,143231,515306,6.270518,13,107736,102197,14.621498,10,277632,702096
h2,imgur,1.103511,7.003976,6.732142,0,0,0,0,1,17072,77211,4.982565,4,188971,648930,20.378286,1,14640,14260,0.491517,4,220683,740401
h2,amazon,1.299627,3.206195,1.958571,0,0,0,0,1,25322,80501,1.545328,8,143206,515306,4.838068,13,107768,102197,10.087457,10,276296,698004
h2,imgur,15.957588,21.901683,21.901683,0,0,0,0,1,17072,77211,16.233278,4,188953,648930,19.538391,1,14640,14260,0.745612999999,4,220665,740401
h2,apple,1.496308,16.027624,7.538007,0,0,0,0,1,4575,24576,1.554853,9,190898,840041,19.67777,17,528038,536414,88.175051,4,723511,1401031
h2,amazon,2.109468,6.604369,3.444959,0,0,0,0,1,25046,79653,2.996913,8,143166,515306,9.065059,13,112382,106787,17.864842,10,280594,701746
h2,apple,14.580756,21.239956,17.848624,0,0,0,0,1,4576,24576,14.600507,9,191004,840041,12.259564,17,528005,536414,45.811639,4,723585,1401031
h2,imgur,5.175779,9.220636,9.220636,0,0,0,0,1,17072,77211,5.735114,4,188980,648930,14.559641,0,0,0,0,3,206052,726141
h2,amazon,1.548742,7.683271,3.177971,0,0,0,0,1,26674,84588,1.799373,8,143167,515306,16.512276,13,107791,102197,29.09633,10,277632,702091
h2,imgur,3.518441,12.616323,8.229029,0,0,0,0,1,17072,77211,5.102958,4,189004,648930,16.451117,1,14640,14260,4.431243,4,220716,740401
h2,imgur,2.066223,3.964321,3.914865,0,0,0,0,1,17072,77211,2.544481,4,188993,648930,5.788794,1,14640,14260,0.591479999999,4,220705,740401
h2,imdb,1.158742,8.629342,2.400135,0,0,0,0,1,16616,87148,1.385438,5,196887,645435,6.235825,45,815586,807756,132.103339,9,1029089,1540339
h2,imdb,0.966297999999,9.285786,3.319228,0,0,0,0,6,28333,107628,6.24052,8,284933,942434,9.151547,50,885421,875108,192.891654,9,1198687,1925170
h2,imdb,1.816798,19.101433,7.18018,0,0,0,0,6,28165,107628,9.282025,8,284878,942434,20.62117,49,843735,833799,316.590828,9,1156778,1883861
h2,imdb,1.303859,10.486407,3.568527,0,0,0,0,6,28087,107628,5.334244,8,284870,942434,11.422785,52,843454,832632,176.378887,9,1156411,1882694
h2,apple,0.600782,6.57951,3.04196,0,0,0,0,1,4575,24576,0.607195000001,9,190878,840041,9.711623,17,528011,536414,24.930955,4,723464,1401031
h2,apple,0.665072,4.892284,2.533047,0,0,0,0,1,4575,24576,0.695706999999,9,190852,840041,8.05066,17,527973,536414,18.627516,4,723400,1401031
h2,imgur,1.039059,3.574594,3.574594,0,0,0,0,1,17072,77211,1.241631,4,188944,648930,5.946872,1,14640,14260,0.572512000001,4,220656,740401
h2,imdb,1.404871,12.149207,4.022163,0,0,0,0,6,28159,107628,9.941622,8,284885,942427,10.643295,54,717132,705574,243.011156,9,1030176,1755629
h2,amazon,1.260533,3.63252,1.960867,0,0,0,0,1,26660,84593,1.52767,8,143226,515306,2.899728,13,107736,102197,12.827132,10,277622,702096
h1,imdb,1.141554,11.672457,4.337299,0,0,0,0,6,28683,107628,6.742455,8,285066,942433,13.040674,60,738730,724910,155.639854,9,1052479,1774971
h1,amazon,1.0945,2.545995,1.721744,0,0,0,0,1,26682,84607,1.341822,8,143123,515306,3.08448099999,13,107770,102197,6.03770200001,10,277575,702110
h1,apple,0.805682999999,5.277374,2.55758,0,0,0,0,1,4575,24576,0.824178999999,9,190892,840041,6.926054,17,527847,536414,26.51446,4,723314,1401031
h1,imgur,0.718311999999,2.042524,2.042524,0,0,0,0,1,17072,77211,0.967242999999,4,189015,648930,3.371211,1,14640,14260,0.398772999999,4,220727,740401
h1,amazon,2.927367,8.522953,3.900477,0,0,0,0,1,26660,84593,3.517923,8,143220,515306,9.719004,13,107760,102197,31.105719,10,277640,702096
h1,amazon,5.546681,7.520169,6.240069,0,0,0,0,1,25049,79653,5.845416,8,143184,515306,4.729529,13,112358,106787,10.332285,10,280591,701746
h1,apple,1.131717,5.110558,3.715252,0,0,0,0,1,4575,24576,1.171687,9,190875,840041,10.374656,17,527853,536414,22.508727,4,723303,1401031
h1,imdb,2.943791,25.777593,10.072312,0,0,0,0,6,28594,107628,18.571708,8,284959,942434,36.825853,51,900868,890395,436.642128,9,1214421,1940457
h1,imdb,1.080309,5.766157,3.781324,0,0,0,0,6,28607,107628,3.665754,8,284988,942433,6.353017,52,776815,766189,124.467763,9,1090410,1816250
h1,amazon,1.197659,2.940007,1.935773,0,0,0,0,1,26394,83773,1.495362,8,143279,515306,3.312006,13,112360,106787,5.97979,10,282033,705866
h1,amazon,1.247299,3.513699,2.028504,0,0,0,0,1,26674,84588,1.574757,8,143175,515306,4.317593,13,107822,102197,7.926587,10,277671,702091
h1,imgur,0.766947,2.133361,2.133361,0,0,0,0,1,17072,77211,0.975177,4,188980,648930,3.442604,1,14640,14260,0.347619,4,220692,740401
h1,apple,0.668803,6.766894,3.220523,0,0,0,0,1,4575,24576,0.687245000001,9,192247,840041,14.470206,17,527907,536414,31.269198,4,724729,1401031
h1,imgur,1.330184,7.968303,7.354457,0,0,0,0,1,17072,77211,1.558375,4,188986,648930,18.775056,1,14640,14260,1.752089,4,220698,740401
h1,imdb,2.333465,15.903791,7.193765,0,0,0,0,6,28485,107628,25.784375,8,284956,942434,12.948526,48,821857,812410,242.079065,9,1135298,1862472
h1,apple,0.65141,5.350101,2.353098,0,0,0,0,1,4575,24576,0.663458000001,9,190876,840041,8.878349,17,527848,536414,34.453418,4,723299,1401031
h1,imdb,3.532535,32.207689,10.958244,0,0,0,0,6,28637,107627,16.147264,8,284954,942433,38.679309,49,825336,815443,439.65313,9,1138927,1865503
h1,apple,1.503376,9.960566,5.736469,0,0,0,0,1,4575,24576,1.527271,9,190894,840041,26.74642,17,527815,536414,58.5527,4,723284,1401031
h1,imgur,0.867167,2.492593,2.492593,0,0,0,0,1,17072,77211,1.071672,4,188949,648930,4.213547,1,14640,14260,0.481328,4,220661,740401
h1,imgur,0.841043999999,2.843744,2.621756,0,0,0,0,1,17072,77211,0.883791999999,4,188958,648930,5.064593,1,14640,14260,0.582639,4,220670,740401
h1,amazon,2.081253,12.695217,4.015026,0,0,0,0,1,26672,84588,2.917657,8,143166,515306,13.157597,19,202138,193820,39.457992,10,371976,793714
h1,imgur,0.756753,2.083394,2.083394,0,0,0,0,1,17072,77211,1.016098,4,188951,648930,3.943287,1,14640,14260,0.330578999999,4,220663,740401
h1,apple,2.128895,9.107337,5.034922,0,0,0,0,1,4575,24576,2.136274,9,190849,840041,12.96332,17,527834,536414,51.829948,4,723258,1401031
h1,apple,0.789342,4.349224,2.467266,0,0,0,0,1,4575,24576,0.814005999999,9,182929,840041,8.588871,17,527813,536414,25.173346,4,715317,1401031
h1,apple,5.906507,16.601089,11.403745,0,0,0,0,1,4575,24576,5.914979,9,190905,840041,29.047093,17,528022,536414,58.081237,4,723502,1401031
h1,imgur,1.347238,4.74518,4.74518,0,0,0,0,1,17072,77211,1.77625,4,188949,648930,12.207152,0,0,0,0,3,206021,726141
h1,apple,1.119488,7.098832,4.106207,0,0,0,0,1,4575,24576,1.128564,9,190897,840041,14.493215,17,527875,536414,18.094794,4,723347,1401031
h1,amazon,2.063875,7.920594,4.862656,0,0,0,0,1,26400,83749,2.379838,8,143173,515306,11.086859,13,112361,106787,33.44626,10,281934,705842
h1,imdb,5.618049,16.399145,14.159602,0,0,0,0,6,28393,107628,8.521493,8,285025,942433,21.791852,47,763553,754319,227.147412,9,1076971,1804380
h1,imdb,1.211652,9.916595,8.197374,0,0,0,0,6,28631,107628,6.921109,8,284967,942434,12.963853,50,890116,880158,177.474908,9,1203714,1930220
h1,imgur,0.645906,2.852993,2.852993,0,0,0,0,1,17073,77211,0.873787,4,188960,648930,5.490314,1,14640,14260,0.999417999999,4,220673,740401
h1,imdb,1.770446,23.722743,8.032815,0,0,0,0,6,28624,107628,17.548122,8,284975,942434,34.591514,51,760788,750161,348.742975,9,1074387,1800223
h1,amazon,2.907859,10.800027,5.407002,0,0,0,0,1,26403,83749,3.635541,8,143165,515306,16.128781,13,112381,106787,38.039707,10,281949,705842
h1,imgur,0.77837,2.275368,2.275368,0,0,0,0,1,17073,77211,1.035219,4,188961,648930,3.779281,1,14640,14260,0.51302,4,220674,740401
h1,amazon,1.214815,3.238773,2.037698,0,0,0,0,1,26667,84593,1.541954,8,143230,515306,4.077109,13,107800,102197,8.423849,10,277697,702096
h1,amazon,1.176278,2.672216,1.887339,0,0,0,0,1,25053,79665,1.449881,8,143240,515306,3.208639,13,112327,106787,6.39564,10,280620,701758
h1,imgur,0.788137,6.790625,6.623832,0,0,0,0,1,17072,77211,1.003871,4,189027,648930,14.939905,1,14640,14260,2.938503,4,220739,740401
h1,imdb,1.133454,6.555202,3.776179,0,0,0,0,6,28442,107627,4.610762,8,284969,942433,8.301193,50,752439,742285,146.396151,9,1065850,1792345
