timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198377059,Network.requestWillBeSent,461.1,www.amazon.com.this,,,,12706.955063,
1465198377060,Network.responseReceived,461.1,,text/html,,,12707.925074,h2
1465198377082,Network.dataReceived,461.1,,,31839,13035,12707.937326,
1465198377109,Network.requestWillBeSent,461.2,z-ecx.images-amazon.com.this,,,,12707.968833,
1465198377109,Network.requestWillBeSent,461.3,z-ecx.images-amazon.com.this,,,,12707.969022,
1465198377109,Network.requestWillBeSent,461.4,z-ecx.images-amazon.com.this,,,,12707.969185,
1465198377109,Network.requestWillBeSent,461.5,z-ecx.images-amazon.com.this,,,,12707.969312,
1465198377110,Network.requestWillBeSent,461.6,fls-na.amazon.com.this,,,,12707.969433,
1465198377110,Network.requestWillBeSent,461.7,g-ecx.images-amazon.com,,,,12707.990141,
1465198377231,Network.dataReceived,461.1,,,15859,4105,12708.113182,
1465198377232,Network.requestWillBeSent,461.8,g-ecx.images-amazon.com.this,,,,12708.113653,
1465198377239,Network.dataReceived,461.1,,,22587,4105,12708.120324,
1465198377242,Network.dataReceived,461.1,,,10333,4105,12708.123501,
1465198377251,Network.dataReceived,461.1,,,3975,1320,12708.131943,
1465198377251,Network.loadingFinished,461.1,,,,26670,12708.132013,
1465198377273,Network.responseReceived,461.3,,text/css,,,12708.15425,h2
1465198377414,Network.dataReceived,461.3,,,32768,16676,12708.294354,
1465198377414,Network.dataReceived,461.3,,,32768,0,12708.294874,
1465198377415,Network.dataReceived,461.3,,,30380,0,12708.295935,
1465198377432,Network.dataReceived,461.3,,,24481,4132,12708.311336,
1465198377445,Network.loadingFinished,461.3,,,,20808,12708.311303,
1465198377446,Network.responseReceived,461.2,,text/css,,,12708.327003,h2
1465198377447,Network.dataReceived,461.2,,,30937,6001,12708.327557,
1465198377450,Network.loadingFinished,461.2,,,,6001,12708.319209,
1465198377451,Network.responseReceived,461.4,,text/css,,,12708.331945,h2
1465198377451,Network.dataReceived,461.4,,,12174,3005,12708.33226,
1465198377453,Network.loadingFinished,461.4,,,,3005,12708.320406,
1465198377454,Network.responseReceived,461.5,,text/css,,,12708.334168,h2
1465198377454,Network.dataReceived,461.5,,,5158,1539,12708.334545,
1465198377454,Network.loadingFinished,461.5,,,,1539,12708.321294,
1465198377455,Network.responseReceived,461.6,,image/gif,,,12708.335808,h2
1465198377456,Network.dataReceived,461.6,,,43,130,12708.336091,
1465198377456,Network.loadingFinished,461.6,,,,130,12708.32208,
1465198377470,Network.requestWillBeSent,461.9,z-ecx.images-amazon.com,,,,12708.340546,
1465198377479,Network.requestWillBeSent,461.13,,,,,12708.357444,
1465198377479,Network.responseReceived,461.13,,image/svg+xml,,,12708.357529,data
1465198377479,Network.dataReceived,461.13,,,195,0,12708.357573,
1465198377479,Network.loadingFinished,461.13,,,,0,12708.357588,
