timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198110000,Page.loadEventFired,,,,,,12440.874825,
1465198110001,Page.domContentEventFired,,,,,,12440.875395,
1465198110841,Network.requestWillBeSent,27934.1,www.amazon.com.this,,,,12440.93765,
1465198110842,Network.responseReceived,27934.1,,text/html,,,12441.535333,quic/1+spdy/3
1465198110863,Network.dataReceived,27934.1,,,326,994,12441.714729,
1465198110864,Network.dataReceived,27934.1,,,355,192,12441.744658,
1465198110864,Network.dataReceived,27934.1,,,724,384,12441.7448,
1465198110864,Network.dataReceived,27934.1,,,5803,2626,12441.74492,
1465198110865,Network.dataReceived,27934.1,,,8695,3651,12441.745364,
1465198110870,Network.dataReceived,27934.1,,,3601,1217,12441.751234,
1465198110871,Network.dataReceived,27934.1,,,4137,1217,12441.751346,
1465198110871,Network.dataReceived,27934.1,,,20588,6085,12441.751525,
1465198110901,Network.requestWillBeSent,27934.2,z-ecx.images-amazon.com.this,,,,12441.779257,
1465198110901,Network.requestWillBeSent,27934.3,z-ecx.images-amazon.com.this,,,,12441.779471,
1465198110901,Network.requestWillBeSent,27934.4,z-ecx.images-amazon.com.this,,,,12441.779604,
1465198110901,Network.requestWillBeSent,27934.5,z-ecx.images-amazon.com.this,,,,12441.779786,
1465198110902,Network.requestWillBeSent,27934.6,fls-na.amazon.com.this,,,,12441.779983,
1465198110902,Network.requestWillBeSent,27934.7,g-ecx.images-amazon.com.this,,,,12441.7802,
1465198110902,Network.dataReceived,27934.1,,,14396,2434,12441.780414,
1465198110902,Network.dataReceived,27934.1,,,6554,1217,12441.780551,
1465198110902,Network.dataReceived,27934.1,,,9095,2434,12441.780627,
1465198110902,Network.dataReceived,27934.1,,,5052,2434,12441.780705,
1465198110902,Network.dataReceived,27934.1,,,1051,384,12441.780766,
1465198110902,Network.loadingFinished,27934.1,,,,25269,12441.766317,
1465198110902,Network.requestWillBeSent,27934.8,g-ecx.images-amazon.com,,,,12441.783376,
1465198111094,Network.responseReceived,27934.2,,text/css,,,12441.974393,quic/1+spdy/3
1465198111106,Network.dataReceived,27934.2,,,29908,5642,12441.985185,
1465198111106,Network.dataReceived,27934.2,,,1029,479,12441.986607,
1465198111112,Network.loadingFinished,27934.2,,,,6121,12441.986601,
1465198111114,Network.responseReceived,27934.3,,text/css,,,12441.994387,quic/1+spdy/3
1465198111114,Network.dataReceived,27934.3,,,28776,5555,12441.994684,
1465198111115,Network.responseReceived,27934.5,,text/css,,,12441.995484,quic/1+spdy/3
1465198111118,Network.dataReceived,27934.5,,,5158,1590,12441.995988,
1465198111118,Network.loadingFinished,27934.5,,,,1590,12441.989768,
1465198111118,Network.responseReceived,27934.4,,text/css,,,12441.998064,quic/1+spdy/3
1465198111119,Network.dataReceived,27934.3,,,32622,5324,12441.998366,
1465198111122,Network.dataReceived,27934.3,,,23932,3993,12442.00333,
1465198111122,Network.dataReceived,27934.3,,,8299,1331,12442.003505,
1465198111122,Network.dataReceived,27934.3,,,7709,1331,12442.003694,
1465198111130,Network.dataReceived,27934.3,,,8348,1331,12442.011154,
1465198111130,Network.dataReceived,27934.4,,,4222,1471,12442.01139,
1465198111131,Network.dataReceived,27934.4,,,7952,1536,12442.012142,
1465198111133,Network.loadingFinished,27934.4,,,,3007,12442.011878,
1465198111133,Network.dataReceived,27934.3,,,10711,1862,12442.014613,
1465198111146,Network.loadingFinished,27934.3,,,,20727,12442.012484,
1465198111159,Network.requestWillBeSent,27934.9,z-ecx.images-amazon.com,,,,12442.031098,
1465198111166,Network.requestWillBeSent,27934.13,,,,,12442.046827,
1465198111166,Network.responseReceived,27934.13,,image/svg+xml,,,12442.046906,data
1465198111166,Network.dataReceived,27934.13,,,195,0,12442.046943,
1465198111166,Network.loadingFinished,27934.13,,,,0,12442.046954,
1465198111167,Network.requestWillBeSent,27934.14,g-ecx.images-amazon.com,,,,12442.047333,
1465198111194,Network.requestWillBeSent,27934.15,g-ecx.images-amazon.com,,,,12442.048058,
1465198111206,Network.requestWillBeSent,27934.16,g-ecx.images-amazon.com,,,,12442.085344,
1465198111206,Network.requestWillBeSent,27934.17,images-na.ssl-images-amazon.com,,,,12442.085536,
1465198111206,Network.requestWillBeSent,27934.18,ecx.images-amazon.com,,,,12442.085803,
1465198111206,Network.requestWillBeSent,27934.19,ecx.images-amazon.com,,,,12442.086005,
1465198111207,Network.requestWillBeSent,27934.20,ecx.images-amazon.com,,,,12442.086199,
1465198111207,Network.requestWillBeSent,27934.21,ecx.images-amazon.com,,,,12442.086401,
1465198111207,Network.requestWillBeSent,27934.22,ecx.images-amazon.com,,,,12442.086576,
1465198111208,Network.requestWillBeSent,27934.23,ecx.images-amazon.com,,,,12442.086752,
1465198111209,Network.responseReceived,27934.6,,image/gif,,,12442.088316,quic/1+spdy/3
1465198111209,Network.dataReceived,27934.6,,,43,148,12442.088497,
1465198111209,Network.loadingFinished,27934.6,,,,148,12442.064245,
1465198111315,Network.requestWillBeSent,27934.24,fls-na.amazon.com,,,,12442.190091,
1465198111315,Page.domContentEventFired,,,,,,12442.196566,
1465198111317,Network.requestWillBeSent,27934.25,z-ecx.images-amazon.com,,,,12442.198918,
1465198111325,Network.responseReceived,27934.7,,image/png,,,12442.20435,quic/1+spdy/3
1465198111325,Network.dataReceived,27934.7,,,2664,2867,12442.204541,
1465198111330,Network.dataReceived,27934.7,,,1325,1325,12442.211567,
1465198111330,Network.dataReceived,27934.7,,,1331,1331,12442.211724,
1465198111330,Network.dataReceived,27934.7,,,1331,1331,12442.21178,
1465198111331,Network.dataReceived,27934.7,,,1057,1057,12442.212532,
1465198111331,Network.loadingFinished,27934.7,,,,7911,12442.212584,
1465198111375,Network.responseReceived,27934.18,,image/jpeg,,,12442.254919,http/1.1
1465198111375,Network.dataReceived,27934.18,,,911,1398,12442.255082,
1465198111375,Network.dataReceived,27934.18,,,1989,1989,12442.255224,
1465198111375,Network.loadingFinished,27934.18,,,,3387,12442.254915,
1465198111379,Network.responseReceived,27934.19,,image/jpeg,,,12442.258339,http/1.1
