timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198193895,Page.loadEventFired,,,,,,12524.764884,
1465198193896,Page.domContentEventFired,,,,,,12524.76539,
1465198194527,Network.requestWillBeSent,29566.1,www.apple.com.this,,,,12524.840693,
1465198194529,Network.responseReceived,29566.1,,text/html,,,12525.403972,h2
1465198194544,Network.dataReceived,29566.1,,,24576,4575,12525.404918,
1465198194545,Network.loadingFinished,29566.1,,,,4575,12525.403488,
1465198194551,Network.requestWillBeSent,29566.2,www.apple.com.this,,,,12525.430432,
1465198194552,Network.requestWillBeSent,29566.3,www.apple.com.this,,,,12525.430595,
1465198194552,Network.requestWillBeSent,29566.4,www.apple.com.this,,,,12525.430734,
1465198194552,Network.requestWillBeSent,29566.5,www.apple.com.this,,,,12525.430876,
1465198194552,Network.requestWillBeSent,29566.6,images.apple.com.this,,,,12525.431005,
1465198194552,Network.requestWillBeSent,29566.7,images.apple.com.this,,,,12525.431148,
1465198194552,Network.requestWillBeSent,29566.8,www.apple.com.this,,,,12525.431278,
1465198194552,Network.requestWillBeSent,29566.9,images.apple.com.this,,,,12525.431395,
1465198194553,Network.requestWillBeSent,29566.10,www.apple.com.this,,,,12525.431506,
1465198194750,Network.responseReceived,29566.2,,text/css,,,12525.630464,h2
1465198194754,Network.dataReceived,29566.2,,,32768,9559,12525.634571,
1465198194754,Network.dataReceived,29566.2,,,32768,0,12525.634661,
1465198194755,Network.responseReceived,29566.5,,text/css,,,12525.63551,h2
1465198194755,Network.dataReceived,29566.5,,,9434,662,12525.635675,
1465198194755,Network.loadingFinished,29566.5,,,,662,12525.635456,
1465198194755,Network.responseReceived,29566.7,,application/x-javascript,,,12525.636532,h2
1465198194755,Network.dataReceived,29566.2,,,19139,0,12525.636658,
1465198194765,Network.loadingFinished,29566.2,,,,9559,12525.635945,
1465198194765,Network.dataReceived,29566.7,,,10055,4249,12525.646864,
1465198194933,Network.responseReceived,29566.10,,application/x-javascript,,,12525.813522,h2
1465198194933,Network.dataReceived,29566.10,,,26576,7792,12525.814975,
1465198194935,Network.loadingFinished,29566.10,,,,7792,12525.814956,
1465198194935,Network.dataReceived,29566.7,,,32768,14343,12525.815555,
1465198194936,Network.responseReceived,29566.9,,application/x-javascript,,,12525.816464,h2
1465198194936,Network.responseReceived,29566.3,,text/css,,,12525.816889,h2
1465198194936,Network.dataReceived,29566.7,,,18581,0,12525.817287,
1465198194936,Network.loadingFinished,29566.7,,,,18592,12525.817006,
1465198194937,Network.dataReceived,29566.3,,,32768,4186,12525.818732,
1465198194937,Network.dataReceived,29566.3,,,2522,0,12525.818799,
1465198194938,Network.dataReceived,29566.9,,,30520,8102,12525.819867,
1465198194943,Network.responseReceived,29566.8,,application/x-javascript,,,12525.823649,h2
1465198194943,Network.responseReceived,29566.6,,text/css,,,12525.823982,h2
1465198194943,Network.responseReceived,29566.4,,text/css,,,12525.824282,h2
1465198194944,Network.dataReceived,29566.9,,,32768,16424,12525.82585,
1465198194945,Network.dataReceived,29566.9,,,13099,0,12525.826158,
1465198195118,Network.dataReceived,29566.9,,,27788,9852,12525.998914,
1465198195125,Network.dataReceived,29566.6,,,20774,4190,12526.005614,
1465198195126,Network.dataReceived,29566.4,,,29526,4163,12526.006445,
1465198195126,Network.dataReceived,29566.8,,,32768,16469,12526.007472,
1465198195127,Network.dataReceived,29566.8,,,28184,0,12526.008145,
1465198195138,Network.dataReceived,29566.9,,,32768,16393,12526.018999,
1465198195138,Network.dataReceived,29566.9,,,19863,0,12526.019254,
1465198195141,Network.dataReceived,29566.9,,,32768,16393,12526.022628,
1465198195141,Network.dataReceived,29566.9,,,21435,0,12526.022922,
1465198195143,Network.dataReceived,29566.3,,,20868,2176,12526.024419,
1465198195149,Network.loadingFinished,29566.3,,,,6362,12526.024439,
1465198195150,Network.dataReceived,29566.8,,,32768,16393,12526.031187,
1465198195150,Network.dataReceived,29566.8,,,19853,0,12526.031323,
1465198195150,Network.dataReceived,29566.6,,,10297,1283,12526.031444,
1465198195150,Network.dataReceived,29566.4,,,32768,4733,12526.03157,
1465198195150,Network.dataReceived,29566.4,,,25101,0,12526.031697,
1465198195161,Network.loadingFinished,29566.4,,,,8905,12526.033858,
1465198195161,Network.dataReceived,29566.6,,,32768,4311,12526.042256,
1465198195161,Network.dataReceived,29566.6,,,19181,0,12526.042415,
1465198195161,Network.dataReceived,29566.9,,,2552,810,12526.042634,
1465198195161,Network.dataReceived,29566.8,,,30148,7373,12526.042861,
1465198195325,Network.loadingFinished,29566.6,,,,9793,12526.192711,
1465198195325,Network.loadingFinished,29566.8,,,,40244,12526.193578,
1465198195326,Network.dataReceived,29566.9,,,32768,20968,12526.206964,
1465198195326,Network.dataReceived,29566.9,,,32768,0,12526.207076,
1465198195326,Network.dataReceived,29566.9,,,8561,0,12526.207179,
1465198195327,Network.loadingFinished,29566.9,,,,88942,12526.196532,
1465198195422,Network.requestWillBeSent,29566.51,www.apple.com.this,,,,12526.274913,
1465198195422,Network.requestWillBeSent,29566.43,www.apple.com.this,,,,12526.276568,
1465198195422,Network.requestWillBeSent,29566.52,www.apple.com.this,,,,12526.276874,
1465198195422,Network.requestWillBeSent,29566.53,www.apple.com.this,,,,12526.277142,
1465198195423,Network.requestWillBeSent,29566.54,www.apple.com.this,,,,12526.277389,
