timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198119704,Network.requestWillBeSent,28204.1,www.apple.com.this,,,,12450.13432,
1465198119704,Network.responseReceived,28204.1,,text/html,,,12450.583161,quic/1+spdy/3
1465198119717,Network.dataReceived,28204.1,,,151,418,12450.583504,
1465198119717,Network.dataReceived,28204.1,,,361,192,12450.598874,
1465198119718,Network.dataReceived,28204.1,,,270,64,12450.598964,
1465198119718,Network.dataReceived,28204.1,,,173,64,12450.599393,
1465198119718,Network.dataReceived,28204.1,,,304,64,12450.59949,
1465198119718,Network.dataReceived,28204.1,,,459,128,12450.599549,
1465198119718,Network.dataReceived,28204.1,,,412,128,12450.599603,
1465198119718,Network.dataReceived,28204.1,,,438,128,12450.599702,
1465198119718,Network.dataReceived,28204.1,,,5754,1217,12450.599827,
1465198119722,Network.dataReceived,28204.1,,,10688,1217,12450.603701,
1465198119722,Network.dataReceived,28204.1,,,5566,956,12450.603878,
1465198119723,Network.loadingFinished,28204.1,,,,4576,12450.589214,
1465198119726,Network.requestWillBeSent,28204.2,www.apple.com.this,,,,12450.605043,
1465198119726,Network.requestWillBeSent,28204.3,www.apple.com.this,,,,12450.605196,
1465198119726,Network.requestWillBeSent,28204.4,www.apple.com.this,,,,12450.605318,
1465198119726,Network.requestWillBeSent,28204.5,www.apple.com.this,,,,12450.605459,
1465198119726,Network.requestWillBeSent,28204.6,images.apple.com.this,,,,12450.605571,
1465198119726,Network.requestWillBeSent,28204.7,images.apple.com.this,,,,12450.605684,
1465198119726,Network.requestWillBeSent,28204.8,www.apple.com.this,,,,12450.605809,
1465198119726,Network.requestWillBeSent,28204.9,images.apple.com.this,,,,12450.605919,
1465198119727,Network.requestWillBeSent,28204.10,www.apple.com.this,,,,12450.606816,
1465198119913,Network.responseReceived,28204.2,,text/css,,,12450.794488,quic/1+spdy/3
1465198119913,Network.dataReceived,28204.2,,,16235,2799,12450.794733,
1465198119915,Network.dataReceived,28204.2,,,7302,1079,12450.796569,
1465198119915,Network.dataReceived,28204.2,,,15316,1331,12450.796678,
1465198119915,Network.dataReceived,28204.2,,,22618,2662,12450.797118,
1465198119916,Network.dataReceived,28204.2,,,10000,1331,12450.797532,
1465198119917,Network.dataReceived,28204.2,,,13204,1798,12450.798579,
1465198119925,Network.loadingFinished,28204.2,,,,11000,12450.797758,
1465198119925,Network.responseReceived,28204.3,,text/css,,,12450.806584,quic/1+spdy/3
