timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465198042495,Network.responseReceived,26299.1,,text/plain,,,12373.357203,data
1465198042495,Network.loadingFinished,26299.1,,,,0,12373.357243,
1465198042507,Page.loadEventFired,,,,,,12373.378105,
1465198042507,Page.domContentEventFired,,,,,,12373.378466,
1465198042987,Network.requestWillBeSent,26322.1,m.imgur.com.this,,,,12373.444769,
1465198042987,Network.responseReceived,26322.1,,text/html,,,12373.86666,quic/1+spdy/3
1465198042999,Network.dataReceived,26322.1,,,64,432,12373.867517,
1465198042999,Network.dataReceived,26322.1,,,100,64,12373.880337,
1465198042999,Network.dataReceived,26322.1,,,135,64,12373.880425,
1465198042999,Network.dataReceived,26322.1,,,153,64,12373.880484,
1465198042999,Network.dataReceived,26322.1,,,109,64,12373.880542,
1465198042999,Network.dataReceived,26322.1,,,177,64,12373.880596,
1465198042999,Network.dataReceived,26322.1,,,145,64,12373.880785,
1465198043000,Network.dataReceived,26322.1,,,128,64,12373.880836,
1465198043000,Network.dataReceived,26322.1,,,84,64,12373.880933,
1465198043000,Network.dataReceived,26322.1,,,4959,1537,12373.881,
1465198043003,Network.dataReceived,26322.1,,,12144,2434,12373.884522,
1465198043003,Network.dataReceived,26322.1,,,10156,2434,12373.884778,
1465198043003,Network.dataReceived,26322.1,,,7195,1217,12373.884856,
1465198043005,Network.requestWillBeSent,26322.2,fonts.googleapis.com.this,,,,12373.885418,
1465198043005,Network.requestWillBeSent,26322.3,m.imgur.com.this,,,,12373.88555,
1465198043005,Network.requestWillBeSent,26322.4,m.imgur.com.this,,,,12373.885674,
1465198043006,Network.requestWillBeSent,26322.5,m.imgur.com.this,,,,12373.885777,
1465198043006,Network.dataReceived,26322.1,,,7243,1217,12373.887439,
1465198043013,Network.dataReceived,26322.1,,,7179,1217,12373.894236,
1465198043013,Network.dataReceived,26322.1,,,2055,1217,12373.894412,
1465198043013,Network.dataReceived,26322.1,,,4507,1217,12373.894622,
1465198043030,Network.dataReceived,26322.1,,,16374,2434,12373.911279,
1465198043030,Network.dataReceived,26322.1,,,4304,1177,12373.911911,
1465198043031,Network.loadingFinished,26322.1,,,,17045,12373.911847,
1465198043200,Network.responseReceived,26322.3,,text/css,,,12374.081395,quic/1+spdy/3
1465198043200,Network.dataReceived,26322.3,,,3816,1419,12374.081613,
1465198043201,Network.responseReceived,26322.4,,application/x-javascript,,,12374.081929,quic/1+spdy/3
1465198043202,Network.responseReceived,26322.5,,application/x-javascript,,,12374.08281,quic/1+spdy/3
1465198043202,Network.dataReceived,26322.3,,,6091,2439,12374.082929,
1465198043212,Network.dataReceived,26322.3,,,12829,2662,12374.094025,
1465198043212,Network.dataReceived,26322.3,,,5146,1331,12374.094152,
1465198043219,Network.dataReceived,26322.3,,,6830,1331,12374.101042,
1465198043220,Network.dataReceived,26322.3,,,7749,1331,12374.101442,
1465198043220,Network.dataReceived,26322.3,,,7612,1331,12374.101634,
1465198043233,Network.responseReceived,26322.2,,text/css,,,12374.114202,quic/1+spdy/3
1465198043233,Network.dataReceived,26322.3,,,5047,1104,12374.114326,
1465198043233,Network.dataReceived,26322.3,,,13389,2662,12374.114382,
1465198043233,Network.dataReceived,26322.3,,,6026,1331,12374.11443,
1465198043233,Network.dataReceived,26322.3,,,6715,1331,12374.115243,
1465198043234,Network.dataReceived,26322.2,,,492,713,12374.115478,
1465198043234,Network.loadingFinished,26322.2,,,,713,12374.115479,
1465198043234,Network.dataReceived,26322.3,,,2151,449,12374.115778,
1465198043239,Network.loadingFinished,26322.3,,,,18721,12374.115647,
1465198043239,Network.dataReceived,26322.4,,,4277,1814,12374.121275,
1465198043255,Network.requestWillBeSent,26322.6,fonts.gstatic.com,,,,12374.132244,
1465198043255,Network.dataReceived,26322.4,,,2937,1331,12374.136974,
1465198043256,Network.dataReceived,26322.4,,,3329,1325,12374.137071,
1465198043256,Network.dataReceived,26322.4,,,3166,1331,12374.137138,
1465198043256,Network.dataReceived,26322.4,,,7256,2662,12374.137208,
1465198043256,Network.dataReceived,26322.4,,,7178,2662,12374.137283,
1465198043256,Network.dataReceived,26322.4,,,3714,1331,12374.137332,
1465198043263,Network.dataReceived,26322.4,,,8422,2662,12374.144337,
1465198043271,Network.dataReceived,26322.4,,,3827,1331,12374.152424,
1465198043271,Network.dataReceived,26322.5,,,6288,2756,12374.15257,
1465198043272,Network.dataReceived,26322.5,,,6263,2656,12374.154201,
1465198043284,Network.dataReceived,26322.5,,,12322,3993,12374.165447,
1465198043293,Network.dataReceived,26322.5,,,5198,1331,12374.17436,
1465198043331,Network.responseReceived,26322.6,,font/woff,,,12374.212324,http/1.1
1465198043331,Network.dataReceived,26322.6,,,2416,2796,12374.213217,
1465198043331,Network.dataReceived,26322.6,,,2796,2796,12374.213284,
1465198043331,Network.dataReceived,26322.6,,,1398,1398,12374.213339,
1465198043332,Network.dataReceived,26322.6,,,1398,1398,12374.213384,
1465198043332,Network.dataReceived,26322.6,,,1398,1398,12374.213428,
1465198043332,Network.dataReceived,26322.6,,,1398,1398,12374.213462,
1465198043335,Network.dataReceived,26322.6,,,1398,1398,12374.216979,
1465198043335,Network.dataReceived,26322.6,,,1398,1398,12374.217227,
1465198043363,Network.dataReceived,26322.6,,,660,660,12374.244265,
1465198043363,Network.loadingFinished,26322.6,,,,14640,12374.244271,
1465198043392,Network.dataReceived,26322.5,,,3686,1331,12374.273205,
1465198043392,Network.dataReceived,26322.5,,,7107,2656,12374.273376,
1465198043392,Network.dataReceived,26322.5,,,5044,1331,12374.273747,
1465198043392,Network.dataReceived,26322.5,,,4260,1331,12374.273904,
1465198043394,Network.dataReceived,26322.4,,,4031,1331,12374.276306,
1465198043395,Network.dataReceived,26322.4,,,3769,1331,12374.276473,
1465198043403,Network.dataReceived,26322.4,,,4539,1331,12374.284274,
1465198043413,Network.dataReceived,26322.4,,,4074,1331,12374.294335,
1465198043413,Network.dataReceived,26322.4,,,7437,2662,12374.294523,
1465198043413,Network.dataReceived,26322.4,,,3934,1331,12374.294687,
1465198043420,Network.dataReceived,26322.4,,,7246,2662,12374.30217,
1465198043421,Network.dataReceived,26322.4,,,3905,1331,12374.30235,
1465198043421,Network.dataReceived,26322.4,,,3991,1331,12374.30278,
1465198043421,Network.dataReceived,26322.4,,,3927,1331,12374.303068,
1465198043421,Network.dataReceived,26322.4,,,4563,1331,12374.303173,
1465198043433,Network.dataReceived,26322.5,,,4441,1331,12374.31413,
1465198043433,Network.dataReceived,26322.5,,,4607,1331,12374.314242,
1465198043433,Network.dataReceived,26322.5,,,4660,1331,12374.314426,
1465198043440,Network.dataReceived,26322.5,,,4910,1331,12374.321666,
1465198043440,Network.dataReceived,26322.5,,,6417,1331,12374.321766,
1465198043440,Network.dataReceived,26322.5,,,6551,1331,12374.322232,
1465198043440,Network.dataReceived,26322.5,,,3972,1331,12374.322371,
1465198043442,Network.dataReceived,26322.5,,,4213,1331,12374.324192,
1465198043442,Network.dataReceived,26322.5,,,5595,1331,12374.324318,
1465198043443,Network.dataReceived,26322.5,,,5715,1331,12374.324582,
1465198043443,Network.dataReceived,26322.5,,,5348,1331,12374.324687,
1465198043443,Network.dataReceived,26322.5,,,6187,1331,12374.324995,
1465198043453,Network.dataReceived,26322.5,,,6358,1330,12374.334371,
1465198043453,Network.dataReceived,26322.4,,,12454,3978,12374.334846,
1465198043453,Network.dataReceived,26322.4,,,4360,1330,12374.335126,
1465198043461,Network.dataReceived,26322.4,,,4946,1330,12374.342892,
1465198043461,Network.dataReceived,26322.4,,,7437,2660,12374.343059,
1465198043462,Network.dataReceived,26322.4,,,4829,1330,12374.343573,
1465198043473,Network.dataReceived,26322.4,,,7425,2660,12374.354365,
1465198043473,Network.dataReceived,26322.4,,,4731,1330,12374.354473,
1465198043473,Network.dataReceived,26322.4,,,4603,1330,12374.354808,
1465198043474,Network.dataReceived,26322.4,,,4670,1330,12374.354947,
1465198043474,Network.dataReceived,26322.5,,,4667,1330,12374.355164,
1465198043474,Network.dataReceived,26322.5,,,5978,1330,12374.355439,
1465198043474,Network.dataReceived,26322.5,,,10294,2660,12374.355608,
1465198043474,Network.dataReceived,26322.5,,,11234,2660,12374.356095,
1465198043475,Network.dataReceived,26322.5,,,5118,1324,12374.356792,
1465198043476,Network.dataReceived,26322.5,,,5322,1330,12374.357231,
1465198043476,Network.dataReceived,26322.5,,,6279,1330,12374.357288,
1465198043476,Network.dataReceived,26322.5,,,13886,2660,12374.357712,
1465198043483,Network.dataReceived,26322.5,,,5945,1330,12374.364199,
1465198043483,Network.dataReceived,26322.5,,,4339,1330,12374.36432,
1465198043483,Network.dataReceived,26322.4,,,4782,1330,12374.364448,
1465198043483,Network.dataReceived,26322.4,,,4094,1330,12374.364756,
1465198043483,Network.dataReceived,26322.4,,,4943,1330,12374.365014,
1465198043493,Network.dataReceived,26322.4,,,7005,2660,12374.374374,
1465198043493,Network.dataReceived,26322.4,,,4229,1330,12374.374884,
1465198043493,Network.dataReceived,26322.4,,,4739,1330,12374.37498,
1465198043493,Network.dataReceived,26322.4,,,3587,1330,12374.375037,
1465198043493,Network.dataReceived,26322.4,,,3877,1330,12374.375091,
1465198043496,Network.dataReceived,26322.4,,,3539,1330,12374.377802,
1465198043496,Network.dataReceived,26322.4,,,3060,1330,12374.37792,
1465198043496,Network.dataReceived,26322.4,,,4868,1329,12374.378316,
1465198043497,Network.dataReceived,26322.4,,,3975,1329,12374.378704,
1465198043503,Network.dataReceived,26322.5,,,9984,2660,12374.384523,
1465198043512,Network.dataReceived,26322.5,,,5246,1330,12374.394238,
1465198043513,Network.dataReceived,26322.5,,,4148,1330,12374.394355,
1465198043594,Network.dataReceived,26322.5,,,11587,2660,12374.475348,
1465198043595,Network.dataReceived,26322.5,,,4762,1130,12374.476861,
1465198043595,Network.loadingFinished,26322.5,,,,61081,12374.476816,
1465198043596,Network.dataReceived,26322.4,,,13836,4167,12374.477418,
1465198043596,Network.dataReceived,26322.4,,,3618,1329,12374.47771,
1465198043597,Network.dataReceived,26322.4,,,7484,2658,12374.477927,
1465198043597,Network.dataReceived,26322.4,,,3193,1329,12374.478669,
1465198043604,Network.dataReceived,26322.4,,,11473,3980,12374.484903,
1465198043604,Network.dataReceived,26322.4,,,16503,3987,12374.485478,
1465198043605,Network.dataReceived,26322.4,,,9192,2658,12374.486094,
1465198043622,Network.dataReceived,26322.4,,,4132,1329,12374.50237,
1465198043623,Network.dataReceived,26322.4,,,9755,1329,12374.50374,
1465198043623,Network.dataReceived,26322.4,,,12189,3987,12374.504052,
1465198043623,Network.dataReceived,26322.4,,,17519,5316,12374.504152,
1465198043624,Network.dataReceived,26322.4,,,16601,5316,12374.504936,
1465198043624,Network.dataReceived,26322.4,,,3912,1329,12374.505239,
1465198043624,Network.dataReceived,26322.4,,,3943,1329,12374.505292,
1465198043624,Network.dataReceived,26322.4,,,81,26,12374.50535,
1465198043624,Network.loadingFinished,26322.4,,,,108387,12374.505123,
1465198043765,Page.loadEventFired,,,,,,12374.642481,
1465198043765,Page.domContentEventFired,,,,,,12374.642692,
