Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
quic,apple,0.400950000001,1.874551,1.266879,0,0,0,0,1,4577,24576,0.408797,9,190935,840041,3.183582,17,527773,536414,8.027215,4,723285,1401031
quic,amazon,0.597683,1.585921,1.258916,0,0,0,0,1,25269,80377,0.828667,8,143265,515306,1.613664,13,109390,103738,3.651169,10,277924,699421
quic,imgur,0.421891,1.197712,1.197712,0,0,0,0,1,17045,77211,0.467078,4,188902,648930,1.670646,1,14640,14260,0.112026999999,4,220587,740401
quic,imgur,0.417281,1.192977,1.192977,0,0,0,0,1,17045,77211,0.454254999999,4,188900,648930,1.615751,1,14640,14260,0.121266,4,220585,740401
quic,amazon,0.618719999999,1.52171,1.269002,0,0,0,0,1,26606,84588,0.844403999999,8,143256,515306,1.810233,13,107848,102197,2.52034500001,10,277710,702091
quic,imdb,0.704808,3.562474,1.375235,0,0,0,0,1,16469,87148,0.818280000001,4,81739,279104,1.541769,47,813207,804636,46.643304,9,911415,1170888
quic,amazon,0.619089,1.545198,1.247191,0,0,0,0,1,26617,84583,0.876729,8,143305,515306,1.467396,13,107136,102197,2.399492,10,277058,702086
quic,imdb,0.726421000001,3.58022,1.310105,0,0,0,0,1,16496,87148,0.763989000001,4,81744,279110,1.704469,46,663244,655173,47.767287,9,761484,1021431
quic,apple,0.403026,1.913072,1.252612,0,0,0,0,1,4577,24576,0.409226,9,192364,840041,3.004067,17,527779,536414,8.343103,4,724720,1401031
quic,apple,0.408529999999,1.879481,1.286489,0,0,0,0,1,4577,24576,0.414312999999,9,192365,840041,3.188348,17,527752,536414,7.768527,4,724694,1401031
quic,amazon,0.595481,1.476693,1.218966,0,0,0,0,1,25272,80492,0.823949,8,143261,515306,1.665582,13,107905,102197,3.259362,10,276438,697995
quic,imgur,0.409489,1.185154,1.185154,0,0,0,0,1,17045,77211,0.453572999999,4,188868,648930,1.543177,1,14640,14260,0.136466,4,220553,740401
quic,apple,0.399813,1.864706,1.298536,0,0,0,0,1,4577,24576,0.423075999999,9,192362,840041,3.550651,17,527945,536414,7.815064,4,724884,1401031
quic,imdb,0.700528000001,3.51789,1.342696,0,0,0,0,1,16418,87148,0.818348000001,4,81770,279111,1.49751,47,727655,719235,45.591002,9,825843,1085494
quic,imgur,0.432129000001,1.230165,1.230165,0,0,0,0,1,17045,77211,0.466663000001,4,188912,648930,1.624738,1,14640,14260,0.173703,4,220597,740401
quic,apple,0.716827,2.393771,1.606518,0,0,0,0,1,4577,24576,0.732297,9,192364,840041,3.033085,17,527762,536414,8.613662,4,724703,1401031
quic,imdb,0.732935,3.475499,1.273629,0,0,0,0,1,16442,87148,0.780284999999,4,81746,279111,1.619,46,885887,877796,46.046292,9,984075,1244055
quic,imdb,0.695111999999,3.929136,1.277067,0,0,0,0,1,16386,87148,0.744742999999,4,81682,279111,1.83012,49,861534,851519,49.031598,10,959602,1217778
quic,imdb,0.725543,3.781225,1.418323,0,0,0,0,1,16226,87148,0.857397000002,4,81770,279111,1.63658,48,761584,752786,48.96233,9,859580,1119045
quic,amazon,0.644190000001,1.644423,1.273794,0,0,0,0,1,24993,79658,0.872472999999,8,143272,515306,1.879411,13,112443,106787,3.632356,10,280708,701751
quic,amazon,0.608752,1.633462,1.242153,0,0,0,0,1,26343,83749,0.845087,8,143261,515306,1.73397,13,111702,106787,4.34767,10,281306,705842
quic,imgur,0.394115999999,1.265035,1.265035,0,0,0,0,1,17045,77211,0.432745999999,4,188897,648930,1.162177,1,14640,14260,0.134185999999,4,220582,740401
quic,apple,0.385628,1.795667,1.196786,0,0,0,0,1,4577,24576,0.398336,9,192364,840041,2.934618,17,527759,536414,8.014059,4,724700,1401031
quic,imgur,0.439351000001,1.235321,1.235321,0,0,0,0,1,17045,77211,0.477251,4,188894,648930,1.726386,1,14640,14260,0.136158000001,4,220579,740401
quic,imdb,0.686674,3.662441,1.363795,0,0,0,0,1,16478,87148,0.803343000001,4,81680,279110,1.559201,48,934364,925691,48.481931,9,1032522,1291949
quic,imgur,0.410147000001,1.156569,1.156569,0,0,0,0,1,17045,77211,0.453680000001,4,188881,648930,1.481915,1,14640,14260,0.122841,4,220566,740401
quic,apple,0.448841000001,1.913129,1.310235,0,0,0,0,1,4576,24576,0.454894,9,192362,840041,3.124034,17,527776,536414,7.734224,4,724714,1401031
quic,imgur,0.391271999999,1.167821,1.167821,0,0,0,0,1,17045,77211,0.439840999999,4,188883,648930,1.612175,1,14640,14260,0.114302,4,220568,740401
quic,apple,0.378935999999,1.551013,1.126195,0,0,0,0,1,4577,24576,0.388185,9,190938,840041,2.691375,17,527753,536414,5.549666,4,723268,1401031
quic,apple,0.381219999999,1.616576,1.223923,0,0,0,0,1,4577,24576,0.410404999999,9,192363,840041,2.890834,17,527804,536414,6.623156,4,724744,1401031
quic,imdb,0.755948,4.494023,1.468611,0,0,0,0,1,16514,87148,0.910758,4,81679,279111,2.491768,49,819277,809995,49.711312,9,917470,1176254
quic,amazon,0.591221000001,1.566891,1.226392,0,0,0,0,1,26611,84583,0.838618000002,8,143315,515306,1.733455,13,107850,102197,2.62583,10,277776,702086
quic,amazon,0.573753000001,1.449115,1.160023,0,0,0,0,1,25262,80382,0.793301000002,8,143219,515306,1.526836,13,109384,103738,2.419607,10,277865,699426
quic,imdb,0.714198,3.463874,1.303808,0,0,0,0,1,16477,87148,0.762333999999,4,81685,279110,1.564153,48,834749,823383,46.896899,9,932911,1189641
quic,imdb,0.724979000001,4.168798,1.314039,0,0,0,0,1,16538,87148,0.765826999999,4,81762,279104,1.945591,51,764532,754786,52.168378,9,862832,1121038
quic,amazon,0.713565,1.950523,1.439315,0,0,0,0,1,26503,84097,1.00137,8,143309,515306,1.929471,13,112465,106787,4.346783,10,282277,706190
quic,amazon,0.613911,1.619167,1.295835,0,0,0,0,1,24992,79658,0.890667,8,143262,515306,1.766443,13,112439,106787,3.239948,10,280693,701751
quic,imgur,0.445072,1.198206,1.198206,0,0,0,0,1,17045,77211,0.512247000001,4,188911,648930,1.638963,1,14640,14260,0.166026000001,4,220596,740401
quic,imgur,0.402781000001,1.225134,1.225134,0,0,0,0,1,17045,77211,0.436417999999,4,188888,648930,1.514856,1,14640,14260,0.141687000001,4,220573,740401
quic,apple,0.382924000001,1.965098,1.405154,0,0,0,0,1,4577,24576,0.384980000001,9,190958,840041,3.505033,17,527761,536414,7.481242,4,723296,1401031
h2,amazon,1.015578,1.859217,1.528001,0,0,0,0,1,25311,80497,1.181712,8,143215,515306,1.990268,13,107867,102197,2.862093,10,276393,698000
h2,apple,0.610471999998,1.997803,1.673768,0,0,0,0,1,4576,24576,0.610300999999,9,182913,840041,3.725859,17,527978,536414,4.305317,4,715467,1401031
h2,imgur,0.596799000001,1.35611,1.35611,0,0,0,0,1,17072,77211,0.754219,4,188948,648930,2.049366,1,14640,14260,0.160601000001,4,220660,740401
h2,imdb,0.896968999999,3.7205,1.997022,0,0,0,0,6,28532,107628,3.533668,8,284837,942434,3.284072,51,834189,823842,53.934042,9,1147558,1873904
