timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465196154124,Page.loadEventFired,,,,,,10485.001478,
1465196154124,Page.domContentEventFired,,,,,,10485.001893,
1465196155098,Network.requestWillBeSent,13890.1,www.amazon.com.this,,,,10485.061378,
1465196155099,Network.responseReceived,13890.1,,text/html,,,10485.971519,h2
1465196155113,Network.dataReceived,13890.1,,,18957,8930,10485.976641,
1465196155114,Network.dataReceived,13890.1,,,12882,4105,10485.994974,
1465196155140,Network.requestWillBeSent,13890.2,z-ecx.images-amazon.com.this,,,,10485.999117,
1465196155140,Network.requestWillBeSent,13890.3,z-ecx.images-amazon.com.this,,,,10485.999286,
1465196155141,Network.requestWillBeSent,13890.4,z-ecx.images-amazon.com.this,,,,10485.999416,
1465196155141,Network.requestWillBeSent,13890.5,z-ecx.images-amazon.com.this,,,,10485.999532,
1465196155141,Network.requestWillBeSent,13890.6,fls-na.amazon.com.this,,,,10485.99967,
1465196155141,Network.requestWillBeSent,13890.7,g-ecx.images-amazon.com,,,,10486.021266,
1465196155237,Network.dataReceived,13890.1,,,15886,4105,10486.118905,
1465196155238,Network.requestWillBeSent,13890.8,g-ecx.images-amazon.com.this,,,,10486.119603,
1465196155241,Network.dataReceived,13890.1,,,32768,9564,10486.122134,
1465196155241,Network.dataReceived,13890.1,,,4421,0,10486.122449,
1465196155242,Network.loadingFinished,13890.1,,,,26704,10486.122615,
1465196155267,Network.responseReceived,13890.2,,text/css,,,10486.148577,h2
1465196155269,Network.dataReceived,13890.2,,,30937,6080,10486.150508,
1465196155274,Network.loadingFinished,13890.2,,,,6080,10486.1493,
1465196155275,Network.responseReceived,13890.4,,text/css,,,10486.155997,h2
1465196155374,Network.dataReceived,13890.4,,,12174,3025,10486.255536,
1465196155375,Network.loadingFinished,13890.4,,,,3025,10486.255453,
1465196155377,Network.responseReceived,13890.3,,text/css,,,10486.25751,h2
1465196155390,Network.dataReceived,13890.3,,,32768,20711,10486.267516,
1465196155390,Network.responseReceived,13890.5,,text/css,,,10486.268782,h2
1465196155391,Network.dataReceived,13890.5,,,5158,1587,10486.269189,
1465196155391,Network.loadingFinished,13890.5,,,,1587,10486.268526,
1465196155391,Network.responseReceived,13890.6,,image/gif,,,10486.270082,h2
1465196155391,Network.dataReceived,13890.6,,,43,154,10486.270223,
1465196155391,Network.loadingFinished,13890.6,,,,154,10486.269579,
1465196155391,Network.dataReceived,13890.3,,,32768,0,10486.270426,
1465196155391,Network.dataReceived,13890.3,,,32768,0,10486.272105,
1465196155391,Network.dataReceived,13890.3,,,22093,0,10486.272284,
1465196155397,Network.loadingFinished,13890.3,,,,20711,10486.272378,
1465196155409,Network.requestWillBeSent,13890.9,z-ecx.images-amazon.com,,,,10486.281321,
1465196155413,Network.requestWillBeSent,13890.13,,,,,10486.294538,
1465196155413,Network.responseReceived,13890.13,,image/svg+xml,,,10486.294596,data
1465196155414,Network.dataReceived,13890.13,,,195,0,10486.294621,
1465196155414,Network.loadingFinished,13890.13,,,,0,10486.294634,
1465196155414,Network.requestWillBeSent,13890.14,g-ecx.images-amazon.com,,,,10486.294966,
1465196155440,Network.requestWillBeSent,13890.15,g-ecx.images-amazon.com,,,,10486.295555,
1465196155454,Network.requestWillBeSent,13890.16,g-ecx.images-amazon.com,,,,10486.330844,
1465196155454,Network.requestWillBeSent,13890.17,ecx.images-amazon.com,,,,10486.331462,
1465196155455,Network.requestWillBeSent,13890.18,ecx.images-amazon.com,,,,10486.331761,
1465196155455,Network.requestWillBeSent,13890.19,ecx.images-amazon.com,,,,10486.332116,
1465196155455,Network.requestWillBeSent,13890.20,ecx.images-amazon.com,,,,10486.332421,
1465196155455,Network.requestWillBeSent,13890.21,ecx.images-amazon.com,,,,10486.334253,
1465196155455,Network.requestWillBeSent,13890.22,ecx.images-amazon.com,,,,10486.334471,
1465196155455,Network.requestWillBeSent,13890.23,ecx.images-amazon.com,,,,10486.334643,
