timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465196358910,Network.responseReceived,17634.1,,text/plain,,,10689.765822,data
1465196358910,Network.loadingFinished,17634.1,,,,0,10689.765887,
1465196358927,Page.loadEventFired,,,,,,10689.796689,
1465196358927,Page.domContentEventFired,,,,,,10689.796766,
1465196359698,Network.requestWillBeSent,17658.1,www.amazon.com.this,,,,10689.859444,
1465196359699,Network.responseReceived,17658.1,,text/html,,,10690.364787,quic/1+spdy/3
1465196359711,Network.dataReceived,17658.1,,,110,865,10690.574387,
1465196359712,Network.dataReceived,17658.1,,,1434,768,10690.593228,
1465196359712,Network.dataReceived,17658.1,,,3717,1729,10690.593666,
1465196359712,Network.dataReceived,17658.1,,,2943,1217,10690.593944,
1465196359712,Network.dataReceived,17658.1,,,2812,1217,10690.594016,
1465196359712,Network.dataReceived,17658.1,,,2712,1217,10690.594084,
1465196359716,Network.dataReceived,17658.1,,,3245,1217,10690.597863,
1465196359716,Network.dataReceived,17658.1,,,3671,1217,10690.598165,
1465196359717,Network.dataReceived,17658.1,,,4493,1217,10690.598312,
1465196359717,Network.dataReceived,17658.1,,,3705,1217,10690.598377,
1465196359717,Network.dataReceived,17658.1,,,3445,1217,10690.59843,
1465196359717,Network.dataReceived,17658.1,,,3014,1217,10690.598634,
1465196359717,Network.dataReceived,17658.1,,,5664,1217,10690.598693,
1465196359717,Network.dataReceived,17658.1,,,5615,1217,10690.598815,
1465196359727,Network.requestWillBeSent,17658.2,z-ecx.images-amazon.com.this,,,,10690.605814,
1465196359727,Network.requestWillBeSent,17658.3,z-ecx.images-amazon.com.this,,,,10690.605959,
1465196359727,Network.requestWillBeSent,17658.4,z-ecx.images-amazon.com.this,,,,10690.606085,
1465196359727,Network.requestWillBeSent,17658.5,z-ecx.images-amazon.com.this,,,,10690.606196,
1465196359727,Network.requestWillBeSent,17658.6,fls-na.amazon.com.this,,,,10690.606322,
1465196359727,Network.requestWillBeSent,17658.7,g-ecx.images-amazon.com.this,,,,10690.606447,
1465196359727,Network.dataReceived,17658.1,,,7459,1217,10690.607187,
1465196359741,Network.requestWillBeSent,17658.8,g-ecx.images-amazon.com,,,,10690.622562,
1465196359742,Network.dataReceived,17658.1,,,14475,2434,10690.623102,
1465196359742,Network.dataReceived,17658.1,,,3532,1217,10690.623367,
1465196359742,Network.dataReceived,17658.1,,,3453,1217,10690.623453,
1465196359742,Network.dataReceived,17658.1,,,8576,3542,10690.623536,
1465196359742,Network.loadingFinished,17658.1,,,,26376,10690.617151,
1465196359893,Network.responseReceived,17658.2,,text/css,,,10690.773983,quic/1+spdy/3
1465196359893,Network.dataReceived,17658.2,,,13167,2979,10690.774134,
1465196359898,Network.responseReceived,17658.4,,text/css,,,10690.778325,quic/1+spdy/3
1465196359898,Network.responseReceived,17658.3,,text/css,,,10690.778882,quic/1+spdy/3
1465196359899,Network.responseReceived,17658.5,,text/css,,,10690.779256,quic/1+spdy/3
1465196359899,Network.dataReceived,17658.2,,,16139,2135,10690.779626,
1465196359899,Network.dataReceived,17658.2,,,1631,1006,10690.780421,
1465196359903,Network.loadingFinished,17658.2,,,,6120,10690.780449,
1465196359903,Network.dataReceived,17658.4,,,555,523,10690.784424,
1465196359903,Network.dataReceived,17658.4,,,5375,1331,10690.784691,
1465196359906,Network.dataReceived,17658.4,,,6244,1223,10690.786559,
1465196359908,Network.loadingFinished,17658.4,,,,3077,10690.786414,
1465196359908,Network.dataReceived,17658.3,,,21052,4251,10690.78912,
1465196359909,Network.dataReceived,17658.3,,,8352,1331,10690.791092,
1465196359911,Network.dataReceived,17658.3,,,6973,1331,10690.792844,
1465196359912,Network.dataReceived,17658.3,,,7969,1331,10690.793984,
1465196359914,Network.dataReceived,17658.3,,,10130,1331,10690.796131,
1465196359916,Network.dataReceived,17658.3,,,7448,1331,10690.797868,
1465196359918,Network.dataReceived,17658.3,,,9439,1331,10690.799571,
1465196359919,Network.dataReceived,17658.3,,,8019,1331,10690.801256,
1465196359921,Network.dataReceived,17658.3,,,6473,1331,10690.802842,
1465196359923,Network.dataReceived,17658.3,,,8245,1331,10690.804454,
1465196359950,Network.dataReceived,17658.3,,,7291,1252,10690.831655,
