timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465196734855,Network.requestWillBeSent,22229.1,www.apple.com.this,,,,11065.270351,
1465196734856,Network.responseReceived,22229.1,,text/html,,,11065.730114,h2
1465196734862,Network.dataReceived,22229.1,,,24576,4575,11065.730373,
1465196734863,Network.loadingFinished,22229.1,,,,4575,11065.729936,
1465196734870,Network.requestWillBeSent,22229.2,www.apple.com.this,,,,11065.748748,
1465196734870,Network.requestWillBeSent,22229.3,www.apple.com.this,,,,11065.748951,
1465196734870,Network.requestWillBeSent,22229.4,www.apple.com.this,,,,11065.749092,
1465196734870,Network.requestWillBeSent,22229.5,www.apple.com.this,,,,11065.749223,
1465196734870,Network.requestWillBeSent,22229.6,images.apple.com.this,,,,11065.749367,
1465196734870,Network.requestWillBeSent,22229.7,images.apple.com.this,,,,11065.749501,
1465196734871,Network.requestWillBeSent,22229.8,www.apple.com.this,,,,11065.749628,
1465196734871,Network.requestWillBeSent,22229.9,images.apple.com.this,,,,11065.749745,
1465196734871,Network.requestWillBeSent,22229.10,www.apple.com.this,,,,11065.749857,
1465196735035,Network.responseReceived,22229.2,,text/css,,,11065.915012,h2
1465196735035,Network.dataReceived,22229.2,,,32768,9582,11065.915559,
1465196735036,Network.responseReceived,22229.6,,text/css,,,11065.916097,h2
1465196735036,Network.dataReceived,22229.6,,,32768,9834,11065.91627,
1465196735037,Network.responseReceived,22229.7,,application/x-javascript,,,11065.916805,h2
1465196735037,Network.dataReceived,22229.2,,,32768,0,11065.917021,
1465196735037,Network.dataReceived,22229.6,,,32768,0,11065.918035,
1465196735037,Network.dataReceived,22229.2,,,19139,0,11065.918378,
1465196735042,Network.loadingFinished,22229.2,,,,9582,11065.918315,
1465196735042,Network.dataReceived,22229.6,,,17484,0,11065.92346,
1465196735049,Network.loadingFinished,22229.6,,,,9834,11065.918585,
1465196735175,Network.dataReceived,22229.7,,,10055,4207,11066.056407,
1465196735181,Network.dataReceived,22229.7,,,32768,14343,11066.058484,
1465196735183,Network.responseReceived,22229.9,,application/x-javascript,,,11066.060999,h2
1465196735183,Network.dataReceived,22229.7,,,18581,0,11066.062223,
1465196735183,Network.loadingFinished,22229.7,,,,18550,11066.060801,
1465196735183,Network.dataReceived,22229.9,,,32768,20658,11066.06377,
1465196735185,Network.dataReceived,22229.9,,,32768,0,11066.066705,
