timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465196270309,Network.requestWillBeSent,15329.1,www.apple.com.this,,,,10600.831074,
1465196270309,Network.responseReceived,15329.1,,text/html,,,10601.184589,quic/1+spdy/3
1465196270320,Network.dataReceived,15329.1,,,50,355,10601.187909,
1465196270320,Network.dataReceived,15329.1,,,101,64,10601.202153,
1465196270321,Network.dataReceived,15329.1,,,1979,640,10601.202467,
1465196270321,Network.dataReceived,15329.1,,,163,64,10601.202708,
1465196270321,Network.dataReceived,15329.1,,,537,192,10601.203118,
1465196270322,Network.dataReceived,15329.1,,,21746,3262,10601.203506,
1465196270324,Network.loadingFinished,15329.1,,,,4577,10601.197261,
1465196270330,Network.requestWillBeSent,15329.2,www.apple.com.this,,,,10601.208948,
1465196270331,Network.requestWillBeSent,15329.3,www.apple.com.this,,,,10601.209093,
1465196270331,Network.requestWillBeSent,15329.4,www.apple.com.this,,,,10601.209224,
1465196270331,Network.requestWillBeSent,15329.5,www.apple.com.this,,,,10601.209339,
1465196270331,Network.requestWillBeSent,15329.6,images.apple.com.this,,,,10601.209506,
1465196270331,Network.requestWillBeSent,15329.7,images.apple.com.this,,,,10601.209623,
1465196270331,Network.requestWillBeSent,15329.8,www.apple.com.this,,,,10601.209759,
1465196270331,Network.requestWillBeSent,15329.9,images.apple.com.this,,,,10601.20986,
1465196270331,Network.requestWillBeSent,15329.10,www.apple.com.this,,,,10601.209989,
1465196270501,Network.responseReceived,15329.7,,application/x-javascript,,,10601.382007,quic/1+spdy/3
1465196270501,Network.dataReceived,15329.7,,,2791,1536,10601.382213,
1465196270501,Network.dataReceived,15329.7,,,11261,3654,10601.382839,
1465196270503,Network.responseReceived,15329.9,,application/x-javascript,,,10601.383819,quic/1+spdy/3
1465196270505,Network.responseReceived,15329.5,,text/css,,,10601.384156,quic/1+spdy/3
1465196270506,Network.responseReceived,15329.3,,text/css,,,10601.385192,quic/1+spdy/3
1465196270506,Network.dataReceived,15329.3,,,1199,573,10601.385362,
1465196270506,Network.responseReceived,15329.2,,text/css,,,10601.385562,quic/1+spdy/3
1465196270507,Network.dataReceived,15329.7,,,8209,2662,10601.385706,
1465196270507,Network.responseReceived,15329.4,,text/css,,,10601.385902,quic/1+spdy/3
1465196270507,Network.responseReceived,15329.10,,application/x-javascript,,,10601.386164,quic/1+spdy/3
1465196270508,Network.responseReceived,15329.6,,text/css,,,10601.386427,quic/1+spdy/3
1465196270508,Network.dataReceived,15329.5,,,9434,669,10601.386575,
1465196270508,Network.loadingFinished,15329.5,,,,669,10601.386397,
1465196270509,Network.responseReceived,15329.8,,application/x-javascript,,,10601.388717,quic/1+spdy/3
1465196270509,Network.dataReceived,15329.3,,,10139,1232,10601.388871,
1465196270512,Network.dataReceived,15329.3,,,11327,1331,10601.392466,
1465196270513,Network.dataReceived,15329.3,,,14986,1325,10601.392631,
1465196270515,Network.dataReceived,15329.3,,,13783,1331,10601.394117,
1465196270516,Network.dataReceived,15329.3,,,4724,571,10601.397617,
1465196270520,Network.loadingFinished,15329.3,,,,6363,10601.397624,
1465196270520,Network.dataReceived,15329.2,,,2398,849,10601.401512,
1465196270520,Network.dataReceived,15329.2,,,7733,1331,10601.401602,
1465196270520,Network.dataReceived,15329.2,,,12619,1331,10601.401897,
1465196270521,Network.dataReceived,15329.2,,,16008,1325,10601.402884,
1465196270523,Network.dataReceived,15329.2,,,9333,1331,10601.405278,
1465196270526,Network.dataReceived,15329.2,,,17523,1331,10601.407631,
1465196270528,Network.dataReceived,15329.2,,,13408,1331,10601.409845,
1465196270534,Network.dataReceived,15329.2,,,5653,714,10601.415596,
1465196270538,Network.loadingFinished,15329.2,,,,9543,10601.41558,
1465196270538,Network.dataReceived,15329.4,,,1336,706,10601.420104,
1465196270538,Network.dataReceived,15329.4,,,10558,1331,10601.420168,
1465196270539,Network.dataReceived,15329.4,,,10381,1331,10601.420437,
1465196270539,Network.dataReceived,15329.4,,,13566,1325,10601.4205,
1465196270540,Network.dataReceived,15329.4,,,15550,1331,10601.422092,
1465196270545,Network.dataReceived,15329.4,,,13624,1331,10601.426176,
1465196270545,Network.dataReceived,15329.4,,,17852,1331,10601.426584,
