Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
h2,amazon,0.991875,1.659101,1.502395,0,0,0,0,1,26433,84075,1.158654,8,143216,515306,1.437173,13,97380,91721,2.819938,9,267029,691102
h2,apple,0.449350000001,1.651685,1.457356,0,0,0,0,1,4576,24576,0.467195000001,9,190853,840041,4.224602,17,528006,536414,3.003862,4,723435,1401031
h2,imgur,0.449717,1.086341,1.050629,0,0,0,0,1,17072,77211,0.587808999999,4,188947,648930,1.455024,1,14640,14260,0.210109,4,220659,740401
h2,imdb,0.822231,3.241783,1.274904,0,0,0,0,1,17014,91242,0.959343,4,81739,279110,1.595589,43,690872,682694,29.441576,9,789625,1053046
h2,apple,0.950148999998,6.576228,3.759385,0,0,0,0,1,4575,24576,0.996184,9,192276,840041,16.31985,17,527978,536414,18.628993,4,724829,1401031
h2,apple,0.456905999999,1.736139,1.50306,0,0,0,0,1,4576,24576,0.456947000001,9,192280,840041,4.354676,17,527965,536414,3.124828,4,724821,1401031
h2,amazon,0.910141,1.528955,1.382953,0,0,0,0,1,26704,84914,1.061237,8,143242,515306,1.289451,13,92775,87131,1.583347,9,262721,687351
h2,imdb,0.855711,4.169033,2.188765,0,0,0,0,4,24134,103530,2.308986,8,284872,942427,3.996598,49,898295,887865,66.621028,9,1207301,1933822
h2,imgur,0.534887,1.318409,1.316476,0,0,0,0,1,17073,77211,0.709132,4,188948,648930,1.929708,1,14641,14260,0.0550550000007,4,220662,740401
h2,amazon,0.937297999999,1.630482,1.468118,0,0,0,0,1,25347,80818,1.138595,8,142485,515306,1.498157,13,92791,87131,1.265129,9,260623,683255
h2,imdb,0.784912000001,3.882954,1.437788,0,0,0,0,1,17141,91242,0.935584000001,5,197124,645435,1.724569,48,892984,882996,33.096168,9,1107249,1619673
h2,imdb,0.966324999999,3.773433,1.528446,0,0,0,0,1,17167,91242,1.135871,4,81742,279111,1.406587,47,756197,746804,35.958827,9,855106,1117157
h2,imgur,0.545240000001,1.35361,1.350583,0,0,0,0,1,17072,77211,0.701144000001,4,188953,648930,1.904914,1,14640,14260,0.232283000001,4,220665,740401
h2,amazon,1.101762,1.843541,1.594539,0,0,0,0,1,25082,79979,1.268203,8,143209,515306,1.49131,13,97310,91721,2.563038,9,265601,687006
h2,imdb,0.991733000001,3.641097,1.67395,0,0,0,0,1,17246,91242,1.155585,4,81740,279110,1.418665,44,688711,680171,53.215161,9,787697,1050523
h2,imgur,0.452825,1.076804,1.073642,0,0,0,0,1,17072,77211,0.588357000001,4,188955,648930,1.46683,1,14639,14260,0.138641,4,220666,740401
h2,apple,0.445464999999,2.85812,1.449608,0,0,0,0,1,4575,24576,0.446786999999,9,190854,840041,3.681754,17,527991,536414,4.326259,4,723420,1401031
h2,amazon,0.883014999999,1.598401,1.469407,0,0,0,0,1,25342,80690,1.08142,8,143175,515306,1.533128,13,94310,88672,2.463288,9,262827,684668
h2,apple,0.427692000001,2.118544,1.379776,0,0,0,0,1,4575,24576,0.427818,9,190854,840041,4.02217,17,528001,536414,4.334007,4,723430,1401031
h2,apple,0.443423999999,1.567426,1.407408,0,0,0,0,1,4575,24576,0.446349,9,190860,840041,3.596003,17,527950,536414,2.683777,4,723385,1401031
h2,amazon,0.889103,1.431884,1.34364,0,0,0,0,1,25367,80715,1.027186,6,44013,200218,1.018084,13,94333,88672,2.401507,9,163713,369605
h2,imgur,0.436958,1.063294,1.039868,0,0,0,0,1,17073,77211,0.572695999999,4,188974,648930,1.44429,1,14639,14260,0.219621,4,220686,740401
h2,amazon,0.900858999999,1.675444,1.414851,0,0,0,0,1,26431,84075,1.059757,8,143170,515306,1.46782699999,13,97356,91721,2.517298,9,266957,691102
h2,imgur,0.460586000001,1.206964,1.10957,0,0,0,0,1,17073,77211,0.607812,4,188943,648930,1.654358,1,14640,14260,0.247794000001,4,220656,740401
h2,apple,0.450374,2.299937,1.315895,0,0,0,0,1,4575,24576,0.450617999999,9,190875,840041,3.040698,17,527973,536414,12.429964,4,723423,1401031
h2,amazon,0.833708,1.417513,1.335157,0,0,0,0,1,26703,84804,0.981305000001,6,44010,200218,1.008763,13,94260,88672,2.696429,9,164973,373694
h2,apple,0.450207,1.583014,1.423057,0,0,0,0,1,4575,24576,0.451913000001,9,190877,840041,3.444258,17,528158,536414,4.675388,4,723610,1401031
h2,imgur,0.438497000001,1.039462,1.036681,0,0,0,0,1,17072,77211,0.572863000001,4,188946,648930,1.472295,1,14640,14260,0.179198,4,220658,740401
h2,amazon,0.908887,1.675479,1.536614,0,0,0,0,1,25367,80832,1.052969,8,143306,515306,1.227652,13,92789,87131,3.142409,9,261462,683269
h2,imgur,0.459836,1.113331,1.11069,0,0,0,0,1,17072,77211,0.600236999999,4,188963,648930,1.545069,1,14640,14260,0.164181,4,220675,740401
h2,imgur,0.533728999999,1.2289,1.225879,0,0,0,0,1,17072,77211,0.696750999999,4,188947,648930,1.851115,1,14641,14260,0.0291980000002,4,220660,740401
