timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465335537291,Page.loadEventFired,,,,,,39355.070091,
1465335537295,Page.domContentEventFired,,,,,,39355.070753,
1465335537901,Network.requestWillBeSent,8227.1,www.apple.com.this,,,,39355.173882,
1465335537901,Network.responseReceived,8227.1,,text/html,,,39355.676954,h2
1465335537915,Network.dataReceived,8227.1,,,24576,4575,39355.681408,
1465335537918,Network.loadingFinished,8227.1,,,,4575,39355.681331,
1465335537925,Network.requestWillBeSent,8227.2,www.apple.com.this,,,,39355.708143,
1465335537925,Network.requestWillBeSent,8227.3,www.apple.com.this,,,,39355.708536,
1465335537925,Network.requestWillBeSent,8227.4,www.apple.com.this,,,,39355.708676,
1465335537925,Network.requestWillBeSent,8227.5,www.apple.com.this,,,,39355.708812,
1465335537926,Network.requestWillBeSent,8227.6,images.apple.com.this,,,,39355.708938,
1465335537926,Network.requestWillBeSent,8227.7,images.apple.com.this,,,,39355.70907,
1465335537926,Network.requestWillBeSent,8227.8,www.apple.com.this,,,,39355.709195,
1465335537926,Network.requestWillBeSent,8227.9,images.apple.com.this,,,,39355.70931,
1465335537926,Network.requestWillBeSent,8227.10,www.apple.com.this,,,,39355.709426,
1465335538099,Network.responseReceived,8227.6,,text/css,,,39355.884744,h2
1465335538100,Network.responseReceived,8227.9,,application/x-javascript,,,39355.88529,h2
1465335538101,Network.dataReceived,8227.9,,,13774,4282,39355.887769,
1465335538101,Network.dataReceived,8227.6,,,32768,9832,39355.888096,
1465335538102,Network.dataReceived,8227.6,,,32768,0,39355.888167,
1465335538102,Network.dataReceived,8227.6,,,17484,0,39355.888225,
1465335538267,Network.loadingFinished,8227.6,,,,9841,39356.04345,
1465335538268,Network.responseReceived,8227.5,,text/css,,,39356.053599,h2
1465335538269,Network.dataReceived,8227.5,,,9434,652,39356.054151,
1465335538274,Network.loadingFinished,8227.5,,,,652,39356.044666,
1465335538277,Network.responseReceived,8227.3,,text/css,,,39356.056135,h2
1465335538277,Network.dataReceived,8227.3,,,32768,6362,39356.056393,
1465335538278,Network.responseReceived,8227.2,,text/css,,,39356.056698,h2
1465335538278,Network.dataReceived,8227.2,,,32768,9552,39356.056921,
1465335538278,Network.responseReceived,8227.10,,application/x-javascript,,,39356.057212,h2
1465335538278,Network.responseReceived,8227.7,,application/x-javascript,,,39356.057539,h2
1465335538278,Network.dataReceived,8227.3,,,23390,0,39356.057693,
1465335538279,Network.loadingFinished,8227.3,,,,6362,39356.048866,
1465335538279,Network.dataReceived,8227.2,,,32768,0,39356.063391,
1465335538279,Network.dataReceived,8227.7,,,10055,4189,39356.063637,
1465335538279,Network.dataReceived,8227.2,,,19139,0,39356.063749,
1465335538285,Network.loadingFinished,8227.2,,,,9552,39356.050418,
1465335538285,Network.dataReceived,8227.9,,,32768,32026,39356.071841,
1465335538285,Network.dataReceived,8227.10,,,13985,4186,39356.072066,
1465335538285,Network.dataReceived,8227.9,,,32768,0,39356.072135,
1465335538285,Network.dataReceived,8227.9,,,29495,0,39356.0722,
1465335538429,Network.dataReceived,8227.9,,,32768,16393,39356.212938,
1465335538429,Network.dataReceived,8227.9,,,20315,0,39356.213186,
1465335538430,Network.responseReceived,8227.4,,text/css,,,39356.214268,h2
1465335538430,Network.responseReceived,8227.8,,application/x-javascript,,,39356.214999,h2
1465335538430,Network.dataReceived,8227.10,,,12591,3606,39356.215468,
1465335538431,Network.loadingFinished,8227.10,,,,7792,39356.215426,
1465335538431,Network.dataReceived,8227.9,,,32768,32786,39356.217353,
1465335538432,Network.dataReceived,8227.9,,,32768,0,39356.218099,
1465335538436,Network.dataReceived,8227.7,,,32768,14343,39356.219971,
1465335538436,Network.dataReceived,8227.9,,,32768,0,39356.220819,
1465335538437,Network.dataReceived,8227.7,,,18581,0,39356.220968,
1465335538437,Network.loadingFinished,8227.7,,,,18532,39356.220748,
1465335538437,Network.dataReceived,8227.8,,,32768,32862,39356.22158,
1465335538437,Network.dataReceived,8227.9,,,14050,0,39356.221829,
1465335538437,Network.dataReceived,8227.4,,,29526,4163,39356.222258,
1465335538437,Network.dataReceived,8227.8,,,32768,0,39356.222359,
1465335538437,Network.dataReceived,8227.8,,,32768,0,39356.222728,
1465335538437,Network.dataReceived,8227.8,,,15269,0,39356.222906,
1465335538585,Network.dataReceived,8227.4,,,32768,4733,39356.369861,
1465335538585,Network.dataReceived,8227.4,,,25101,0,39356.37024,
1465335538587,Network.dataReceived,8227.9,,,13416,3472,39356.372198,
1465335538587,Network.loadingFinished,8227.9,,,,88959,39356.371044,
1465335538597,Network.loadingFinished,8227.4,,,,8905,39356.3788,
1465335538598,Network.dataReceived,8227.8,,,30148,7382,39356.384084,
