timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465333103008,Network.responseReceived,15879.1,,text/plain,,,36920.771176,data
1465333103008,Network.loadingFinished,15879.1,,,,0,36920.771232,
1465333103022,Page.loadEventFired,,,,,,36920.792911,
1465333103023,Page.domContentEventFired,,,,,,36920.793207,
1465333103459,Network.requestWillBeSent,15904.1,www.apple.com.this,,,,36920.871103,
1465333103460,Network.responseReceived,15904.1,,text/html,,,36921.241403,quic/1+spdy/3
1465333103475,Network.dataReceived,15904.1,,,256,483,36921.242832,
1465333103475,Network.dataReceived,15904.1,,,699,256,36921.260406,
1465333103475,Network.dataReceived,15904.1,,,1875,576,36921.260469,
1465333103475,Network.dataReceived,15904.1,,,6163,1217,36921.260606,
1465333103475,Network.dataReceived,15904.1,,,11785,1217,36921.2607,
1465333103475,Network.dataReceived,15904.1,,,3798,828,36921.260735,
1465333103476,Network.loadingFinished,15904.1,,,,4577,36921.250389,
1465333103483,Network.requestWillBeSent,15904.2,www.apple.com.this,,,,36921.265968,
1465333103483,Network.requestWillBeSent,15904.3,www.apple.com.this,,,,36921.266228,
1465333103484,Network.requestWillBeSent,15904.4,www.apple.com.this,,,,36921.26643,
1465333103484,Network.requestWillBeSent,15904.5,www.apple.com.this,,,,36921.266615,
1465333103484,Network.requestWillBeSent,15904.6,images.apple.com.this,,,,36921.266821,
1465333103484,Network.requestWillBeSent,15904.7,images.apple.com.this,,,,36921.267096,
1465333103484,Network.requestWillBeSent,15904.8,www.apple.com.this,,,,36921.267365,
1465333103484,Network.requestWillBeSent,15904.9,images.apple.com.this,,,,36921.267626,
1465333103484,Network.requestWillBeSent,15904.10,www.apple.com.this,,,,36921.267826,
1465333103660,Network.responseReceived,15904.9,,application/x-javascript,,,36921.445056,quic/1+spdy/3
1465333103661,Network.dataReceived,15904.9,,,32768,13108,36921.44628,
1465333103661,Network.dataReceived,15904.9,,,13381,0,36921.446529,
1465333103669,Network.responseReceived,15904.7,,application/x-javascript,,,36921.450503,quic/1+spdy/3
1465333103669,Network.responseReceived,15904.5,,text/css,,,36921.451417,quic/1+spdy/3
1465333103670,Network.dataReceived,15904.5,,,9434,635,36921.451846,
1465333103670,Network.loadingFinished,15904.5,,,,635,36921.451203,
1465333103674,Network.responseReceived,15904.2,,text/css,,,36921.454044,quic/1+spdy/3
1465333103674,Network.dataReceived,15904.9,,,5108,1772,36921.454379,
1465333103675,Network.responseReceived,15904.10,,application/x-javascript,,,36921.457589,quic/1+spdy/3
1465333103676,Network.responseReceived,15904.6,,text/css,,,36921.461841,quic/1+spdy/3
1465333103677,Network.responseReceived,15904.3,,text/css,,,36921.462966,quic/1+spdy/3
1465333103678,Network.responseReceived,15904.4,,text/css,,,36921.463402,quic/1+spdy/3
1465333103678,Network.dataReceived,15904.2,,,32768,6253,36921.463618,
1465333103679,Network.responseReceived,15904.8,,application/x-javascript,,,36921.464084,quic/1+spdy/3
1465333103679,Network.dataReceived,15904.2,,,16084,0,36921.464474,
1465333103679,Network.dataReceived,15904.2,,,17706,1331,36921.464981,
1465333103682,Network.dataReceived,15904.2,,,13265,1331,36921.466802,
1465333103682,Network.dataReceived,15904.2,,,4852,627,36921.46771,
1465333103690,Network.loadingFinished,15904.2,,,,9542,36921.467731,
1465333103690,Network.dataReceived,15904.6,,,1172,796,36921.473784,
1465333103690,Network.dataReceived,15904.6,,,4243,1331,36921.473988,
1465333103690,Network.dataReceived,15904.6,,,9658,1331,36921.474018,
1465333103690,Network.dataReceived,15904.6,,,9175,1325,36921.475272,
1465333103690,Network.dataReceived,15904.6,,,10952,1331,36921.4768,
1465333103695,Network.dataReceived,15904.6,,,11056,1331,36921.481573,
1465333103695,Network.dataReceived,15904.6,,,16251,1331,36921.481742,
1465333103696,Network.dataReceived,15904.6,,,20513,1007,36921.483108,
1465333103702,Network.loadingFinished,15904.6,,,,9783,36921.483121,
1465333103702,Network.dataReceived,15904.3,,,517,412,36921.488672,
1465333103702,Network.dataReceived,15904.3,,,10238,1331,36921.489131,
1465333103702,Network.dataReceived,15904.3,,,11324,1331,36921.4892,
1465333103705,Network.dataReceived,15904.3,,,14824,1325,36921.491337,
1465333103706,Network.dataReceived,15904.3,,,13624,1331,36921.492496,
1465333103711,Network.dataReceived,15904.3,,,5631,631,36921.497662,
1465333103715,Network.loadingFinished,15904.3,,,,6361,36921.497668,
1465333103715,Network.dataReceived,15904.4,,,1525,765,36921.501354,
1465333103715,Network.dataReceived,15904.4,,,11147,1331,36921.501459,
1465333103715,Network.dataReceived,15904.4,,,10067,1331,36921.501845,
1465333103715,Network.dataReceived,15904.4,,,13542,1325,36921.501934,
1465333103824,Network.dataReceived,15904.4,,,16798,1331,36921.610726,
1465333103830,Network.dataReceived,15904.4,,,31850,2662,36921.616511,
1465333103830,Network.dataReceived,15904.4,,,2466,150,36921.616751,
1465333103839,Network.loadingFinished,15904.4,,,,8895,36921.616779,
1465333103841,Network.dataReceived,15904.9,,,3134,1169,36921.625868,
1465333103841,Network.dataReceived,15904.7,,,2791,1462,36921.626135,
1465333103841,Network.dataReceived,15904.7,,,3807,1331,36921.626241,
1465333103841,Network.dataReceived,15904.7,,,3091,1325,36921.626686,
1465333103841,Network.dataReceived,15904.7,,,5562,1331,36921.626847,
1465333103841,Network.dataReceived,15904.7,,,3725,1331,36921.626954,
1465333103841,Network.dataReceived,15904.7,,,4202,1331,36921.627124,
1465333103841,Network.dataReceived,15904.7,,,4737,1331,36921.627206,
1465333103841,Network.dataReceived,15904.7,,,3691,1331,36921.627519,
1465333103843,Network.dataReceived,15904.7,,,5487,1331,36921.629395,
1465333103845,Network.dataReceived,15904.7,,,4820,1331,36921.630698,
1465333103846,Network.dataReceived,15904.7,,,4542,1331,36921.63237,
1465333103847,Network.dataReceived,15904.7,,,6557,1331,36921.633535,
1465333103849,Network.dataReceived,15904.7,,,4694,1331,36921.635107,
1465333103851,Network.dataReceived,15904.10,,,3366,1431,36921.637353,
1465333103852,Network.dataReceived,15904.10,,,5613,1331,36921.638854,
1465333103854,Network.dataReceived,15904.10,,,4694,1325,36921.641295,
1465333103855,Network.dataReceived,15904.10,,,5497,1331,36921.641726,
1465333103858,Network.dataReceived,15904.10,,,3572,1331,36921.644499,
1465333103858,Network.dataReceived,15904.10,,,3834,1042,36921.644778,
1465333103858,Network.loadingFinished,15904.10,,,,7791,36921.644827,
1465333103859,Network.dataReceived,15904.8,,,3863,1703,36921.645163,
1465333103859,Network.dataReceived,15904.8,,,4405,1331,36921.645464,
1465333103859,Network.dataReceived,15904.8,,,3717,1331,36921.646402,
1465333103864,Network.dataReceived,15904.8,,,2939,1330,36921.648318,
1465333103864,Network.dataReceived,15904.8,,,3968,1330,36921.650552,
1465333103867,Network.dataReceived,15904.8,,,5542,1330,36921.653168,
1465333103867,Network.dataReceived,15904.8,,,5109,1330,36921.653402,
1465333103867,Network.dataReceived,15904.8,,,5620,1330,36921.653901,
1465333103868,Network.dataReceived,15904.8,,,6478,1330,36921.654888,
1465333103869,Network.dataReceived,15904.8,,,7884,1330,36921.655665,
1465333103871,Network.dataReceived,15904.8,,,11062,2660,36921.658273,
1465333103873,Network.dataReceived,15904.9,,,3678,1330,36921.660221,
1465333103877,Network.dataReceived,15904.9,,,12630,5320,36921.663961,
1465333103878,Network.dataReceived,15904.9,,,3536,1330,36921.664707,
1465333103882,Network.dataReceived,15904.9,,,3722,1330,36921.667623,
1465333103882,Network.dataReceived,15904.9,,,3561,1330,36921.668084,
1465333103882,Network.dataReceived,15904.9,,,3681,1330,36921.66864,
1465333103883,Network.dataReceived,15904.9,,,5539,1330,36921.668813,
1465333103885,Network.dataReceived,15904.9,,,7140,2660,36921.671347,
1465333103886,Network.dataReceived,15904.9,,,6439,2660,36921.67328,
1465333103889,Network.dataReceived,15904.7,,,3698,1122,36921.675401,
1465333103889,Network.loadingFinished,15904.7,,,,18550,36921.675418,
1465333103889,Network.dataReceived,15904.8,,,528,196,36921.675718,
1465333103889,Network.dataReceived,15904.8,,,4161,1330,36921.676198,
1465333103927,Network.dataReceived,15904.8,,,16317,5320,36921.71369,
1465333103927,Network.dataReceived,15904.8,,,7922,2660,36921.713754,
1465333103928,Network.dataReceived,15904.8,,,9763,2660,36921.713789,
1465333103928,Network.dataReceived,15904.8,,,7630,2660,36921.713825,
1465333103928,Network.dataReceived,15904.8,,,11502,2654,36921.713856,
1465333103928,Network.dataReceived,15904.9,,,6939,2654,36921.713905,
1465333103928,Network.dataReceived,15904.9,,,4252,1330,36921.71396,
1465333103928,Network.dataReceived,15904.9,,,3217,1330,36921.714004,
1465333103928,Network.dataReceived,15904.9,,,8820,2660,36921.714042,
1465333103928,Network.dataReceived,15904.9,,,3914,1330,36921.714093,
1465333103928,Network.dataReceived,15904.9,,,20429,5320,36921.714142,
1465333103976,Network.requestWillBeSent,15904.51,www.apple.com.this,,,,36921.728803,
1465333103976,Network.requestWillBeSent,15904.43,www.apple.com.this,,,,36921.7306,
1465333103976,Network.requestWillBeSent,15904.52,www.apple.com.this,,,,36921.730887,
1465333103976,Network.requestWillBeSent,15904.53,www.apple.com.this,,,,36921.731154,
1465333103976,Network.requestWillBeSent,15904.54,www.apple.com.this,,,,36921.731388,
1465333103976,Network.requestWillBeSent,15904.55,www.apple.com.this,,,,36921.731715,
1465333103976,Network.requestWillBeSent,15904.56,www.apple.com.this,,,,36921.732098,
1465333103976,Network.requestWillBeSent,15904.57,www.apple.com.this,,,,36921.732446,
1465333103977,Network.requestWillBeSent,15904.58,www.apple.com.this,,,,36921.732748,
1465333103977,Network.requestWillBeSent,15904.59,www.apple.com.this,,,,36921.733035,
1465333103977,Network.requestWillBeSent,15904.60,www.apple.com.this,,,,36921.733332,
1465333103993,Network.dataReceived,15904.9,,,3816,1330,36921.780142,
1465333103998,Network.dataReceived,15904.9,,,3797,1258,36921.780614,
1465333104004,Network.dataReceived,15904.8,,,3837,1330,36921.784161,
1465333104004,Network.dataReceived,15904.8,,,6296,1330,36921.784482,
1465333104004,Network.dataReceived,15904.8,,,15178,3750,36921.789276,
1465333104004,Network.loadingFinished,15904.8,,,,40225,36921.788664,
1465333104004,Network.dataReceived,15904.9,,,3940,1558,36921.789916,
1465333104086,Network.requestWillBeSent,15904.61,www.apple.com.this,,,,36921.871603,
1465333104087,Network.dataReceived,15904.9,,,32768,15951,36921.872764,
1465333104087,Network.dataReceived,15904.9,,,21298,0,36921.873057,
1465333104087,Network.dataReceived,15904.9,,,4136,1329,36921.87313,
1465333104087,Network.dataReceived,15904.9,,,4755,1329,36921.873173,
1465333104087,Network.dataReceived,15904.9,,,13961,3987,36921.873218,
1465333104087,Network.dataReceived,15904.9,,,14217,3987,36921.873282,
1465333104089,Network.dataReceived,15904.9,,,4508,1329,36921.873351,
1465333104089,Network.dataReceived,15904.9,,,4142,1329,36921.873396,
1465333104089,Network.dataReceived,15904.9,,,9923,2658,36921.873439,
1465333104090,Network.dataReceived,15904.9,,,4172,1329,36921.873488,
1465333104090,Network.dataReceived,15904.9,,,5390,1329,36921.873562,
1465333104090,Network.dataReceived,15904.9,,,4947,1118,36921.873606,
1465333104090,Network.loadingFinished,15904.9,,,,89114,36921.811831,
1465333104202,Network.responseReceived,15904.43,,application/font-woff,,,36921.98847,quic/1+spdy/3
1465333104203,Network.dataReceived,15904.43,,,1332,1454,36921.988623,
1465333104203,Network.dataReceived,15904.43,,,1330,1330,36921.988677,
1465333104203,Network.responseReceived,15904.52,,image/svg+xml,,,36921.988813,quic/1+spdy/3
1465333104203,Network.dataReceived,15904.43,,,2535,2535,36921.988914,
1465333104204,Network.responseReceived,15904.54,,image/svg+xml,,,36921.989039,quic/1+spdy/3
1465333104204,Network.dataReceived,15904.43,,,2555,2555,36921.989129,
1465333104204,Network.responseReceived,15904.53,,image/svg+xml,,,36921.989267,quic/1+spdy/3
1465333104204,Network.dataReceived,15904.43,,,2522,2522,36921.989384,
1465333104205,Network.responseReceived,15904.51,,image/svg+xml,,,36921.989546,quic/1+spdy/3
1465333104205,Network.dataReceived,15904.43,,,2523,2523,36921.989633,
1465333104205,Network.dataReceived,15904.43,,,2660,2660,36921.989661,
1465333104205,Network.dataReceived,15904.43,,,2660,2660,36921.9897,
1465333104205,Network.dataReceived,15904.43,,,1330,1330,36921.989721,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.989743,
1465333104206,Network.dataReceived,15904.43,,,2654,2654,36921.989768,
1465333104206,Network.dataReceived,15904.43,,,2660,2660,36921.989792,
1465333104206,Network.dataReceived,15904.43,,,2660,2660,36921.989812,
1465333104206,Network.dataReceived,15904.43,,,2660,2660,36921.989835,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.989861,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.989881,
1465333104206,Network.dataReceived,15904.43,,,2660,2660,36921.9899,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.989931,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.989954,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.989974,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.99,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.990028,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.990052,
1465333104206,Network.dataReceived,15904.43,,,2660,2660,36921.990075,
1465333104206,Network.dataReceived,15904.43,,,2660,2660,36921.990095,
1465333104206,Network.dataReceived,15904.43,,,2660,2660,36921.990117,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.990142,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.990163,
1465333104206,Network.dataReceived,15904.43,,,1324,1324,36921.990182,
1465333104206,Network.dataReceived,15904.43,,,1330,1330,36921.990204,
