timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465336195967,Network.responseReceived,22850.1,,text/plain,,,40013.737887,data
1465336195967,Network.loadingFinished,22850.1,,,,0,40013.737944,
1465336195972,Page.loadEventFired,,,,,,40013.755533,
1465336195972,Page.domContentEventFired,,,,,,40013.755829,
1465336196543,Network.requestWillBeSent,22874.1,m.imgur.com.this,,,,40013.81717,
1465336196544,Network.responseReceived,22874.1,,text/html,,,40014.326761,h2
1465336196558,Network.dataReceived,22874.1,,,15997,4381,40014.327498,
1465336196565,Network.requestWillBeSent,22874.2,fonts.googleapis.com.this,,,,40014.349163,
1465336196565,Network.requestWillBeSent,22874.3,m.imgur.com.this,,,,40014.349343,
1465336196565,Network.requestWillBeSent,22874.4,m.imgur.com.this,,,,40014.349577,
1465336196566,Network.requestWillBeSent,22874.5,m.imgur.com.this,,,,40014.349813,
1465336196675,Network.dataReceived,22874.1,,,32768,8210,40014.461547,
1465336196675,Network.dataReceived,22874.1,,,4589,0,40014.461748,
1465336196689,Network.dataReceived,22874.1,,,23857,4481,40014.474451,
1465336196690,Network.loadingFinished,22874.1,,,,17072,40014.474599,
1465336196727,Network.responseReceived,22874.3,,text/css,,,40014.513544,h2
1465336196728,Network.dataReceived,22874.3,,,11370,4173,40014.515141,
1465336196833,Network.dataReceived,22874.3,,,32768,14557,40014.61689,
1465336196833,Network.dataReceived,22874.3,,,32768,0,40014.617213,
1465336196833,Network.dataReceived,22874.3,,,6495,0,40014.617325,
1465336196841,Network.loadingFinished,22874.3,,,,18730,40014.617219,
1465336196842,Network.responseReceived,22874.5,,application/x-javascript,,,40014.627897,h2
1465336196842,Network.responseReceived,22874.4,,application/x-javascript,,,40014.628629,h2
1465336196842,Network.dataReceived,22874.4,,,9562,4008,40014.628944,
1465336196842,Network.dataReceived,22874.5,,,9863,4184,40014.629031,
1465336196847,Network.dataReceived,22874.4,,,300,132,40014.633988,
1465336196847,Network.dataReceived,22874.5,,,11249,3964,40014.634127,
1465336196888,Network.dataReceived,22874.5,,,32768,12429,40014.674429,
1465336196888,Network.dataReceived,22874.5,,,6921,0,40014.674744,
1465336196890,Network.dataReceived,22874.4,,,27426,9985,40014.676514,
1465336196891,Network.dataReceived,22874.5,,,32768,15986,40014.678006,
1465336196891,Network.dataReceived,22874.5,,,32384,0,40014.678159,
1465336196991,Network.responseReceived,22874.2,,text/css,,,40014.776349,h2
1465336196991,Network.dataReceived,22874.5,,,32768,12377,40014.777689,
1465336196991,Network.dataReceived,22874.5,,,21436,0,40014.777866,
1465336196992,Network.dataReceived,22874.4,,,11809,3933,40014.778639,
1465336197008,Network.dataReceived,22874.4,,,32768,25045,40014.794384,
1465336197008,Network.dataReceived,22874.4,,,32768,0,40014.794543,
1465336197008,Network.dataReceived,22874.4,,,10396,0,40014.794616,
1465336197051,Network.dataReceived,22874.2,,,492,664,40014.837776,
1465336197052,Network.loadingFinished,22874.2,,,,664,40014.83768,
1465336197069,Network.requestWillBeSent,22874.6,fonts.gstatic.com,,,,40014.849785,
1465336197070,Network.dataReceived,22874.5,,,13680,3595,40014.855676,
1465336197070,Network.dataReceived,22874.5,,,32768,8578,40014.855798,
1465336197070,Network.dataReceived,22874.5,,,1326,0,40014.855903,
1465336197071,Network.loadingFinished,22874.5,,,,61122,40014.845637,
1465336197071,Network.dataReceived,22874.4,,,32768,49179,40014.856181,
1465336197071,Network.dataReceived,22874.4,,,32768,0,40014.856289,
1465336197071,Network.dataReceived,22874.4,,,32768,0,40014.856406,
1465336197072,Network.dataReceived,22874.4,,,3727,0,40014.856527,
1465336197072,Network.dataReceived,22874.4,,,32768,0,40014.857537,
1465336197072,Network.dataReceived,22874.4,,,26326,0,40014.857744,
1465336197148,Network.dataReceived,22874.4,,,32768,16108,40014.933969,
1465336197148,Network.dataReceived,22874.4,,,18184,0,40014.934109,
1465336197148,Network.loadingFinished,22874.4,,,,108390,40014.934083,
1465336197335,Page.domContentEventFired,,,,,,40015.121673,
1465336197336,Network.responseReceived,22874.6,,font/woff,,,40015.1224,http/1.1
1465336197336,Network.dataReceived,22874.6,,,3716,4096,40015.122615,
1465336197336,Network.dataReceived,22874.6,,,10084,10084,40015.122695,
1465336197336,Network.dataReceived,22874.6,,,460,460,40015.122762,
1465336197341,Network.loadingFinished,22874.6,,,,14640,40014.981234,
1465336197341,Page.loadEventFired,,,,,,40015.125424,
1465336197346,Network.requestWillBeSent,22874.10,m.imgur.com.this,,,,40015.131693,
