timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465333697708,Page.loadEventFired,,,,,,37515.476968,
1465333697716,Page.domContentEventFired,,,,,,37515.47758,
1465333698147,Network.requestWillBeSent,30505.1,m.imgur.com.this,,,,37515.568243,
1465333698147,Network.responseReceived,30505.1,,text/html,,,37515.931975,quic/1+spdy/3
1465333698164,Network.dataReceived,30505.1,,,11893,3826,37515.93218,
1465333698166,Network.dataReceived,30505.1,,,17307,3651,37515.95084,
1465333698169,Network.dataReceived,30505.1,,,7047,1217,37515.955768,
1465333698169,Network.dataReceived,30505.1,,,7372,1217,37515.955842,
1465333698169,Network.dataReceived,30505.1,,,6659,1217,37515.955909,
1465333698169,Network.dataReceived,30505.1,,,1994,1217,37515.955974,
1465333698170,Network.dataReceived,30505.1,,,4952,1217,37515.956077,
1465333698170,Network.dataReceived,30505.1,,,8716,1217,37515.956343,
1465333698170,Network.dataReceived,30505.1,,,7410,1217,37515.956409,
1465333698174,Network.requestWillBeSent,30505.2,fonts.googleapis.com.this,,,,37515.956834,
1465333698174,Network.requestWillBeSent,30505.3,m.imgur.com.this,,,,37515.957054,
1465333698174,Network.requestWillBeSent,30505.4,m.imgur.com.this,,,,37515.95726,
1465333698174,Network.requestWillBeSent,30505.5,m.imgur.com.this,,,,37515.957418,
1465333698174,Network.dataReceived,30505.1,,,3861,1049,37515.960177,
1465333698175,Network.loadingFinished,30505.1,,,,17045,37515.9593,
1465333698343,Network.responseReceived,30505.4,,text/plain,,,37516.127578,quic/1+spdy/3
1465333698344,Network.responseReceived,30505.3,,text/css,,,37516.128443,quic/1+spdy/3
1465333698344,Network.dataReceived,30505.3,,,27521,7784,37516.128808,
1465333698344,Network.dataReceived,30505.3,,,14570,2662,37516.129798,
1465333698346,Network.responseReceived,30505.5,,application/x-javascript,,,37516.132879,quic/1+spdy/3
1465333698347,Network.dataReceived,30505.3,,,7199,1227,37516.132996,
1465333698347,Network.dataReceived,30505.3,,,6055,1331,37516.134253,
1465333698348,Network.dataReceived,30505.3,,,7444,1331,37516.13492,
1465333698350,Network.dataReceived,30505.3,,,5934,1331,37516.136766,
1465333698356,Network.dataReceived,30505.3,,,12858,2662,37516.142693,
1465333698357,Network.dataReceived,30505.3,,,1820,394,37516.144149,
1465333698363,Network.loadingFinished,30505.3,,,,18722,37516.144083,
1465333698363,Network.dataReceived,30505.5,,,1747,1025,37516.149697,
1465333698363,Network.dataReceived,30505.5,,,3402,1331,37516.14997,
1465333698363,Network.dataReceived,30505.5,,,3754,1331,37516.150024,
1465333698365,Network.dataReceived,30505.5,,,2830,1325,37516.152122,
1465333698371,Network.responseReceived,30505.2,,text/css,,,37516.157575,quic/1+spdy/3
1465333698371,Network.dataReceived,30505.2,,,492,713,37516.157756,
1465333698372,Network.loadingFinished,30505.2,,,,713,37516.157276,
1465333698372,Network.dataReceived,30505.5,,,1355,602,37516.158175,
1465333698372,Network.dataReceived,30505.5,,,4745,1331,37516.158228,
1465333698373,Network.dataReceived,30505.5,,,3560,1331,37516.159738,
